Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        030282         Au Saumon - à 1,9 km en amont du ruisseau McGill                                                                                               
Bassin versant: 769 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 34' 48" // -71° 23' 6"

Date de création du fichier: 2019-11-29 03:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030282         1974/11/27          27.40          MC
030282         1974/11/28          21.00          MC
030282         1974/11/29          16.70          MC
030282         1974/11/30          15.50          MC
030282         1974/12/01          13.60          MC
030282         1974/12/02          10.70          MC
030282         1974/12/03          13.40          MC
030282         1974/12/04          11.00          MC
030282         1974/12/05          9.000          MC
030282         1974/12/06          10.40          MC
030282         1974/12/07          11.20          MC
030282         1974/12/08          19.30          MC
030282         1974/12/09          89.80          MC
030282         1974/12/10          47.90          MC
030282         1974/12/11          30.90          MC
030282         1974/12/12          23.30          MC
030282         1974/12/13          18.60          MC
030282         1974/12/14          15.70          MC
030282         1974/12/15          8.410          MC
030282         1974/12/16          8.070          MC
030282         1974/12/17          10.40          MC
030282         1974/12/18          10.40          MC
030282         1974/12/19          9.510          MC
030282         1974/12/20          8.720          MC
030282         1974/12/21          8.690          MC
030282         1974/12/22          8.720          MC
030282         1974/12/23          8.690          MC
030282         1974/12/24          8.160          MC
030282         1974/12/25          6.940          MC
030282         1974/12/26          5.440          MC
030282         1974/12/27          4.390          R
030282         1974/12/28          4.760          R
030282         1974/12/29          4.810          R
030282         1974/12/30          4.670          R
030282         1974/12/31          4.590          R
030282         1975/01/01          4.390          R
030282         1975/01/02          4.250          R
030282         1975/01/03          4.110          R
030282         1975/01/04          3.960          R
030282         1975/01/05          3.850          R
030282         1975/01/06          3.820          R
030282         1975/01/07          3.820          R
030282         1975/01/08          3.850          R
030282         1975/01/09          3.910          R
030282         1975/01/10          4.250          J
030282         1975/01/11          6.230          R
030282         1975/01/12          20.40          R
030282         1975/01/13          25.50          R
030282         1975/01/14          11.90          R
030282         1975/01/15          8.780          R
030282         1975/01/16          5.380          R
030282         1975/01/17          4.960          R
030282         1975/01/18          4.670          R
030282         1975/01/19          4.530          R
030282         1975/01/20          4.330          R
030282         1975/01/21          4.220          R
030282         1975/01/22          4.080          R
030282         1975/01/23          3.960          R
030282         1975/01/24          3.820          R
030282         1975/01/25          3.740          R
030282         1975/01/26          3.650          R
030282         1975/01/27          3.600          R
030282         1975/01/28          3.570          R
030282         1975/01/29          3.540          R
030282         1975/01/30          3.510          R
030282         1975/01/31          3.450          R
030282         1975/02/01          3.340          R
030282         1975/02/02          3.230          R
030282         1975/02/03          3.000          R
030282         1975/02/04          2.860          R
030282         1975/02/05          2.720          R
030282         1975/02/06          2.580          J
030282         1975/02/07          2.520          R
030282         1975/02/08          2.380          R
030282         1975/02/09          2.270          R
030282         1975/02/10          2.180          R
030282         1975/02/11          2.100          R
030282         1975/02/12          2.010          R
030282         1975/02/13          1.950          R
030282         1975/02/14          1.870          R
030282         1975/02/15          1.840          R
030282         1975/02/16          1.780          R
030282         1975/02/17          1.770          R
030282         1975/02/18          1.840          R
030282         1975/02/19          1.870          R
030282         1975/02/20          1.930          R
030282         1975/02/21          1.950          R
030282         1975/02/22          2.010          R
030282         1975/02/23          2.070          R
030282         1975/02/24          3.400          R
030282         1975/02/25          8.070          R
030282         1975/02/26          9.630          R
030282         1975/02/27          8.780          R
030282         1975/02/28          7.080          R
030282         1975/03/01          5.380          R
030282         1975/03/02          4.960          R
030282         1975/03/03          4.590          R
030282         1975/03/04          4.220          R
030282         1975/03/05          4.020          R
030282         1975/03/06          3.940          R
030282         1975/03/07          3.960          R
030282         1975/03/08          4.110          R
030282         1975/03/09          4.190          R
030282         1975/03/10          4.160          R
030282         1975/03/11          3.990          R
030282         1975/03/12          4.050          R
030282         1975/03/13          4.530          J
030282         1975/03/14          5.380          R
030282         1975/03/15          5.240          R
030282         1975/03/16          4.870          R
030282         1975/03/17          4.760          R
030282         1975/03/18          4.960          R
030282         1975/03/19          25.50          R
030282         1975/03/20          71.60          MC
030282         1975/03/21          53.00          MC
030282         1975/03/22          43.90          MC
030282         1975/03/23          43.00          MC
030282         1975/03/24          36.20          MC
030282         1975/03/25          35.70          MC
030282         1975/03/26          51.30          MC
030282         1975/03/27          39.10          MC
030282         1975/03/28          31.40          MC
030282         1975/03/29          26.00          MC
030282         1975/03/30          22.00          MC
030282         1975/03/31          16.60          MC
030282         1975/04/01          12.40          MC
030282         1975/04/02          11.20          MC
030282         1975/04/03          10.40          MC
030282         1975/04/04          8.270          MC
030282         1975/04/05          8.300          MC
030282         1975/04/06          7.930          MC
030282         1975/04/07          7.280          MC
030282         1975/04/08          6.650          MC
030282         1975/04/09          6.260          MC
030282         1975/04/10          6.480          MC
030282         1975/04/11          6.340          MC
030282         1975/04/12          7.160          MC
