Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        030284         Saint-François - à 0,5 km en aval de la centrale de Weedon                                                                                     
Bassin versant: 2934 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 45° 39' 30" // -71° 28' 6"

Date de création du fichier: 2019-11-29 03:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030284         1979/03/20          95.20          J
030284         1979/03/21          
030284         1979/03/22          
030284         1979/03/23          161.0          MC
030284         1979/03/24          195.0          MC
030284         1979/03/25          260.0          MC
030284         1979/03/26          322.0          MC
030284         1979/03/27          248.0          J
030284         1979/03/28          176.0          MC
030284         1979/03/29          118.0          MC
030284         1979/03/30          107.0          MC
030284         1979/03/31          143.0          MC
030284         1979/04/01          220.0          MC
030284         1979/04/02          208.0          MC
030284         1979/04/03          200.0          MC
030284         1979/04/04          174.0          MC
030284         1979/04/05          159.0          MC
030284         1979/04/06          160.0          MC
030284         1979/04/07          154.0          MC
030284         1979/04/08          125.0          MC
030284         1979/04/09          116.0          MC
030284         1979/04/10          129.0          MC
030284         1979/04/11          122.0          MC
030284         1979/04/12          114.0          MC
030284         1979/04/13          116.0          MC
030284         1979/04/14          133.0          MC
030284         1979/04/15          158.0          MC
030284         1979/04/16          189.0          MC
030284         1979/04/17          176.0          MC
030284         1979/04/18          143.0          MC
030284         1979/04/19          128.0          J
030284         1979/04/20          125.0          MC
030284         1979/04/21          121.0          MC
030284         1979/04/22          135.0          MC
030284         1979/04/23          141.0          MC
030284         1979/04/24          144.0          MC
030284         1979/04/25          131.0          MC
030284         1979/04/26          113.0          MC
030284         1979/04/27          122.0          MC
030284         1979/04/28          166.0          MC
030284         1979/04/29          157.0          MC
030284         1979/04/30          133.0          MC
030284         1979/05/01          107.0          MC
030284         1979/05/02          104.0          MC
030284         1979/05/03          107.0          MC
030284         1979/05/04          113.0          MC
030284         1979/05/05          128.0          MC
030284         1979/05/06          108.0          MC
030284         1979/05/07          98.00          MC
030284         1979/05/08          64.70          MC
030284         1979/05/09          50.30          MC
030284         1979/05/10          52.10          MC
030284         1979/05/11          59.30          J
030284         1979/05/12          51.50          MC
030284         1979/05/13          49.60          MC
030284         1979/05/14          59.20          MC
030284         1979/05/15          60.50          J
030284         1979/05/16          49.20          MC
030284         1979/05/17          41.20          MC
030284         1979/05/18          42.40          MC
030284         1979/05/19          36.20          MC
030284         1979/05/20          29.30          MC
030284         1979/05/21          27.50          MC
030284         1979/05/22          41.40          MC
030284         1979/05/23          41.60          MC
030284         1979/05/24          21.10          MC
030284         1979/05/25          42.60          MC
030284         1979/05/26          81.20          MC
030284         1979/05/27          77.10          MC
030284         1979/05/28          61.30          MC
030284         1979/05/29          71.10          MC
030284         1979/05/30          91.20          MC
030284         1979/05/31          165.0          MC
030284         1979/06/01          190.0          MC
030284         1979/06/02          154.0          MC
030284         1979/06/03          124.0          MC
030284         1979/06/04          108.0          MC
030284         1979/06/05          86.50          MC
030284         1979/06/06          66.00          MC
030284         1979/06/07          63.70          MC
030284         1979/06/08          59.90          MC
030284         1979/06/09          44.70          MC
030284         1979/06/10          45.20          MC
030284         1979/06/11          55.30          MC
030284         1979/06/12          95.30          MC
030284         1979/06/13          120.0          MC
030284         1979/06/14          86.70          MC
030284         1979/06/15          73.60          MC
030284         1979/06/16          56.40          MC
030284         1979/06/17          46.60          MC
030284         1979/06/18          49.20          MC
030284         1979/06/19          49.10          MC
030284         1979/06/20          61.30          MC
030284         1979/06/21          48.60          MC
030284         1979/06/22          48.20          MC
030284         1979/06/23          49.10          MC
030284         1979/06/24          49.70          MC
030284         1979/06/25          61.90          MC
030284         1979/06/26          49.80          MC
030284         1979/06/27          43.50          MC
030284         1979/06/28          37.30          MC
030284         1979/06/29          31.00          MC
030284         1979/06/30          23.40          MC
030284         1979/07/01          25.10          MC
030284         1979/07/02          26.70          MC
030284         1979/07/03          36.80          MC
030284         1979/07/04          31.30          MC
030284         1979/07/05          25.30          MC
030284         1979/07/06          24.90          MC
030284         1979/07/07          24.10          MC
030284         1979/07/08          23.70          MC
030284         1979/07/09          24.50          MC
030284         1979/07/10          17.90          MC
030284         1979/07/11          15.70          J
030284         1979/07/12          24.90          MC
030284         1979/07/13          20.70          MC
030284         1979/07/14          10.30          MC
030284         1979/07/15          10.30          MC
030284         1979/07/16          10.30          MC
030284         1979/07/17          10.30          MC
030284         1979/07/18          10.40          MC
030284         1979/07/19          10.40          MC
030284         1979/07/20          10.60          MC
030284         1979/07/21          10.80          MC
030284         1979/07/22          10.50          MC
030284         1979/07/23          8.330          MC
030284         1979/07/24          7.180          MC
030284         1979/07/25          7.220          MC
030284         1979/07/26          8.050          MC
030284         1979/07/27          12.30          MC
030284         1979/07/28          10.80          MC
030284         1979/07/29          11.20          MC
030284         1979/07/30          9.480          MC
030284         1979/07/31          17.70          MC
030284         1979/08/01          18.30          MC
030284         1979/08/02          5.330          MC
030284         1979/08/03          6.810          MC
030284         1979/08/04          8.480          MC
030284         1979/08/05          7.210          MC
030284         1979/08/06          22.60          MC
030284         1979/08/07          19.60          MC
030284         1979/08/08          18.40          MC
030284         1979/08/09          18.00          MC
030284         1979/08/10          15.60          MC
030284         1979/08/11          5.120          MC
030284         1979/08/12          7.300          MC
030284         1979/08/13          23.60          MC
030284         1979/08/14          21.70          MC
030284         1979/08/15          20.60          MC
030284         1979/08/16          22.30          MC
030284         1979/08/17          18.20          MC
030284         1979/08/18          5.160          MC
030284         1979/08/19          6.910          MC
030284         1979/08/20          21.40          MC
030284         1979/08/21          22.90          MC
030284         1979/08/22          21.20          MC
030284         1979/08/23          18.50          MC
030284         1979/08/24          19.10          MC
030284         1979/08/25          16.00          MC
030284         1979/08/26          16.70          MC
030284         1979/08/27          32.50          MC
030284         1979/08/28          36.40          MC
030284         1979/08/29          40.00          MC
030284         1979/08/30          35.20          MC
030284         1979/08/31          28.00          MC
030284         1979/09/01          23.30          MC
030284         1979/09/02          23.30          MC
030284         1979/09/03          23.60          MC
030284         1979/09/04          22.60          MC
030284         1979/09/05          20.00          MC
030284         1979/09/06          22.30          MC
030284         1979/09/07          55.90          MC
030284         1979/09/08          58.00          MC
030284         1979/09/09          44.90          MC
030284         1979/09/10          27.10          MC
030284         1979/09/11          37.60          MC
030284         1979/09/12          46.30          MC
030284         1979/09/13          44.40          MC
030284         1979/09/14          38.60          MC
