Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        030298         Saint-François - à 1 km à l'aval du barrage Aylmer                                                                                             
Bassin versant: 1730 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 45° 45' 11" // -71° 24' 36"

Date de création du fichier: 2019-11-25 20:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030298         2012/11/29          20.87          MJ
030298         2012/11/30          21.00          MJ
030298         2012/12/01          21.02          MJ
030298         2012/12/02          20.94          MJ
030298         2012/12/03          20.98          MJ
030298         2012/12/04          20.94          MJ
030298         2012/12/05          21.05          MJ
030298         2012/12/06          21.46          MJ
030298         2012/12/07          21.59          MJ
030298         2012/12/08          21.40          MJ
030298         2012/12/09          21.28          MJ
030298         2012/12/10          21.51          MJ
030298         2012/12/11          21.39          MJ
030298         2012/12/12          22.02          MJ
030298         2012/12/13          21.72          MJ
030298         2012/12/14          21.58          MJ
030298         2012/12/15          21.61          MJ
030298         2012/12/16          21.28          MJ
030298         2012/12/17          26.13          MJ
030298         2012/12/18          29.26          MJ
030298         2012/12/19          29.01          MJ
030298         2012/12/20          36.24          MJ
030298         2012/12/21          40.63          MJ
030298         2012/12/22          40.68          MJ
030298         2012/12/23          40.36          MJ
030298         2012/12/24          40.09          MJ
030298         2012/12/25          39.83          MJ
030298         2012/12/26          39.40          MJ
030298         2012/12/27          39.44          MJ
030298         2012/12/28          39.09          MJ
030298         2012/12/29          38.85          MJ
030298         2012/12/30          38.57          MJ
030298         2012/12/31          38.71          MJ
030298         2013/01/01          37.99          MJ
030298         2013/01/02          37.56          MJ
030298         2013/01/03          40.52          MJ
030298         2013/01/04          48.90          MJ
030298         2013/01/05          48.56          MJ
030298         2013/01/06          48.53          MJ
030298         2013/01/07          47.85          MJ
030298         2013/01/08          47.70          MJ
030298         2013/01/09          47.04          MJ
030298         2013/01/10          47.22          MJ
030298         2013/01/11          48.11          MJ
030298         2013/01/12          48.11          MJ
030298         2013/01/13          47.89          MJ
030298         2013/01/14          47.59          MJ
030298         2013/01/15          33.53          MJ
030298         2013/01/16          29.85          MJ
030298         2013/01/17          45.08          MJ
030298         2013/01/18          50.50          MJ
030298         2013/01/19          52.41          MJ
030298         2013/01/20          51.61          MJ
030298         2013/01/21          50.98          MJ
030298         2013/01/22          51.10          MJ
030298         2013/01/23          53.30          MJ
030298         2013/01/24          55.20          MJ
030298         2013/01/25          55.07          MJ
030298         2013/01/26          54.22          MJ
030298         2013/01/27          53.71          MJ
030298         2013/01/28          53.00          MJ
030298         2013/01/29          52.13          MJ
030298         2013/01/30          53.15          MJ
030298         2013/01/31          54.39          MJ
030298         2013/02/01          45.51          MJ
030298         2013/02/02          57.01          MJ
030298         2013/02/03          58.54          MJ
030298         2013/02/04          57.26          MJ
030298         2013/02/05          55.31          MJ
030298         2013/02/06          51.05          MJ
030298         2013/02/07          55.68          MJ
030298         2013/02/08          57.10          MJ
030298         2013/02/09          56.74          MJ
030298         2013/02/10          55.52          MJ
030298         2013/02/11          55.38          MJ
030298         2013/02/12          54.98          MJ
030298         2013/02/13          54.35          MJ
030298         2013/02/14          54.25          MJ
030298         2013/02/15          54.16          MJ
030298         2013/02/16          53.28          MJ
030298         2013/02/17          52.60          MJ
030298         2013/02/18          52.67          MJ
030298         2013/02/19          55.56          MJ
030298         2013/02/20          57.39          MJ
030298         2013/02/21          56.77          MJ
030298         2013/02/22          56.22          MJ
030298         2013/02/23          56.01          MJ
030298         2013/02/24          55.76          MJ
030298         2013/02/25          56.12          MJ
030298         2013/02/26          55.43          MJ
030298         2013/02/27          56.01          MJ
030298         2013/02/28          55.68          MJ
030298         2013/03/01          56.24          MJ
030298         2013/03/02          57.40          MJ
030298         2013/03/03          57.51          MJ
030298         2013/03/04          56.87          MJ
030298         2013/03/05          56.56          MJ
030298         2013/03/06          55.87          MJ
030298         2013/03/07          55.37          MJ
030298         2013/03/08          55.62          MJ
030298         2013/03/09          54.75          MJ
030298         2013/03/10          53.94          MJ
030298         2013/03/11          54.65          MJ
030298         2013/03/12          50.18          MJ
030298         2013/03/13          45.00          MJ
030298         2013/03/14          45.13          MJ
030298         2013/03/15          35.47          MJ
030298         2013/03/16          19.83          MJ
030298         2013/03/17          19.50          MJ
030298         2013/03/18          26.01          MJ
030298         2013/03/19          30.55          MJ
030298         2013/03/20          30.02          MJ
030298         2013/03/21          35.89          MJ
030298         2013/03/22          42.05          MJ
030298         2013/03/23          42.59          MJ
030298         2013/03/24          41.72          MJ
030298         2013/03/25          41.10          MJ
030298         2013/03/26          42.68          MJ
030298         2013/03/27          43.41          MJ
030298         2013/03/28          43.40          MJ
030298         2013/03/29          44.12          MJ
030298         2013/03/30          44.18          MJ
030298         2013/03/31          45.04          MJ
030298         2013/04/01          46.27          MJ
030298         2013/04/02          33.63          MJ
030298         2013/04/03          26.27          MJ
030298         2013/04/04          25.94          MJ
030298         2013/04/05          30.16          MJ
030298         2013/04/06          35.69          MJ
030298         2013/04/07          35.33          MJ
030298         2013/04/08          35.10          MJ
030298         2013/04/09          27.79          MJ
030298         2013/04/10          22.03          MJ
030298         2013/04/11          22.88          MJ
030298         2013/04/12          23.52          MJ
030298         2013/04/13          23.58          MJ
030298         2013/04/14          24.09          MJ
030298         2013/04/15          30.09          MJ
030298         2013/04/16          44.60          MJ
030298         2013/04/17          63.91          MJ
030298         2013/04/18          65.36          MJ
030298         2013/04/19          45.72          MJ
030298         2013/04/20          10.76          MJ
030298         2013/04/21          25.86          MJ
030298         2013/04/22          46.18          MJ
030298         2013/04/23          59.23          MJ
030298         2013/04/24          42.91          MJ
030298         2013/04/25          12.91          MJ
030298         2013/04/26          10.29          MJ
030298         2013/04/27          10.26          MJ
030298         2013/04/28          10.28          MJ
030298         2013/04/29          10.24          MJ
030298         2013/04/30          10.16          MJ
030298         2013/05/01          10.12          MJ
030298         2013/05/02          10.21          MJ
030298         2013/05/03          10.45          MJ
030298         2013/05/04          10.53          MJ
030298         2013/05/05          10.44          MJ
030298         2013/05/06          10.40          MJ
030298         2013/05/07          10.43          MJ
030298         2013/05/08          10.43          MJ
030298         2013/05/09          10.41          MJ
030298         2013/05/10          10.35          MJ
030298         2013/05/11          10.64          MJ
030298         2013/05/12          10.49          MJ
030298         2013/05/13          10.82          MJ
030298         2013/05/14          10.88          MJ
030298         2013/05/15          10.91          MJ
030298         2013/05/16          10.96          MJ
030298         2013/05/17          10.72          MJ
030298         2013/05/18          10.79          MJ
030298         2013/05/19          10.77          MJ
030298         2013/05/20          10.83          MJ
030298         2013/05/21          10.96          MJ
030298         2013/05/22          10.93          MJ
030298         2013/05/23          11.07          MJ
030298         2013/05/24          39.23          MJ
030298         2013/05/25          75.99          MJ
030298         2013/05/26          91.21          MJ
030298         2013/05/27          157.6          MJ
030298         2013/05/28          175.8          MJ
030298         2013/05/29          172.6          MJ
030298         2013/05/30          140.1          MJ
030298         2013/05/31          77.63          MJ
030298         2013/06/01          44.46          MJ
030298         2013/06/02          44.81          MJ
030298         2013/06/03          44.51          MJ
030298         2013/06/04          43.84          MJ
030298         2013/06/05          39.60          MJ
030298         2013/06/06          31.93          MJ
030298         2013/06/07          26.95          MJ
030298         2013/06/08          26.60          MJ
030298         2013/06/09          26.80          MJ
030298         2013/06/10          27.31          MJ
030298         2013/06/11          31.54          MJ
030298         2013/06/12          90.97          MJ
030298         2013/06/13          124.8          MJ
030298         2013/06/14          100.7          MJ
030298         2013/06/15          59.35          MJ
030298         2013/06/16          58.98          MJ
030298         2013/06/17          43.33          MJ
030298         2013/06/18          31.48          MJ
030298         2013/06/19          22.08          MJ
030298         2013/06/20          15.79          MJ
030298         2013/06/21          15.63          MJ
030298         2013/06/22          15.89          MJ
030298         2013/06/23          15.60          MJ
030298         2013/06/24          15.62          MJ
030298         2013/06/25          42.00          MJ
030298         2013/06/26          55.97          MJ
030298         2013/06/27          48.43          MJ
030298         2013/06/28          78.50          MJ
030298         2013/06/29          102.9          MJ
030298         2013/06/30          103.4          MJ
030298         2013/07/01          68.97          MJ
030298         2013/07/02          37.08          MJ
030298         2013/07/03          27.18          MJ
030298         2013/07/04          21.60          MJ
030298         2013/07/05          15.82          MJ
030298         2013/07/06          13.72          MJ
030298         2013/07/07          13.89          MJ
030298         2013/07/08          13.92          MJ
030298         2013/07/09          12.75          MJ
030298         2013/07/10          10.08          MJ
030298         2013/07/11          9.870          MJ
030298         2013/07/12          9.820          MJ
030298         2013/07/13          10.03          MJ
030298         2013/07/14          9.997          MJ
030298         2013/07/15          11.52          MJ
030298         2013/07/16          19.13          MJ
030298         2013/07/17          23.76          MJ
030298         2013/07/18          17.47          MJ
030298         2013/07/19          15.85          MJ
030298         2013/07/20          16.56          MJ
030298         2013/07/21          13.55          MJ
030298         2013/07/22          13.60          MJ
030298         2013/07/23          13.74          MJ
030298         2013/07/24          13.21          MJ
030298         2013/07/25          13.54          MJ
030298         2013/07/26          13.76          MJ
030298         2013/07/27          13.92          MJ
030298         2013/07/28          13.99          MJ
030298         2013/07/29          16.77          MJ
030298         2013/07/30          19.84          MJ
030298         2013/07/31          19.66          MJ
030298         2013/08/01          19.57          MJ
030298         2013/08/02          19.65          MJ
030298         2013/08/03          19.45          MJ
030298         2013/08/04          19.67          MJ
030298         2013/08/05          19.67          MJ
030298         2013/08/06          19.98          MJ
030298         2013/08/07          24.43          MJ
030298         2013/08/08          27.46          MJ
030298         2013/08/09          34.66          MJ
030298         2013/08/10          40.44          MJ
030298         2013/08/11          39.91          MJ
030298         2013/08/12          36.99          MJ
030298         2013/08/13          35.93          MJ
030298         2013/08/14          73.42          MJ
030298         2013/08/15          109.7          MJ
030298         2013/08/16          88.78          MJ
030298         2013/08/17          59.66          MJ
030298         2013/08/18          59.54          MJ
030298         2013/08/19          31.59          MJ
030298         2013/08/20          16.88          MJ
030298         2013/08/21          16.92          MJ
030298         2013/08/22          17.06          MJ
