Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        030299         St-Germain - au pont du boulevard des Pins à Drummondville                                                                                     
Bassin versant: 273 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 53' 48" // -72° 30' 20"

Date de création du fichier: 2019-11-28 19:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030299         2014/09/08          0.5035         J
030299         2014/09/09          0.4534         MJ
030299         2014/09/10          0.4056         MJ
030299         2014/09/11          0.5675         MJ
030299         2014/09/12          0.4189         MJ
030299         2014/09/13          0.6222         MJ
030299         2014/09/14          0.6956         MJ
030299         2014/09/15          0.529          MJ
030299         2014/09/16          0.5224         MJ
030299         2014/09/17          0.5096         MJ
030299         2014/09/18          0.4874         MJ
030299         2014/09/19          0.4184         MJ
030299         2014/09/20          0.3969         MJ
030299         2014/09/21          0.4253         MJ
030299         2014/09/22          0.5236         MJ
030299         2014/09/23          0.4452         MJ
030299         2014/09/24          0.4204         MJ
030299         2014/09/25          0.4016         MJ
030299         2014/09/26          0.3939         MJ
030299         2014/09/27          0.3964         MJ
030299         2014/09/28          0.4041         MJ
030299         2014/09/29          0.4243         MJ
030299         2014/09/30          0.4455         MJ
030299         2014/10/01          0.4733         MJ
030299         2014/10/02          0.472          MJ
030299         2014/10/03          0.4825         MJ
030299         2014/10/04          1.414          MJ
030299         2014/10/05          1.571          MJ
030299         2014/10/06          0.9821         MJ
030299         2014/10/07          0.8153         MJ
030299         2014/10/08          1.283          J
030299         2014/10/09          1.408          MJ
030299         2014/10/10          1.206          MJ
030299         2014/10/11          0.9448         MJ
030299         2014/10/12          0.7969         MJ
030299         2014/10/13          0.7662         MJ
030299         2014/10/14          0.7042         MJ
030299         2014/10/15          0.7134         MJ
030299         2014/10/16          0.9882         MJ
030299         2014/10/17          1.838          MJ
030299         2014/10/18          1.707          MJ
030299         2014/10/19          1.485          MJ
030299         2014/10/20          1.251          MJ
030299         2014/10/21          1.106          MJ
030299         2014/10/22          1.038          MJ
030299         2014/10/23          1.816          MJ
030299         2014/10/24          4.422          MJ
030299         2014/10/25          3.310          MJ
030299         2014/10/26          2.846          MJ
030299         2014/10/27          2.285          MJ
030299         2014/10/28          1.836          MJ
030299         2014/10/29          1.872          MJ
030299         2014/10/30          1.954          MJ
030299         2014/10/31          1.602          MJ
030299         2014/11/01          1.349          MJ
030299         2014/11/02          1.204          MJ
030299         2014/11/03          1.110          MJ
030299         2014/11/04          1.032          MJ
030299         2014/11/05          1.709          MJ
030299         2014/11/06          1.850          MJ
030299         2014/11/07          2.540          MJ
030299         2014/11/08          3.065          MJ
030299         2014/11/09          2.195          MJ
030299         2014/11/10          1.786          MJ
030299         2014/11/11          1.549          MJ
030299         2014/11/12          1.784          MJ
030299         2014/11/13          2.179          MJ
030299         2014/11/14          1.896          MJ
030299         2014/11/15          1.584          MJ
030299         2014/11/16          1.401          MJ
030299         2014/11/17          1.372          MJ
030299         2014/11/18          1.723          MJ
030299         2014/11/19          1.450          MJ
030299         2014/11/20          1.451          MJ
030299         2014/11/21          1.197          MJ
030299         2014/11/22          0.9971         MJ
030299         2014/11/23          1.199          MJ
030299         2014/11/24          5.874          MJ
030299         2014/11/25          8.463          MJ
030299         2014/11/26          4.349          MJ
030299         2014/11/27          3.028          MJ
030299         2014/11/28          2.348          MJ
030299         2014/11/29          1.967          MJ
030299         2014/11/30          1.847          MJ
030299         2014/12/01          2.669          MJ
030299         2014/12/02          2.660          MJ
030299         2014/12/03          2.224          MJ
030299         2014/12/04          2.275          MJ
030299         2014/12/05          1.698          MJ
030299         2014/12/06          1.541          MJ
030299         2014/12/07          1.348          MJ
030299         2014/12/08          1.047          MJ
030299         2014/12/09          0.907          R
030299         2014/12/10          0.869          R
030299         2014/12/11          0.832          R
030299         2014/12/12          0.973          R
030299         2014/12/13          1.110          R
030299         2014/12/14          1.250          R
030299         2014/12/15          1.290          R
030299         2014/12/16          1.300          R
030299         2014/12/17          1.490          R
030299         2014/12/18          1.880          R
030299         2014/12/19          2.750          R
030299         2014/12/20          2.280          R
030299         2014/12/21          2.010          R
030299         2014/12/22          1.840          R
030299         2014/12/23          1.730          R
030299         2014/12/24          3.824          MJ
030299         2014/12/25          26.40          MJ
030299         2014/12/26          31.95          MJ
030299         2014/12/27          27.96          MJ
030299         2014/12/28          23.18          MJ
030299         2014/12/29          14.48          MJ
030299         2014/12/30          6.140          R
030299         2014/12/31          5.500          R
030299         2015/01/01          4.610          R
030299         2015/01/02          4.000          R
030299         2015/01/03          5.810          R
030299         2015/01/04          7.390          R
030299         2015/01/05          5.120          R
030299         2015/01/06          3.790          R
030299         2015/01/07          2.970          R
030299         2015/01/08          2.440          R
030299         2015/01/09          2.090          R
030299         2015/01/10          1.840          R
030299         2015/01/11          1.660          R
030299         2015/01/12          1.510          J
030299         2015/01/13          1.380          R
030299         2015/01/14          1.280          R
030299         2015/01/15          1.200          R
030299         2015/01/16          1.130          R
030299         2015/01/17          1.070          R
030299         2015/01/18          1.020          R
030299         2015/01/19          0.973          R
030299         2015/01/20          0.929          R
030299         2015/01/21          0.902          R
030299         2015/01/22          0.878          R
030299         2015/01/23          0.855          R
030299         2015/01/24          0.834          R
030299         2015/01/25          0.814          R
030299         2015/01/26          0.795          R
030299         2015/01/27          0.778          R
030299         2015/01/28          0.761          R
030299         2015/01/29          0.746          R
030299         2015/01/30          0.731          R
030299         2015/01/31          0.718          R
030299         2015/02/01          0.705          R
030299         2015/02/02          0.693          R
030299         2015/02/03          0.682          R
030299         2015/02/04          0.671          R
030299         2015/02/05          0.662          R
030299         2015/02/06          0.652          R
030299         2015/02/07          0.644          R
030299         2015/02/08          0.636          R
030299         2015/02/09          0.628          R
030299         2015/02/10          0.621          R
030299         2015/02/11          0.614          R
030299         2015/02/12          0.608          R
030299         2015/02/13          0.602          R
030299         2015/02/14          0.596          R
030299         2015/02/15          0.591          R
030299         2015/02/16          0.586          R
030299         2015/02/17          0.581          R
030299         2015/02/18          0.576          R
030299         2015/02/19          0.572          R
030299         2015/02/20          0.568          R
