Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1973-08-20
Station:        030301         Yamaska - à 1,0 km en aval du lac Brome                                                                                                        
Bassin versant: 188 km²        Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 45° 17' 4" // -72° 30' 35"

Date de création du fichier: 2012-06-25 23:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030301         1925/01/01          0.230          MC
030301         1925/01/02          0.230          MC
030301         1925/01/03          0.230          MC
030301         1925/01/04          0.230          MC
030301         1925/01/05          1.420          MC
030301         1925/01/06          2.920          MC
030301         1925/01/07          1.420          MC
030301         1925/01/08          1.420          MC
030301         1925/01/09          1.420          MC
030301         1925/01/10          0.230          MC
030301         1925/01/11          0.710          MC
030301         1925/01/12          1.130          MC
030301         1925/01/13          1.420          MC
030301         1925/01/14          1.420          MC
030301         1925/01/15          1.420          MC
030301         1925/01/16          1.420          MC
030301         1925/01/17          1.420          MC
030301         1925/01/18          0.230          MC
030301         1925/01/19          1.420          MC
030301         1925/01/20          1.420          MC
030301         1925/01/21          1.420          MC
030301         1925/01/22          1.420          MC
030301         1925/01/23          1.420          MC
030301         1925/01/24          1.420          MC
030301         1925/01/25          1.420          MC
030301         1925/01/26          1.420          MC
030301         1925/01/27          1.420          MC
030301         1925/01/28          1.420          MC
030301         1925/01/29          1.420          MC
030301         1925/01/30          1.420          MC
030301         1925/01/31          1.420          MC
030301         1925/02/01          1.420          MC
030301         1925/02/02          1.420          MC
030301         1925/02/03          1.420          MC
030301         1925/02/04          1.420          MC
030301         1925/02/05          1.420          MC
030301         1925/02/06          1.420          MC
030301         1925/02/07          1.420          MC
030301         1925/02/08          1.420          MC
030301         1925/02/09          1.420          MC
030301         1925/02/10          1.420          MC
030301         1925/02/11          1.420          MC
030301         1925/02/12          1.420          MC
030301         1925/02/13          1.700          MC
030301         1925/02/14          1.420          MC
030301         1925/02/15          1.420          MC
030301         1925/02/16          4.450          MC
030301         1925/02/17          4.450          MC
030301         1925/02/18          3.770          MC
030301         1925/02/19          3.770          MC
030301         1925/02/20          3.770          MC
030301         1925/02/21          3.770          MC
030301         1925/02/22          3.770          MC
030301         1925/02/23          3.770          MC
030301         1925/02/24          3.770          MC
030301         1925/02/25          3.770          MC
030301         1925/02/26          3.770          MC
030301         1925/02/27          3.770          MC
030301         1925/02/28          3.770          MC
030301         1925/03/01          3.770          MC
030301         1925/03/02          3.770          MC
030301         1925/03/03          3.770          MC
030301         1925/03/04          3.540          MC
030301         1925/03/05          3.540          MC
030301         1925/03/06          2.890          MC
030301         1925/03/07          3.170          MC
030301         1925/03/08          3.770          MC
030301         1925/03/09          3.200          MC
030301         1925/03/10          3.540          MC
030301         1925/03/11          3.110          MC
030301         1925/03/12          3.110          MC
030301         1925/03/13          3.110          MC
030301         1925/03/14          3.110          MC
030301         1925/03/15          3.110          MC
030301         1925/03/16          3.110          MC
030301         1925/03/17          3.110          MC
030301         1925/03/18          3.110          MC
030301         1925/03/19          3.110          MC
030301         1925/03/20          3.110          MC
030301         1925/03/21          3.110          MC
030301         1925/03/22          3.110          MC
030301         1925/03/23          3.110          MC
030301         1925/03/24          3.200          MC
030301         1925/03/25          2.410          MC
030301         1925/03/26          3.170          MC
030301         1925/03/27          3.170          MC
030301         1925/03/28          3.170          MC
030301         1925/03/29          3.110          MC
030301         1925/03/30          3.770          MC
030301         1925/03/31          3.770          MC
030301         1925/04/01          3.770          MC
030301         1925/04/02          3.110          MC
030301         1925/04/03          3.110          MC
