Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        030302         Yamaska - à 0,6 km en amont du pont-route de la 235 à Farnham                                                                                  
Bassin versant: 1231 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 45° 16' 58" // -72° 57' 58"

Date de création du fichier: 2019-11-29 03:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030302         1929/01/01          5.950          MC
030302         1929/01/02          5.950          MC
030302         1929/01/03          13.30          MC
030302         1929/01/04          34.80          MC
030302         1929/01/05          5.660          MC
030302         1929/01/06          28.30          MC
030302         1929/01/07          49.60          MC
030302         1929/01/08          14.70          MC
030302         1929/01/09          14.70          MC
030302         1929/01/10          4.810          MC
030302         1929/01/11          4.810          MC
030302         1929/01/12          4.810          MC
030302         1929/01/13          4.810          MC
030302         1929/01/14          4.810          MC
030302         1929/01/15          4.810          MC
030302         1929/01/16          4.810          MC
030302         1929/01/17          4.810          MC
030302         1929/01/18          68.00          MC
030302         1929/01/19          56.10          MC
030302         1929/01/20          53.20          MC
030302         1929/01/21          21.00          MC
030302         1929/01/22          17.00          MC
030302         1929/01/23          14.70          MC
030302         1929/01/24          6.510          MC
030302         1929/01/25          6.800          MC
030302         1929/01/26          14.40          MC
030302         1929/01/27          5.950          MC
030302         1929/01/28          5.950          MC
030302         1929/01/29          5.950          MC
030302         1929/01/30          5.950          MC
030302         1929/01/31          5.950          MC
030302         1929/02/01          3.540          MC
030302         1929/02/02          3.540          MC
030302         1929/02/03          3.540          MC
030302         1929/02/04          3.540          MC
030302         1929/02/05          3.540          MC
030302         1929/02/06          3.400          MC
030302         1929/02/07          3.400          MC
030302         1929/02/08          3.400          MC
030302         1929/02/09          3.400          MC
030302         1929/02/10          3.400          MC
030302         1929/02/11          3.400          MC
030302         1929/02/12          3.400          MC
030302         1929/02/13          3.400          MC
030302         1929/02/14          3.400          MC
030302         1929/02/15          3.400          MC
030302         1929/02/16          3.260          MC
030302         1929/02/17          3.260          MC
030302         1929/02/18          3.260          MC
030302         1929/02/19          3.260          MC
030302         1929/02/20          3.260          MC
030302         1929/02/21          2.270          MC
030302         1929/02/22          2.270          MC
030302         1929/02/23          2.270          MC
030302         1929/02/24          2.270          MC
030302         1929/02/25          2.270          MC
030302         1929/02/26          2.550          MC
030302         1929/02/27          2.550          MC
030302         1929/02/28          2.550          MC
030302         1929/03/01          3.400          MC
030302         1929/03/02          3.400          MC
030302         1929/03/03          3.400          MC
030302         1929/03/04          3.400          MC
030302         1929/03/05          9.340          MC
030302         1929/03/06          12.70          MC
030302         1929/03/07          17.60          MC
030302         1929/03/08          14.70          MC
030302         1929/03/09          11.90          MC
030302         1929/03/10          11.30          MC
030302         1929/03/11          11.00          MC
030302         1929/03/12          12.70          MC
030302         1929/03/13          14.70          MC
030302         1929/03/14          106.0          MC
030302         1929/03/15          137.0          MC
030302         1929/03/16          136.0          MC
030302         1929/03/17          112.0          MC
030302         1929/03/18          60.90          MC
030302         1929/03/19          79.30          MC
030302         1929/03/20          115.0          MC
030302         1929/03/21          159.0          MC
030302         1929/03/22          125.0          MC
030302         1929/03/23          124.0          MC
030302         1929/03/24          123.0          MC
030302         1929/03/25          92.00          MC
030302         1929/03/26          122.0          MC
030302         1929/03/27          63.70          MC
030302         1929/03/28          38.20          MC
030302         1929/03/29          59.50          MC
030302         1929/03/30          65.10          MC
030302         1929/03/31          68.50          MC
030302         1929/04/01          60.00          MC
030302         1929/04/02          114.0          MC
030302         1929/04/03          68.80          MC
030302         1929/04/04          80.70          MC
030302         1929/04/05          81.60          MC
030302         1929/04/06          57.20          MC
030302         1929/04/07          139.0          MC
030302         1929/04/08          191.0          MC
030302         1929/04/09          140.0          MC
030302         1929/04/10          92.00          MC
030302         1929/04/11          60.90          MC
030302         1929/04/12          49.60          MC
030302         1929/04/13          71.60          MC
030302         1929/04/14          66.50          MC
030302         1929/04/15          68.20          MC
030302         1929/04/16          57.20          MC
030302         1929/04/17          111.0          MC
030302         1929/04/18          110.0          MC
030302         1929/04/19          110.0          MC
030302         1929/04/20          102.0          MC
030302         1929/04/21          63.70          MC
030302         1929/04/22          49.60          MC
030302         1929/04/23          19.00          MC
030302         1929/04/24          19.00          MC
030302         1929/04/25          20.70          MC
030302         1929/04/26          15.60          MC
030302         1929/04/27          70.20          MC
030302         1929/04/28          61.40          MC
030302         1929/04/29          92.00          MC
030302         1929/04/30          92.90          MC
030302         1929/05/01          57.20          MC
030302         1929/05/02          57.20          MC
030302         1929/05/03          92.00          MC
030302         1929/05/04          81.30          MC
030302         1929/05/05          92.00          MC
030302         1929/05/06          82.10          MC
030302         1929/05/07          70.80          MC
030302         1929/05/08          60.60          MC
030302         1929/05/09          48.70          MC
030302         1929/05/10          51.00          MC
030302         1929/05/11          48.70          MC
030302         1929/05/12          33.40          MC
030302         1929/05/13          32.80          MC
030302         1929/05/14          49.30          MC
030302         1929/05/15          49.00          MC
030302         1929/05/16          49.30          MC
030302         1929/05/17          49.30          MC
030302         1929/05/18          49.00          MC
030302         1929/05/19          23.20          MC
030302         1929/05/20          32.80          MC
030302         1929/05/21          30.60          MC
030302         1929/05/22          23.50          MC
030302         1929/05/23          20.40          MC
030302         1929/05/24          31.70          MC
030302         1929/05/25          29.20          MC
030302         1929/05/26          25.80          MC
030302         1929/05/27          20.40          MC
030302         1929/05/28          13.60          MC
030302         1929/05/29          3.110          MC
030302         1929/05/30          14.20          MC
030302         1929/05/31          42.80          MC
030302         1929/06/01          20.40          MC
030302         1929/06/02          20.40          MC
030302         1929/06/03          20.40          MC
030302         1929/06/04          20.40          MC
030302         1929/06/05          20.40          MC
030302         1929/06/06          20.40          MC
030302         1929/06/07          20.40          MC
030302         1929/06/08          20.40          MC
030302         1929/06/09          9.060          MC
030302         1929/06/10          9.060          MC
030302         1929/06/11          9.060          MC
030302         1929/06/12          9.060          MC
030302         1929/06/13          9.060          MC
030302         1929/06/14          9.060          MC
030302         1929/06/15          9.060          MC
030302         1929/06/16          9.060          MC
030302         1929/06/17          
030302         1929/06/18          
030302         1929/06/19          
030302         1929/06/20          
030302         1929/06/21          
030302         1929/06/22          
030302         1929/06/23          
030302         1929/06/24          
030302         1929/06/25          
030302         1929/06/26          
030302         1929/06/27          
030302         1929/06/28          
030302         1929/06/29          
030302         1929/06/30          
030302         1929/07/01          
030302         1929/07/02          
030302         1929/07/03          
030302         1929/07/04          
030302         1929/07/05          
030302         1929/07/06          
030302         1929/07/07          
030302         1929/07/08          
030302         1929/07/09          
030302         1929/07/10          
030302         1929/07/11          
030302         1929/07/12          
030302         1929/07/13          
030302         1929/07/14          
030302         1929/07/15          
030302         1929/07/16          
030302         1929/07/17          
030302         1929/07/18          
030302         1929/07/19          
030302         1929/07/20          
030302         1929/07/21          
