Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-06-05, préliminaires par la suite
Station:        030314         Yamaska Sud-Est - au pont-route 202 à Cowansville                                                                                              
Bassin versant: 214 km²        Régime: Influencé                                         
Coordonnées:    (NAD83) 45° 12' 22" // -72° 44' 51"

Date de création du fichier: 2019-11-26 05:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030314         1968/08/16          0.110          MC
030314         1968/08/17          0.110          MC
030314         1968/08/18          0.130          MC
030314         1968/08/19          0.170          MC
030314         1968/08/20          0.270          MC
030314         1968/08/21          1.390          MC
030314         1968/08/22          1.280          MC
030314         1968/08/23          0.830          MC
030314         1968/08/24          0.590          MC
030314         1968/08/25          0.480          MC
030314         1968/08/26          0.450          MC
030314         1968/08/27          0.370          MC
030314         1968/08/28          0.330          MC
030314         1968/08/29          0.300          MC
030314         1968/08/30          0.300          MC
030314         1968/08/31          0.280          MC
030314         1968/09/01          0.230          MC
030314         1968/09/02          0.190          MC
030314         1968/09/03          0.160          MC
030314         1968/09/04          0.150          MC
030314         1968/09/05          0.130          MC
030314         1968/09/06          0.100          MC
030314         1968/09/07          0.094          MC
030314         1968/09/08          0.089          MC
030314         1968/09/09          0.083          MC
030314         1968/09/10          0.078          MC
030314         1968/09/11          0.920          MC
030314         1968/09/12          3.000          MC
030314         1968/09/13          3.200          MC
030314         1968/09/14          1.840          MC
030314         1968/09/15          0.092          MC
030314         1968/09/16          0.048          MC
