Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1978-11-16
Station:        030318         Noire - au pont-route à 6,8 km en aval du ruisseau Brandy                                                                                      
Bassin versant: 271 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 30' 41" // -72° 22' 29"

Date de création du fichier: 2012-06-26 00:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030318         1970/05/21          1.990          MC
030318         1970/05/22          1.900          MC
030318         1970/05/23          4.130          MC
030318         1970/05/24          2.300          MC
030318         1970/05/25          1.680          MC
030318         1970/05/26          2.590          MC
030318         1970/05/27          5.860          MC
030318         1970/05/28          2.550          MC
030318         1970/05/29          1.740          MC
030318         1970/05/30          1.410          MC
030318         1970/05/31          1.220          MC
030318         1970/06/01          7.760          MC
030318         1970/06/02          6.850          MC
030318         1970/06/03          4.870          MC
030318         1970/06/04          4.590          MC
030318         1970/06/05          2.230          MC
030318         1970/06/06          1.670          MC
030318         1970/06/07          1.410          MC
030318         1970/06/08          1.300          MC
030318         1970/06/09          1.070          MC
030318         1970/06/10          0.930          MC
030318         1970/06/11          0.820          MC
030318         1970/06/12          0.800          MC
030318         1970/06/13          0.690          MC
030318         1970/06/14          0.580          MC
030318         1970/06/15          0.520          MC
030318         1970/06/16          0.520          MC
030318         1970/06/17          0.500          MC
030318         1970/06/18          0.540          MC
030318         1970/06/19          0.900          MC
030318         1970/06/20          0.610          MC
030318         1970/06/21          0.490          MC
030318         1970/06/22          0.450          MC
030318         1970/06/23          0.410          MC
030318         1970/06/24          0.350          MC
030318         1970/06/25          0.390          MC
030318         1970/06/26          0.420          MC
030318         1970/06/27          3.060          MC
030318         1970/06/28          4.590          MC
030318         1970/06/29          1.570          MC
030318         1970/06/30          2.670          MC
030318         1970/07/01          4.840          MC
030318         1970/07/02          1.820          MC
030318         1970/07/03          1.210          MC
030318         1970/07/04          0.910          MC
030318         1970/07/05          0.850          MC
030318         1970/07/06          0.730          MC
030318         1970/07/07          0.610          MC
030318         1970/07/08          0.510          MC
030318         1970/07/09          0.420          MC
030318         1970/07/10          0.390          MC
030318         1970/07/11          7.870          MC
030318         1970/07/12          32.30          MC
030318         1970/07/13          15.70          MC
030318         1970/07/14          2.740          MC
030318         1970/07/15          1.500          MC
030318         1970/07/16          1.330          MC
030318         1970/07/17          1.290          MC
030318         1970/07/18          1.050          MC
030318         1970/07/19          1.100          MC
030318         1970/07/20          0.910          MC
030318         1970/07/21          0.740          MC
030318         1970/07/22          0.610          MC
030318         1970/07/23          0.530          MC
030318         1970/07/24          0.430          MC
030318         1970/07/25          0.390          MC
030318         1970/07/26          0.710          MC
030318         1970/07/27          0.540          MC
030318         1970/07/28          0.400          MC
030318         1970/07/29          0.390          MC
030318         1970/07/30          0.350          MC
030318         1970/07/31          0.310          MC
030318         1970/08/01          2.170          MC
030318         1970/08/02          2.810          MC
030318         1970/08/03          1.210          MC
030318         1970/08/04          0.920          MC
030318         1970/08/05          0.710          MC
030318         1970/08/06          0.580          MC
030318         1970/08/07          0.440          MC
030318         1970/08/08          0.410          MC
030318         1970/08/09          0.360          MC
030318         1970/08/10          0.330          MC
030318         1970/08/11          0.360          MC
030318         1970/08/12          0.510          MC
030318         1970/08/13          0.430          MC
030318         1970/08/14          0.340          MC
030318         1970/08/15          0.290          MC
030318         1970/08/16          0.290          MC
030318         1970/08/17          0.290          MC
030318         1970/08/18          0.200          MC
030318         1970/08/19          0.210          MC
030318         1970/08/20          0.270          MC
030318         1970/08/21          0.790          MC
030318         1970/08/22          0.530          MC
030318         1970/08/23          0.610          MC
030318         1970/08/24          2.480          MC
030318         1970/08/25          1.160          MC
030318         1970/08/26          0.970          MC
030318         1970/08/27          1.520          MC
030318         1970/08/28          1.080          MC
030318         1970/08/29          1.550          MC
030318         1970/08/30          1.080          MC
030318         1970/08/31          0.940          MC
030318         1970/09/01          0.910          MC
030318         1970/09/02          0.660          MC
030318         1970/09/03          0.530          MC
030318         1970/09/04          2.760          MC
030318         1970/09/05          6.400          MC
030318         1970/09/06          4.420          MC
030318         1970/09/07          2.310          MC
030318         1970/09/08          1.530          MC
030318         1970/09/09          1.120          MC
030318         1970/09/10          0.900          MC
030318         1970/09/11          0.720          MC
030318         1970/09/12          0.560          MC
030318         1970/09/13          0.470          MC
030318         1970/09/14          0.480          MC
030318         1970/09/15          0.470          MC
030318         1970/09/16          0.750          MC
030318         1970/09/17          1.050          MC
030318         1970/09/18          0.790          MC
030318         1970/09/19          0.640          MC
030318         1970/09/20          0.610          MC
030318         1970/09/21          0.600          MC
030318         1970/09/22          18.30          MC
030318         1970/09/23          20.70          MC
030318         1970/09/24          7.820          MC
030318         1970/09/25          22.90          MC
030318         1970/09/26          36.00          MC
