Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1982-03-04
Station:        030322         Sud-Ouest - au pont-route à Sainte-Brigide-d'Iberville                                                                                         
Bassin versant: 96.2 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 22' 35" // -73° 1' 48"

Date de création du fichier: 2012-06-26 00:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030322         1972/06/13          0.490          MC
030322         1972/06/14          0.370          MC
030322         1972/06/15          0.550          MC
030322         1972/06/16          5.130          MC
030322         1972/06/17          1.390          MC
030322         1972/06/18          0.780          MC
030322         1972/06/19          0.540          MC
030322         1972/06/20          0.410          MC
030322         1972/06/21          0.420          MC
030322         1972/06/22          0.530          MC
030322         1972/06/23          0.380          MC
030322         1972/06/24          0.320          MC
030322         1972/06/25          0.350          MC
030322         1972/06/26          2.080          MC
030322         1972/06/27          1.190          MC
030322         1972/06/28          0.990          MC
030322         1972/06/29          0.720          MC
030322         1972/06/30          0.490          MC
030322         1972/07/01          0.450          MC
030322         1972/07/02          0.370          MC
030322         1972/07/03          1.750          MC
030322         1972/07/04          4.390          MC
030322         1972/07/05          1.140          MC
030322         1972/07/06          0.730          MC
030322         1972/07/07          0.500          MC
030322         1972/07/08          0.330          MC
030322         1972/07/09          0.260          MC
030322         1972/07/10          0.420          MC
030322         1972/07/11          0.880          MC
030322         1972/07/12          0.520          MC
030322         1972/07/13          0.330          MC
030322         1972/07/14          0.820          MC
030322         1972/07/15          0.730          MC
030322         1972/07/16          3.400          MC
030322         1972/07/17          1.820          MC
030322         1972/07/18          1.000          MC
030322         1972/07/19          0.850          MC
030322         1972/07/20          0.870          MC
030322         1972/07/21          2.360          MC
030322         1972/07/22          1.520          MC
