Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1978-11-08
Station:        030328         Salvail - à 6,1 km de la rivière Yamaska                                                                                                       
Bassin versant: 149 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 46' 27" // -72° 59' 26"

Date de création du fichier: 2012-06-26 01:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030328         1972/07/19          1.060          MC
030328         1972/07/20          
030328         1972/07/21          1.380          MC
030328         1972/07/22          
030328         1972/07/23          
030328         1972/07/24          
030328         1972/07/25          0.970          MC
030328         1972/07/26          1.860          MC
030328         1972/07/27          1.120          MC
030328         1972/07/28          0.760          MC
030328         1972/07/29          0.590          MC
030328         1972/07/30          0.410          MC
030328         1972/07/31          0.310          MC
030328         1972/08/01          0.240          MC
030328         1972/08/02          0.200          MC
030328         1972/08/03          13.60          MC
030328         1972/08/04          11.70          MC
030328         1972/08/05          3.850          MC
030328         1972/08/06          2.110          MC
030328         1972/08/07          2.830          MC
030328         1972/08/08          22.90          MC
030328         1972/08/09          20.80          MC
030328         1972/08/10          14.00          MC
030328         1972/08/11          4.930          MC
030328         1972/08/12          2.970          MC
030328         1972/08/13          2.340          MC
030328         1972/08/14          1.690          MC
030328         1972/08/15          1.170          MC
030328         1972/08/16          0.820          MC
030328         1972/08/17          0.640          MC
030328         1972/08/18          0.790          MC
030328         1972/08/19          1.220          MC
030328         1972/08/20          0.760          MC
030328         1972/08/21          0.520          MC
030328         1972/08/22          0.400          MC
030328         1972/08/23          0.570          MC
030328         1972/08/24          0.850          MC
030328         1972/08/25          0.590          MC
030328         1972/08/26          0.450          MC
030328         1972/08/27          0.350          MC
030328         1972/08/28          1.420          MC
030328         1972/08/29          1.220          MC
030328         1972/08/30          0.710          MC
030328         1972/08/31          0.480          MC
030328         1972/09/01          0.360          MC
030328         1972/09/02          0.280          MC
030328         1972/09/03          0.230          MC
030328         1972/09/04          0.210          MC
030328         1972/09/05          0.190          MC
030328         1972/09/06          0.160          MC
030328         1972/09/07          0.130          MC
030328         1972/09/08          0.130          MC
030328         1972/09/09          0.130          MC
030328         1972/09/10          0.120          MC
030328         1972/09/11          0.100          MC
030328         1972/09/12          0.091          MC
030328         1972/09/13          0.085          MC
030328         1972/09/14          0.080          MC
030328         1972/09/15          0.080          MC
030328         1972/09/16          0.080          MC
030328         1972/09/17          0.067          MC
030328         1972/09/18          0.062          MC
030328         1972/09/19          0.190          MC
030328         1972/09/20          0.380          MC
030328         1972/09/21          0.240          MC
030328         1972/09/22          0.190          MC
030328         1972/09/23          0.160          MC
030328         1972/09/24          0.130          MC
030328         1972/09/25          0.120          MC
030328         1972/09/26          0.260          MC
030328         1972/09/27          0.470          MC
030328         1972/09/28          0.340          MC
