Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-07-29, préliminaires par la suite
Station:        030340         Yamaska Nord - à 2,4 km en amont de l'autoroute 10                                                                                             
Bassin versant: 235 km²        Régime: Influencé journellement                           
Coordonnées:    (NAD83) 45° 21' 37" // -72° 46' 49"

Date de création du fichier: 2019-11-26 08:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030340         1983/11/04          2.680          J
030340         1983/11/05          
030340         1983/11/06          
030340         1983/11/07          
030340         1983/11/08          
030340         1983/11/09          3.160          J
030340         1983/11/10          2.650          MC
030340         1983/11/11          10.40          MC
030340         1983/11/12          17.50          MC
030340         1983/11/13          10.90          MC
030340         1983/11/14          6.560          MC
030340         1983/11/15          4.800          MC
030340         1983/11/16          7.880          MC
030340         1983/11/17          11.90          MC
030340         1983/11/18          8.770          MC
030340         1983/11/19          6.410          MC
030340         1983/11/20          5.080          MC
030340         1983/11/21          11.00          MC
030340         1983/11/22          12.60          MC
030340         1983/11/23          8.700          MC
030340         1983/11/24          6.930          MC
030340         1983/11/25          12.90          MC
030340         1983/11/26          12.00          MC
030340         1983/11/27          8.240          MC
030340         1983/11/28          6.840          MC
030340         1983/11/29          9.230          MC
030340         1983/11/30          10.60          MC
030340         1983/12/01          9.800          MC
030340         1983/12/02          8.630          MC
030340         1983/12/03          7.600          MC
030340         1983/12/04          6.590          MC
030340         1983/12/05          6.230          MC
030340         1983/12/06          8.730          MC
030340         1983/12/07          20.20          MC
030340         1983/12/08          16.80          MC
030340         1983/12/09          14.60          MC
030340         1983/12/10          12.10          MC
030340         1983/12/11          10.00          MC
030340         1983/12/12          9.510          MC
030340         1983/12/13          10.00          R
030340         1983/12/14          25.00          R
030340         1983/12/15          45.00          R
030340         1983/12/16          28.00          R
030340         1983/12/17          18.00          R
030340         1983/12/18          12.00          R
030340         1983/12/19          10.00          R
030340         1983/12/20          8.700          R
030340         1983/12/21          7.500          R
030340         1983/12/22          6.400          R
030340         1983/12/23          5.700          R
