Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1994-08-08
Station:        030341         Yamaska - à 0,3 km en aval du barrage à Saint-Hyacinthe                                                                                        
Bassin versant: 3310 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 45° 37' 16" // -72° 56' 42"

Date de création du fichier: 2012-06-29 02:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030341         1983/11/02          11.10          J
030341         1983/11/03          
030341         1983/11/04          
030341         1983/11/05          
030341         1983/11/06          
030341         1983/11/07          
030341         1983/11/08          
030341         1983/11/09          
030341         1983/11/10          49.90          J
030341         1983/11/11          94.70          MC
030341         1983/11/12          389.0          MC
030341         1983/11/13          225.0          MC
030341         1983/11/14          105.0          MC
030341         1983/11/15          76.10          MC
030341         1983/11/16          78.90          MC
030341         1983/11/17          212.0          MC
030341         1983/11/18          162.0          MC
030341         1983/11/19          99.50          MC
030341         1983/11/20          75.90          MC
030341         1983/11/21          201.0          MC
030341         1983/11/22          293.0          MC
030341         1983/11/23          142.0          MC
030341         1983/11/24          97.80          MC
030341         1983/11/25          211.0          MC
030341         1983/11/26          253.0          MC
030341         1983/11/27          129.0          MC
030341         1983/11/28          91.90          MC
030341         1983/11/29          107.0          MC
030341         1983/11/30          173.0          MC
030341         1983/12/01          121.0          MC
030341         1983/12/02          92.90          MC
030341         1983/12/03          79.60          MC
030341         1983/12/04          66.40          MC
030341         1983/12/05          61.80          MC
030341         1983/12/06          66.90          MC
030341         1983/12/07          211.0          MC
030341         1983/12/08          157.0          MC
030341         1983/12/09          130.0          MC
030341         1983/12/10          113.0          MC
030341         1983/12/11          92.50          MC
030341         1983/12/12          83.20          MC
030341         1983/12/13          323.0          MC
030341         1983/12/14          683.0          MC
030341         1983/12/15          796.0          MC
030341         1983/12/16          573.0          MC
030341         1983/12/17          283.0          MC
030341         1983/12/18          142.0          MC
030341         1983/12/19          98.90          MC
030341         1983/12/20          76.00          MC
030341         1983/12/21          66.80          MC
030341         1983/12/22          64.10          MC
030341         1983/12/23          56.20          MC
030341         1983/12/24          51.00          R
030341         1983/12/25          48.00          R
030341         1983/12/26          45.00          R
030341         1983/12/27          42.50          R
030341         1983/12/28          40.00          R
030341         1983/12/29          38.00          R
030341         1983/12/30          36.00          R
030341         1983/12/31          34.50          R
030341         1984/01/01          33.00          R
030341         1984/01/02          31.50          R
030341         1984/01/03          30.50          R
030341         1984/01/04          29.50          R
030341         1984/01/05          28.50          R
030341         1984/01/06          27.50          R
030341         1984/01/07          26.70          R
030341         1984/01/08          25.80          R
030341         1984/01/09          24.90          R
030341         1984/01/10          24.30          R
030341         1984/01/11          23.70          R
030341         1984/01/12          23.00          R
030341         1984/01/13          22.30          R
030341         1984/01/14          21.70          R
030341         1984/01/15          21.00          R
030341         1984/01/16          20.70          J
030341         1984/01/17          20.20          R
030341         1984/01/18          19.90          R
030341         1984/01/19          19.60          R
030341         1984/01/20          19.20          R
030341         1984/01/21          18.90          R
030341         1984/01/22          18.70          R
030341         1984/01/23          18.40          R
030341         1984/01/24          18.20          R
030341         1984/01/25          18.00          R
030341         1984/01/26          17.70          R
030341         1984/01/27          17.40          R
030341         1984/01/28          17.10          R
030341         1984/01/29          16.90          R
030341         1984/01/30          16.70          R
030341         1984/01/31          16.60          R
030341         1984/02/01          16.30          R
030341         1984/02/02          16.20          R
030341         1984/02/03          16.00          R
030341         1984/02/04          16.00          R
030341         1984/02/05          15.90          R
030341         1984/02/06          16.00          R
030341         1984/02/07          17.40          R
030341         1984/02/08          23.20          R
030341         1984/02/09          23.20          R
030341         1984/02/10          22.60          R
