Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        030343         Yamaska Nord - à 0,1 km en aval du barrage du lac Waterloo                                                                                     
Bassin versant: 31.2 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 45° 21' 1" // -72° 30' 55"

Date de création du fichier: 2019-11-29 04:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030343         1984/11/07          0.560          MC
030343         1984/11/08          0.498          MC
030343         1984/11/09          0.422          MC
030343         1984/11/10          0.402          MC
030343         1984/11/11          0.400          MC
030343         1984/11/12          0.543          MC
030343         1984/11/13          1.070          MC
030343         1984/11/14          1.140          MC
030343         1984/11/15          0.959          MC
030343         1984/11/16          0.812          MC
030343         1984/11/17          0.678          MC
030343         1984/11/18          0.633          MC
030343         1984/11/19          0.560          MC
030343         1984/11/20          0.500          MC
030343         1984/11/21          0.441          MC
030343         1984/11/22          0.398          MC
030343         1984/11/23          0.362          MC
030343         1984/11/24          0.352          MC
030343         1984/11/25          0.343          MC
030343         1984/11/26          0.333          MC
030343         1984/11/27          0.330          MC
030343         1984/11/28          0.348          MC
030343         1984/11/29          0.442          MC
030343         1984/11/30          0.543          MC
030343         1984/12/01          0.584          MC
030343         1984/12/02          0.641          MC
030343         1984/12/03          0.601          MC
030343         1984/12/04          0.585          MC
030343         1984/12/05          0.491          MC
030343         1984/12/06          0.483          MC
030343         1984/12/07          0.473          MC
030343         1984/12/08          0.439          MC
030343         1984/12/09          0.402          MC
030343         1984/12/10          0.366          MC
030343         1984/12/11          0.334          MC
030343         1984/12/12          0.350          MC
030343         1984/12/13          0.409          MC
030343         1984/12/14          0.607          MC
030343         1984/12/15          0.659          MC
030343         1984/12/16          0.608          MC
030343         1984/12/17          0.688          MC
030343         1984/12/18          0.974          MC
030343         1984/12/19          0.929          MC
030343         1984/12/20          0.804          MC
030343         1984/12/21          0.651          MC
030343         1984/12/22          0.586          MC
