Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1998-04-01
Station:        030344         Chibouet - à 1,0 km de l'embouchure                                                                                                            
Bassin versant: 159 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 47' 19" // -72° 51' 43"

Date de création du fichier: 2012-06-29 02:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030344         1988/09/08          0.116          MC
030344         1988/09/09          0.115          J
030344         1988/09/10          0.117          MC
030344         1988/09/11          0.111          MC
030344         1988/09/12          0.107          MC
030344         1988/09/13          0.113          MC
030344         1988/09/14          0.115          MC
030344         1988/09/15          0.115          MC
030344         1988/09/16          0.112          MC
030344         1988/09/17          0.116          MC
030344         1988/09/18          0.131          MC
030344         1988/09/19          0.140          MC
030344         1988/09/20          0.152          MC
030344         1988/09/21          0.162          MC
030344         1988/09/22          0.152          MC
030344         1988/09/23          0.152          MC
030344         1988/09/24          0.142          MC
030344         1988/09/25          0.139          MC
030344         1988/09/26          0.134          MC
030344         1988/09/27          0.132          MC
030344         1988/09/28          0.149          MC
030344         1988/09/29          0.139          MC
030344         1988/09/30          0.141          MC
030344         1988/10/01          0.149          MC
030344         1988/10/02          0.168          MC
030344         1988/10/03          0.404          MC
030344         1988/10/04          0.292          MC
030344         1988/10/05          0.200          MC
030344         1988/10/06          0.193          MC
030344         1988/10/07          0.202          MC
030344         1988/10/08          0.184          MC
030344         1988/10/09          0.179          MC
030344         1988/10/10          0.187          MC
030344         1988/10/11          0.214          MC
030344         1988/10/12          0.240          MC
030344         1988/10/13          0.220          MC
030344         1988/10/14          0.228          MC
030344         1988/10/15          0.333          MC
030344         1988/10/16          0.402          MC
030344         1988/10/17          0.371          MC
030344         1988/10/18          0.376          MC
030344         1988/10/19          0.374          MC
030344         1988/10/20          0.345          MC
030344         1988/10/21          0.290          MC
030344         1988/10/22          0.356          MC
030344         1988/10/23          1.390          MC
030344         1988/10/24          1.400          MC
030344         1988/10/25          1.530          MC
030344         1988/10/26          1.340          MC
