Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2000-06-14, préliminaires par la suite
Station:        030348         Runnels - à 30 m en aval du pont-route                                                                                                         
Bassin versant: 102 km²        Régime: Influencé                                         
Coordonnées:    (NAD83) 45° 35' 29" // -72° 38' 19"

Date de création du fichier: 2019-11-25 20:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030348         2000/06/14          0.2221         J
030348         2000/06/15          0.1921         MJ
030348         2000/06/16          0.1907         MJ
030348         2000/06/17          0.1949         MJ
030348         2000/06/18          0.1498         MJ
030348         2000/06/19          0.1175         MJ
030348         2000/06/20          0.0951         MJ
030348         2000/06/21          0.0858         MJ
030348         2000/06/22          0.1509         MJ
030348         2000/06/23          0.1332         MJ
030348         2000/06/24          0.0875         MJ
030348         2000/06/25          0.1087         MJ
030348         2000/06/26          0.4521         MJ
030348         2000/06/27          0.8258         MJ
030348         2000/06/28          0.472          MJ
030348         2000/06/29          0.2119         MJ
030348         2000/06/30          0.1707         MJ
030348         2000/07/01          0.2121         MJ
030348         2000/07/02          0.161          MJ
030348         2000/07/03          0.2228         MJ
030348         2000/07/04          0.2774         MJ
030348         2000/07/05          0.1608         MJ
030348         2000/07/06          0.1024         MJ
030348         2000/07/07          0.0734         MJ
030348         2000/07/08          0.0611         MJ
030348         2000/07/09          0.0685         MJ
030348         2000/07/10          0.1166         MJ
030348         2000/07/11          0.1158         MJ
030348         2000/07/12          0.0726         MJ
030348         2000/07/13          0.0478         MJ
030348         2000/07/14          0.0281         MJ
030348         2000/07/15          0.021          MJ
030348         2000/07/16          0.0178         MJ
030348         2000/07/17          0.0163         MJ
030348         2000/07/18          0.1637         MJ
030348         2000/07/19          0.4352         J
030348         2000/07/20          0.1267         MJ
030348         2000/07/21          0.0713         MJ
030348         2000/07/22          0.0468         MJ
030348         2000/07/23          0.0767         MJ
030348         2000/07/24          0.0626         MJ
030348         2000/07/25          0.0352         MJ
030348         2000/07/26          0.0228         MJ
030348         2000/07/27          0.0122         MJ
030348         2000/07/28          0.0073         MJ
030348         2000/07/29          0.0073         MJ
030348         2000/07/30          0.0059         MJ
030348         2000/07/31          0.0026         MJ
030348         2000/08/01          0.0018         MJ
030348         2000/08/02          0.0015         MJ
030348         2000/08/03          0.0379         MJ
030348         2000/08/04          0.067          MJ
030348         2000/08/05          0.0279         MJ
030348         2000/08/06          0.0134         MJ
030348         2000/08/07          0.0125         MJ
030348         2000/08/08          0.0063         MJ
030348         2000/08/09          0.0051         MJ
030348         2000/08/10          0.023          MJ
030348         2000/08/11          0.0266         MJ
030348         2000/08/12          0.0137         MJ
030348         2000/08/13          0.0081         MJ
030348         2000/08/14          0.0051         MJ
030348         2000/08/15          0.0033         MJ
030348         2000/08/16          0.6068         MJ
030348         2000/08/17          0.4429         MJ
030348         2000/08/18          0.1551         MJ
030348         2000/08/19          0.0927         MJ
030348         2000/08/20          0.0786         MJ
030348         2000/08/21          0.0735         MJ
030348         2000/08/22          0.0565         MJ
030348         2000/08/23          0.042          J
030348         2000/08/24          0.1305         MJ
030348         2000/08/25          0.1033         MJ
030348         2000/08/26          0.0617         MJ
030348         2000/08/27          0.0472         MJ
030348         2000/08/28          0.0423         MJ
030348         2000/08/29          0.0391         MJ
030348         2000/08/30          0.0253         MJ
030348         2000/08/31          0.0145         MJ
030348         2000/09/01          0.0085         MJ
030348         2000/09/02          0.0186         MJ
030348         2000/09/03          0.0716         MJ
030348         2000/09/04          0.0788         MJ
030348         2000/09/05          0.0401         MJ
030348         2000/09/06          0.0231         MJ
030348         2000/09/07          0.0184         MJ
030348         2000/09/08          0.011          MJ
030348         2000/09/09          0.0056         MJ
030348         2000/09/10          0.0035         MJ
030348         2000/09/11          0.0055         MJ
030348         2000/09/12          0.0122         MJ
030348         2000/09/13          0.1605         MJ
030348         2000/09/14          0.1056         MJ
030348         2000/09/15          0.2138         MJ
030348         2000/09/16          0.414          MJ
030348         2000/09/17          0.2109         MJ
030348         2000/09/18          0.1533         MJ
030348         2000/09/19          0.114          MJ
030348         2000/09/20          0.0731         MJ
030348         2000/09/21          0.0514         MJ
030348         2000/09/22          0.0699         MJ
030348         2000/09/23          0.0583         MJ
030348         2000/09/24          2.195          MJ
030348         2000/09/25          0.8109         MJ
030348         2000/09/26          0.3894         MJ
030348         2000/09/27          0.315          MJ
