Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2008-05-29
Station:        030349         Sud-Ouest - à 70 m en amont du pont-route                                                                                                      
Bassin versant: 96.3 km²       Régime: Influencé                                         
Coordonnées:    (NAD83) 45° 22' 35" // -73° 1' 52"

Date de création du fichier: 2013-04-19 18:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030349         2000/06/28          0.242          R
030349         2000/06/29          0.158          R
030349         2000/06/30          0.213          R
030349         2000/07/01          1.537          R
030349         2000/07/02          0.533          R
030349         2000/07/03          0.564          R
030349         2000/07/04          0.819          R
030349         2000/07/05          0.426          R
030349         2000/07/06          0.310          R
030349         2000/07/07          0.241          R
030349         2000/07/08          0.176          R
030349         2000/07/09          0.171          R
030349         2000/07/10          0.249          R
030349         2000/07/11          0.386          R
030349         2000/07/12          0.173          R
030349         2000/07/13          0.139          R
030349         2000/07/14          0.111          R
030349         2000/07/15          0.109          R
030349         2000/07/16          0.110          R
030349         2000/07/17          0.111          R
030349         2000/07/18          0.115          R
030349         2000/07/19          0.098          R
030349         2000/07/20          0.083          R
030349         2000/07/21          0.078          R
030349         2000/07/22          0.080          R
030349         2000/07/23          0.077          R
030349         2000/07/24          0.066          R
030349         2000/07/25          0.060          R
030349         2000/07/26          0.061          R
030349         2000/07/27          0.059          R
030349         2000/07/28          0.054          R
030349         2000/07/29          0.058          R
030349         2000/07/30          0.189          R
030349         2000/07/31          0.092          R
030349         2000/08/01          0.085          R
030349         2000/08/02          0.705          R
030349         2000/08/03          2.711          R
030349         2000/08/04          1.413          R
030349         2000/08/05          0.476          R
030349         2000/08/06          0.234          R
030349         2000/08/07          0.198          R
030349         2000/08/08          2.902          R
030349         2000/08/09          1.266          R
030349         2000/08/10          1.266          R
030349         2000/08/11          0.638          R
030349         2000/08/12          0.489          R
030349         2000/08/13          0.357          R
030349         2000/08/14          0.267          R
030349         2000/08/15          0.217          R
030349         2000/08/16          1.452          R
030349         2000/08/17          1.466          R
030349         2000/08/18          0.666          R
030349         2000/08/19          0.412          R
030349         2000/08/20          0.442          R
030349         2000/08/21          0.282          R
030349         2000/08/22          0.212          R
030349         2000/08/23          0.399          R
030349         2000/08/24          0.618          R
030349         2000/08/25          0.387          R
030349         2000/08/26          0.243          R
030349         2000/08/27          0.263          R
030349         2000/08/28          0.252          R
030349         2000/08/29          0.178          R
030349         2000/08/30          0.148          R
030349         2000/08/31          0.128          R
030349         2000/09/01          0.114          R
030349         2000/09/02          0.214          R
030349         2000/09/03          0.387          R
030349         2000/09/04          0.254          R
030349         2000/09/05          0.152          R
030349         2000/09/06          0.116          R
030349         2000/09/07          0.110          R
030349         2000/09/08          0.104          R
030349         2000/09/09          0.095          R
030349         2000/09/10          0.086          R
030349         2000/09/11          0.095          R
030349         2000/09/12          0.102          R
030349         2000/09/13          0.098          R
030349         2000/09/14          0.091          R
030349         2000/09/15          0.176          R
030349         2000/09/16          0.191          R
030349         2000/09/17          0.144          R
030349         2000/09/18          0.129          R
030349         2000/09/19          0.112          R
030349         2000/09/20          0.099          R
030349         2000/09/21          0.103          R
030349         2000/09/22          0.106          R
030349         2000/09/23          0.099          R
030349         2000/09/24          2.000          R
030349         2000/09/25          1.060          MJ
