Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1982-07-08
Station:        030406         Lac Orford - au lac Orford à Eastman                                                                                                           
Bassin versant: 8.6 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 17' 45" // -72° 16' 38"
Constante géodésique: aucune
Date de création du fichier: 2012-06-23 04:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
030406         1970/08/25          29.73          PL
030406         1970/08/26          29.73          PL
030406         1970/08/27          29.75          PL
030406         1970/08/28          29.76          PL
030406         1970/08/29          29.76          PL
030406         1970/08/30          29.76          PL
030406         1970/08/31          29.76          PL
030406         1970/09/01          29.76          PL
030406         1970/09/02          29.76          PL
030406         1970/09/03          29.75          PL
030406         1970/09/04          29.77          PL
030406         1970/09/05          29.77          PL
030406         1970/09/06          29.79          PL
030406         1970/09/07          29.79          PL
030406         1970/09/08          29.79          PL
030406         1970/09/09          29.80          PL
030406         1970/09/10          29.79          PL
030406         1970/09/11          29.79          PL
030406         1970/09/12          29.80          PL
030406         1970/09/13          29.80          PL
030406         1970/09/14          29.77          PL
030406         1970/09/15          29.77          PL
030406         1970/09/16          29.79          PL
030406         1970/09/17          29.78          PL
030406         1970/09/18          29.77          PL
030406         1970/09/19          29.78          PL
030406         1970/09/20          29.78          PL
030406         1970/09/21          29.77          PL
030406         1970/09/22          29.80          PL
030406         1970/09/23          29.89          PL
030406         1970/09/24          29.91          PL
030406         1970/09/25          29.92          PL
030406         1970/09/26          29.94          PL
030406         1970/09/27          29.94          PL
030406         1970/09/28          29.97          PL
030406         1970/09/29          29.97          PL
030406         1970/09/30          29.97          PL
030406         1970/10/01          29.96          PL
030406         1970/10/02          29.97          PL
030406         1970/10/03          29.98          PL
030406         1970/10/04          29.94          PL
030406         1970/10/05          29.94          PL
030406         1970/10/06          29.89          PL
030406         1970/10/07          29.87          PL
030406         1970/10/08          29.85          PL
030406         1970/10/09          29.82          PL
030406         1970/10/10          29.80          PL
030406         1970/10/11          29.81          PL
030406         1970/10/12          29.79          PL
030406         1970/10/13          29.76          PL
030406         1970/10/14          29.74          PL
030406         1970/10/15          29.75          PL
030406         1970/10/16          29.76          PL
030406         1970/10/17          29.75          PL
030406         1970/10/18          29.75          PL
030406         1970/10/19          29.75          PL
030406         1970/10/20          29.72          PL
030406         1970/10/21          29.70          PL
030406         1970/10/22          29.71          PL
030406         1970/10/23          29.71          PL
030406         1970/10/24          29.74          PL
030406         1970/10/25          29.74          PL
030406         1970/10/26          29.74          PL
030406         1970/10/27          29.74          PL
030406         1970/10/28          29.73          PL
030406         1970/10/29          29.75          PL
030406         1970/10/30          29.75          PL
030406         1970/10/31          29.73          PL
030406         1970/11/01          29.73          PL
030406         1970/11/02          29.69          PL
030406         1970/11/03          29.67          PL
030406         1970/11/04          29.68          PL
030406         1970/11/05          29.69          PL
030406         1970/11/06          29.69          PL
030406         1970/11/07          29.70          PL
030406         1970/11/08          29.70          PL
030406         1970/11/09          29.70          PL
030406         1970/11/10          29.70          PL
030406         1970/11/11          29.70          PL
030406         1970/11/12          29.70          PL
030406         1970/11/13          29.72          PL
030406         1970/11/14          29.73          PL
030406         1970/11/15          29.73          PL
030406         1970/11/16          29.73          PL
030406         1970/11/17          29.75          PL
030406         1970/11/18          29.78          PL
030406         1970/11/19          29.78          PL
030406         1970/11/20          29.79          PL
030406         1970/11/21          29.81          PL
030406         1970/11/22          29.82          PL
030406         1970/11/23          29.85          PL
030406         1970/11/24          29.86          PL
030406         1970/11/25          29.87          PL
030406         1970/11/26          29.88          PL
030406         1970/11/27          29.89          PL
030406         1970/11/28          29.90          PL
030406         1970/11/29          29.91          PL
030406         1970/11/30          29.92          PL
030406         1970/12/01          29.91          PL
030406         1970/12/02          29.91          PL
030406         1970/12/03          29.92          PL
030406         1970/12/04          29.92          PL
030406         1970/12/05          29.92          PL
030406         1970/12/06          29.92          PL
