Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-07-29, préliminaires par la suite
Station:        030415         Des Hurons - au pont-route du Chemin de la Rivière-des-Hurons Ouest                                                                            
Bassin versant: 308 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 29' 26" // -73° 11' 9"

Date de création du fichier: 2019-11-29 21:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030415         1973/10/01          0.560          MC
030415         1973/10/02          0.600          MC
030415         1973/10/03          1.480          MC
030415         1973/10/04          9.630          MC
030415         1973/10/05          14.80          MC
030415         1973/10/06          16.00          MC
030415         1973/10/07          5.070          MC
030415         1973/10/08          2.680          MC
030415         1973/10/09          1.720          MC
030415         1973/10/10          1.290          MC
030415         1973/10/11          1.040          MC
030415         1973/10/12          1.060          MC
030415         1973/10/13          0.880          MC
030415         1973/10/14          1.200          MC
030415         1973/10/15          1.090          MC
030415         1973/10/16          0.760          MC
030415         1973/10/17          0.650          MC
030415         1973/10/18          0.620          MC
030415         1973/10/19          0.610          MC
030415         1973/10/20          0.570          MC
030415         1973/10/21          0.570          MC
030415         1973/10/22          0.530          MC
030415         1973/10/23          0.530          MC
030415         1973/10/24          0.470          MC
030415         1973/10/25          0.420          MC
030415         1973/10/26          0.460          MC
030415         1973/10/27          0.380          MC
030415         1973/10/28          0.330          MC
030415         1973/10/29          0.360          MC
030415         1973/10/30          0.470          MC
030415         1973/10/31          0.590          MC
030415         1973/11/01          0.600          MC
030415         1973/11/02          0.780          MC
030415         1973/11/03          0.730          MC
030415         1973/11/04          0.630          MC
030415         1973/11/05          0.520          MC
030415         1973/11/06          0.420          MC
030415         1973/11/07          0.380          MC
030415         1973/11/08          0.440          MC
030415         1973/11/09          0.470          MC
030415         1973/11/10          0.670          MC
030415         1973/11/11          0.320          MC
030415         1973/11/12          0.370          MC
030415         1973/11/13          0.510          MC
030415         1973/11/14          0.800          MC
030415         1973/11/15          0.810          MC
030415         1973/11/16          0.820          MC
030415         1973/11/17          0.770          MC
030415         1973/11/18          0.700          MC
030415         1973/11/19          0.670          MC
030415         1973/11/20          0.560          MC
030415         1973/11/21          0.790          MC
030415         1973/11/22          2.100          MC
030415         1973/11/23          3.000          MC
030415         1973/11/24          2.860          MC
030415         1973/11/25          13.80          MC
030415         1973/11/26          5.240          MC
030415         1973/11/27          4.020          MC
030415         1973/11/28          13.50          MC
030415         1973/11/29          14.80          MC
030415         1973/11/30          6.600          MC
030415         1973/12/01          4.670          MC
030415         1973/12/02          3.280          MC
030415         1973/12/03          3.570          MC
030415         1973/12/04          3.450          MC
030415         1973/12/05          8.410          MC
030415         1973/12/06          21.50          MC
030415         1973/12/07          7.790          MC
030415         1973/12/08          4.700          MC
030415         1973/12/09          4.930          MC
030415         1973/12/10          10.10          MC
030415         1973/12/11          6.940          MC
030415         1973/12/12          4.670          MC
030415         1973/12/13          4.280          MC
030415         1973/12/14          8.720          MC
030415         1973/12/15          7.020          MC
030415         1973/12/16          6.120          MC
030415         1973/12/17          5.830          MC
030415         1973/12/18          4.530          R
030415         1973/12/19          3.740          R
030415         1973/12/20          3.110          R
030415         1973/12/21          9.630          R
030415         1973/12/22          15.60          R
030415         1973/12/23          13.30          R
030415         1973/12/24          11.00          R
030415         1973/12/25          9.910          R
030415         1973/12/26          13.60          R
030415         1973/12/27          26.60          R
030415         1973/12/28          29.40          R
030415         1973/12/29          25.50          R
030415         1973/12/30          19.80          R
030415         1973/12/31          14.20          R
030415         1974/01/01          9.060          R
030415         1974/01/02          7.360          R
030415         1974/01/03          6.230          R
030415         1974/01/04          4.530          R
030415         1974/01/05          3.960          R
