Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2012-07-24
Station:        030420         Aux Brochets - à 0,7 km en aval du ruisseau Groat                                                                                              
Bassin versant: 395 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 7' 22" // -72° 59' 47"

Date de création du fichier: 2015-12-11 18:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030420         1979/09/19          14.20          MC
030420         1979/09/20          9.820          MC
030420         1979/09/21          6.370          MC
030420         1979/09/22          5.250          MC
030420         1979/09/23          4.770          MC
030420         1979/09/24          4.220          MC
030420         1979/09/25          3.860          MC
030420         1979/09/26          3.590          MC
030420         1979/09/27          3.370          MC
030420         1979/09/28          3.210          MC
030420         1979/09/29          3.130          MC
030420         1979/09/30          3.070          MC
030420         1979/10/01          2.750          MC
030420         1979/10/02          2.890          MC
030420         1979/10/03          2.930          MC
030420         1979/10/04          3.000          MC
030420         1979/10/05          2.950          MC
030420         1979/10/06          5.300          MC
030420         1979/10/07          4.960          MC
030420         1979/10/08          4.040          MC
030420         1979/10/09          4.360          MC
030420         1979/10/10          5.480          MC
030420         1979/10/11          5.960          MC
030420         1979/10/12          5.450          MC
030420         1979/10/13          5.680          MC
030420         1979/10/14          5.490          MC
030420         1979/10/15          4.850          MC
030420         1979/10/16          5.260          MC
030420         1979/10/17          4.950          MC
030420         1979/10/18          4.860          MC
030420         1979/10/19          4.600          MC
030420         1979/10/20          4.730          MC
030420         1979/10/21          6.790          MC
030420         1979/10/22          7.390          MC
030420         1979/10/23          5.980          MC
030420         1979/10/24          5.520          MC
030420         1979/10/25          6.180          MC
030420         1979/10/26          5.380          MC
030420         1979/10/27          4.870          MC
030420         1979/10/28          4.520          MC
030420         1979/10/29          4.600          MC
030420         1979/10/30          4.490          MC
030420         1979/10/31          4.290          MC
030420         1979/11/01          4.110          MC
030420         1979/11/02          4.380          MC
030420         1979/11/03          10.00          MC
030420         1979/11/04          9.040          MC
030420         1979/11/05          6.440          MC
030420         1979/11/06          5.580          MC
030420         1979/11/07          5.120          MC
030420         1979/11/08          5.020          MC
030420         1979/11/09          4.830          MC
030420         1979/11/10          6.450          MC
030420         1979/11/11          6.490          MC
030420         1979/11/12          5.460          MC
030420         1979/11/13          4.910          MC
030420         1979/11/14          4.750          MC
030420         1979/11/15          4.980          J
030420         1979/11/16          5.040          MC
030420         1979/11/17          4.770          MC
030420         1979/11/18          5.250          MC
030420         1979/11/19          5.190          MC
030420         1979/11/20          4.840          MC
030420         1979/11/21          5.180          MC
030420         1979/11/22          5.390          MC
030420         1979/11/23          6.340          MC
030420         1979/11/24          5.870          MC
030420         1979/11/25          6.580          MC
030420         1979/11/26          7.970          MC
030420         1979/11/27          44.90          MC
030420         1979/11/28          20.20          MC
030420         1979/11/29          12.70          MC
030420         1979/11/30          8.540          MC
030420         1979/12/01          7.060          MC
030420         1979/12/02          6.340          MC
030420         1979/12/03          5.450          MC
030420         1979/12/04          5.340          MC
030420         1979/12/05          5.380          MC
030420         1979/12/06          5.600          MC
030420         1979/12/07          6.800          MC
030420         1979/12/08          6.580          MC
030420         1979/12/09          5.140          MC
030420         1979/12/10          4.760          MC
030420         1979/12/11          5.180          MC
030420         1979/12/12          7.360          MC
030420         1979/12/13          6.550          MC
030420         1979/12/14          4.990          MC
030420         1979/12/15          4.320          MC
030420         1979/12/16          4.620          MC
030420         1979/12/17          4.480          MC
030420         1979/12/18          5.420          MC
030420         1979/12/19          6.030          MC
030420         1979/12/20          4.940          MC
030420         1979/12/21          3.600          MC
030420         1979/12/22          3.630          MC
030420         1979/12/23          3.890          MC
