Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-07-29, préliminaires par la suite
Station:        030423         Morpions - à 3,1 km en amont de la rivière aux Brochets                                                                                        
Bassin versant: 94.1 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 11' 54" // -73° 1' 58"

Date de création du fichier: 2019-11-29 23:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030423         1999/07/08          1.018          J
030423         1999/07/09          0.7525         MJ
030423         1999/07/10          0.9645         MJ
030423         1999/07/11          1.113          MJ
030423         1999/07/12          0.6135         MJ
030423         1999/07/13          0.3986         MJ
030423         1999/07/14          0.3062         MJ
030423         1999/07/15          0.2415         MJ
030423         1999/07/16          0.2022         MJ
030423         1999/07/17          0.1717         MJ
030423         1999/07/18          0.1499         MJ
030423         1999/07/19          0.1347         MJ
030423         1999/07/20          0.1219         MJ
030423         1999/07/21          0.1071         MJ
030423         1999/07/22          0.0982         MJ
030423         1999/07/23          0.0916         MJ
030423         1999/07/24          0.1093         MJ
030423         1999/07/25          0.1192         MJ
030423         1999/07/26          0.1057         MJ
030423         1999/07/27          0.0907         MJ
030423         1999/07/28          0.0837         MJ
030423         1999/07/29          0.0748         MJ
030423         1999/07/30          0.0677         MJ
030423         1999/07/31          0.0828         MJ
030423         1999/08/01          0.0667         MJ
030423         1999/08/02          0.0518         MJ
030423         1999/08/03          0.0484         MJ
030423         1999/08/04          0.0631         MJ
030423         1999/08/05          0.0837         MJ
030423         1999/08/06          0.0735         MJ
030423         1999/08/07          0.0851         MJ
030423         1999/08/08          0.0859         MJ
030423         1999/08/09          0.1043         MJ
030423         1999/08/10          0.0724         MJ
030423         1999/08/11          0.0564         MJ
030423         1999/08/12          0.0501         J
030423         1999/08/13          0.048          MJ
030423         1999/08/14          0.6365         MJ
030423         1999/08/15          0.2328         MJ
030423         1999/08/16          0.1392         MJ
030423         1999/08/17          0.1123         MJ
030423         1999/08/18          0.0911         MJ
030423         1999/08/19          0.0781         MJ
030423         1999/08/20          0.0681         MJ
030423         1999/08/21          0.0616         MJ
030423         1999/08/22          0.0574         MJ
030423         1999/08/23          0.0544         MJ
030423         1999/08/24          0.0507         MJ
030423         1999/08/25          0.042          MJ
030423         1999/08/26          0.0376         MJ
030423         1999/08/27          0.0462         MJ
030423         1999/08/28          0.0409         MJ
030423         1999/08/29          0.0343         MJ
030423         1999/08/30          0.0292         MJ
030423         1999/08/31          0.0293         MJ
030423         1999/09/01          0.0381         MJ
030423         1999/09/02          0.0356         MJ
030423         1999/09/03          0.0258         MJ
030423         1999/09/04          0.022          MJ
030423         1999/09/05          0.0205         MJ
030423         1999/09/06          0.0288         MJ
030423         1999/09/07          0.0517         MJ
030423         1999/09/08          0.1019         MJ
030423         1999/09/09          0.0627         MJ
030423         1999/09/10          0.1477         MJ
030423         1999/09/11          0.116          MJ
030423         1999/09/12          0.0597         MJ
030423         1999/09/13          0.0451         MJ
030423         1999/09/14          0.0407         MJ
030423         1999/09/15          0.0535         MJ
030423         1999/09/16          0.0588         MJ
030423         1999/09/17          3.247          MJ
030423         1999/09/18          2.150          MJ
030423         1999/09/19          0.8008         MJ
030423         1999/09/20          0.4666         MJ
030423         1999/09/21          5.971          MJ
030423         1999/09/22          3.998          MJ
030423         1999/09/23          7.976          MJ
030423         1999/09/24          2.679          MJ
030423         1999/09/25          1.508          MJ
030423         1999/09/26          1.051          MJ
030423         1999/09/27          0.8214         MJ
030423         1999/09/28          0.6813         MJ
030423         1999/09/29          0.5805         MJ
030423         1999/09/30          1.173          MJ
030423         1999/10/01          1.629          MJ
030423         1999/10/02          1.008          MJ
030423         1999/10/03          0.7971         MJ
030423         1999/10/04          2.185          MJ
030423         1999/10/05          2.409          MJ
030423         1999/10/06          1.482          MJ
030423         1999/10/07          1.150          MJ
030423         1999/10/08          0.9214         MJ
030423         1999/10/09          0.9488         MJ
030423         1999/10/10          0.8858         MJ
030423         1999/10/11          1.386          MJ
030423         1999/10/12          1.133          MJ
030423         1999/10/13          0.911          MJ
030423         1999/10/14          2.349          MJ
030423         1999/10/15          1.923          MJ
030423         1999/10/16          1.302          MJ
030423         1999/10/17          1.095          MJ
030423         1999/10/18          1.290          MJ
030423         1999/10/19          1.122          MJ
030423         1999/10/20          0.9401         MJ
030423         1999/10/21          0.8558         MJ
030423         1999/10/22          0.7618         MJ
030423         1999/10/23          5.252          MJ
030423         1999/10/24          9.502          MJ
030423         1999/10/25          3.524          MJ
030423         1999/10/26          2.111          MJ
030423         1999/10/27          1.643          MJ
030423         1999/10/28          1.320          MJ
030423         1999/10/29          1.141          MJ
030423         1999/10/30          0.9934         MJ
030423         1999/10/31          0.9285         MJ
030423         1999/11/01          0.8531         MJ
030423         1999/11/02          0.8011         MJ
030423         1999/11/03          0.9772         MJ
030423         1999/11/04          0.8716         MJ
030423         1999/11/05          0.7082         MJ
030423         1999/11/06          0.6553         MJ
030423         1999/11/07          0.5717         MJ
030423         1999/11/08          0.5064         MJ
030423         1999/11/09          0.5299         MJ
030423         1999/11/10          0.5147         MJ
030423         1999/11/11          0.4344         J
030423         1999/11/12          0.4258         MJ
030423         1999/11/13          0.4718         MJ
030423         1999/11/14          0.5485         MJ
030423         1999/11/15          0.7209         MJ
030423         1999/11/16          0.6606         MJ
030423         1999/11/17          0.7025         MJ
030423         1999/11/18          0.6513         MJ
030423         1999/11/19          0.8875         MJ
030423         1999/11/20          3.169          MJ
030423         1999/11/21          4.366          MJ
030423         1999/11/22          2.269          MJ
030423         1999/11/23          1.703          MJ
030423         1999/11/24          1.435          MJ
030423         1999/11/25          1.196          MJ
030423         1999/11/26          2.544          MJ
030423         1999/11/27          12.05          MJ
030423         1999/11/28          4.925          MJ
030423         1999/11/29          2.517          MJ
030423         1999/11/30          1.802          MJ
030423         1999/12/01          1.358          MJ
030423         1999/12/02          1.124          MJ
030423         1999/12/03          1.026          MJ
030423         1999/12/04          1.432          MJ
030423         1999/12/05          1.800          MJ
030423         1999/12/06          2.149          MJ
030423         1999/12/07          2.389          MJ
030423         1999/12/08          1.658          MJ
030423         1999/12/09          1.344          MJ
030423         1999/12/10          1.293          MJ
030423         1999/12/11          1.822          MJ
030423         1999/12/12          1.917          MJ
030423         1999/12/13          1.666          MJ
030423         1999/12/14          1.481          MJ
030423         1999/12/15          1.474          MJ
030423         1999/12/16          4.553          MJ
030423         1999/12/17          3.875          MJ
030423         1999/12/18          1.895          MJ
030423         1999/12/19          1.416          MJ
030423         1999/12/20          1.317          MJ
030423         1999/12/21          4.172          MJ
030423         1999/12/22          2.046          MJ
030423         1999/12/23          1.610          MJ
030423         1999/12/24          1.236          R
030423         1999/12/25          1.000          R
030423         1999/12/26          0.809          R
030423         1999/12/27          0.690          R
030423         1999/12/28          0.597          R
030423         1999/12/29          0.521          R
030423         1999/12/30          0.458          R
030423         1999/12/31          0.415          R
030423         2000/01/01          0.428          R
030423         2000/01/02          0.425          R
030423         2000/01/03          1.215          R
030423         2000/01/04          1.001          R
030423         2000/01/05          0.854          R
030423         2000/01/06          0.733          R
030423         2000/01/07          0.638          R
030423         2000/01/08          0.569          R
030423         2000/01/09          0.498          R
030423         2000/01/10          0.463          R
030423         2000/01/11          1.044          R
030423         2000/01/12          0.948          R
030423         2000/01/13          0.776          R
030423         2000/01/14          0.664          R
030423         2000/01/15          0.598          R
030423         2000/01/16          0.514          R
030423         2000/01/17          0.448          R
030423         2000/01/18          0.411          R
030423         2000/01/19          0.369          R
030423         2000/01/20          0.337          R
030423         2000/01/21          0.310          R
030423         2000/01/22          0.280          R
030423         2000/01/23          0.260          R
030423         2000/01/24          0.239          R
030423         2000/01/25          0.222          R
030423         2000/01/26          0.206          R
030423         2000/01/27          0.191          R
030423         2000/01/28          0.180          R
030423         2000/01/29          0.169          R
030423         2000/01/30          0.162          R
030423         2000/01/31          0.157          R
030423         2000/02/01          0.151          J
030423         2000/02/02          0.147          R
030423         2000/02/03          0.144          R
030423         2000/02/04          0.140          R
030423         2000/02/05          0.138          R
030423         2000/02/06          0.134          R
030423         2000/02/07          0.131          R
030423         2000/02/08          0.129          R
030423         2000/02/09          0.128          R
030423         2000/02/10          0.126          R
030423         2000/02/11          0.124          R
030423         2000/02/12          0.122          R
030423         2000/02/13          0.121          R
030423         2000/02/14          0.120          R
030423         2000/02/15          0.119          R
030423         2000/02/16          0.118          R
030423         2000/02/17          0.117          R
030423         2000/02/18          0.117          R
030423         2000/02/19          0.116          R
030423         2000/02/20          0.116          R
030423         2000/02/21          0.115          R
030423         2000/02/22          0.115          R
030423         2000/02/23          0.159          R
030423         2000/02/24          0.237          R
030423         2000/02/25          0.426          R
030423         2000/02/26          1.192          R
030423         2000/02/27          3.640          R
030423         2000/02/28          9.892          R
030423         2000/02/29          8.900          R
030423         2000/03/01          6.400          J
030423         2000/03/02          5.599          R
030423         2000/03/03          4.508          R
030423         2000/03/04          3.919          R
030423         2000/03/05          3.474          R
030423         2000/03/06          3.214          R
030423         2000/03/07          1.909          R
030423         2000/03/08          1.640          R
030423         2000/03/09          8.998          MJ
030423         2000/03/10          8.401          MJ
030423         2000/03/11          3.036          MJ
030423         2000/03/12          1.844          MJ
030423         2000/03/13          1.463          MJ
030423         2000/03/14          1.241          MJ
030423         2000/03/15          1.674          MJ
030423         2000/03/16          18.25          MJ
030423         2000/03/17          5.898          MJ
030423         2000/03/18          2.422          MJ
030423         2000/03/19          1.880          MJ
030423         2000/03/20          2.033          MJ
030423         2000/03/21          2.503          MJ
030423         2000/03/22          2.969          MJ
030423         2000/03/23          3.372          MJ
030423         2000/03/24          3.360          MJ
030423         2000/03/25          2.846          MJ
030423         2000/03/26          3.020          MJ
030423         2000/03/27          2.427          MJ
030423         2000/03/28          4.062          MJ
030423         2000/03/29          9.000          MJ
030423         2000/03/30          4.888          MJ
030423         2000/03/31          3.037          MJ
030423         2000/04/01          2.326          MJ
030423         2000/04/02          2.219          MJ
030423         2000/04/03          2.830          MJ
030423         2000/04/04          10.18          MJ
030423         2000/04/05          6.325          MJ
030423         2000/04/06          3.438          MJ
030423         2000/04/07          3.132          MJ
030423         2000/04/08          9.685          MJ
030423         2000/04/09          9.711          MJ
030423         2000/04/10          4.829          MJ
030423         2000/04/11          5.362          MJ
030423         2000/04/12          4.202          MJ
030423         2000/04/13          3.822          MJ
030423         2000/04/14          6.842          MJ
030423         2000/04/15          15.82          MJ
030423         2000/04/16          7.717          MJ
030423         2000/04/17          3.278          MJ
030423         2000/04/18          2.256          MJ
030423         2000/04/19          1.854          MJ
030423         2000/04/20          1.630          MJ
030423         2000/04/21          3.133          MJ
030423         2000/04/22          5.470          MJ
030423         2000/04/23          4.314          MJ
030423         2000/04/24          10.88          MJ
030423         2000/04/25          4.522          MJ
030423         2000/04/26          2.414          MJ
030423         2000/04/27          1.871          MJ
030423         2000/04/28          1.633          MJ
030423         2000/04/29          1.368          MJ
030423         2000/04/30          1.224          MJ
030423         2000/05/01          1.136          MJ
030423         2000/05/02          1.116          MJ
030423         2000/05/03          0.9273         MJ
030423         2000/05/04          0.852          MJ
030423         2000/05/05          0.8777         MJ
030423         2000/05/06          0.8173         MJ
030423         2000/05/07          0.9868         MJ
030423         2000/05/08          0.9551         MJ
030423         2000/05/09          8.257          MJ
030423         2000/05/10          7.836          MJ
030423         2000/05/11          11.59          MJ
030423         2000/05/12          4.495          MJ
030423         2000/05/13          2.793          MJ
030423         2000/05/14          3.399          MJ
030423         2000/05/15          1.851          MJ
030423         2000/05/16          1.389          MJ
030423         2000/05/17          1.112          MJ
030423         2000/05/18          8.877          MJ
030423         2000/05/19          6.301          MJ
030423         2000/05/20          2.542          MJ
030423         2000/05/21          1.789          MJ
030423         2000/05/22          1.476          MJ
030423         2000/05/23          1.174          MJ
030423         2000/05/24          1.736          MJ
030423         2000/05/25          4.330          MJ
030423         2000/05/26          2.733          MJ
030423         2000/05/27          1.725          MJ
030423         2000/05/28          1.299          MJ
030423         2000/05/29          1.039          MJ
030423         2000/05/30          0.8742         J
030423         2000/05/31          0.7487         MJ
030423         2000/06/01          0.6737         MJ
030423         2000/06/02          0.6158         MJ
030423         2000/06/03          0.5394         MJ
030423         2000/06/04          0.4667         MJ
030423         2000/06/05          0.4194         MJ
030423         2000/06/06          0.4407         MJ
030423         2000/06/07          0.4369         MJ
030423         2000/06/08          0.3957         MJ
030423         2000/06/09          0.4204         MJ
030423         2000/06/10          0.3578         MJ
030423         2000/06/11          0.6341         MJ
030423         2000/06/12          0.6024         MJ
030423         2000/06/13          0.463          MJ
030423         2000/06/14          0.3992         MJ
030423         2000/06/15          0.3616         MJ
030423         2000/06/16          0.3787         MJ
030423         2000/06/17          0.3353         MJ
030423         2000/06/18          0.2885         MJ
030423         2000/06/19          0.2801         MJ
030423         2000/06/20          0.2486         MJ
030423         2000/06/21          0.2451         MJ
030423         2000/06/22          0.2942         MJ
030423         2000/06/23          0.2405         MJ
030423         2000/06/24          0.2128         MJ
030423         2000/06/25          0.2463         MJ
030423         2000/06/26          0.2633         MJ
030423         2000/06/27          0.2681         MJ
030423         2000/06/28          0.2598         MJ
030423         2000/06/29          0.2025         MJ
030423         2000/06/30          0.198          MJ
030423         2000/07/01          0.3497         MJ
030423         2000/07/02          0.2185         MJ
030423         2000/07/03          0.4699         MJ
030423         2000/07/04          0.630          MJ
030423         2000/07/05          0.6085         MJ
030423         2000/07/06          0.3821         MJ
030423         2000/07/07          0.3041         MJ
030423         2000/07/08          0.2585         MJ
030423         2000/07/09          0.2574         MJ
030423         2000/07/10          0.4114         MJ
030423         2000/07/11          0.3635         MJ
030423         2000/07/12          0.2694         MJ
030423         2000/07/13          0.2267         MJ
030423         2000/07/14          0.1983         MJ
030423         2000/07/15          0.1784         MJ
030423         2000/07/16          0.1951         MJ
030423         2000/07/17          0.1817         MJ
030423         2000/07/18          0.1957         MJ
030423         2000/07/19          0.193          MJ
030423         2000/07/20          0.1822         MJ
030423         2000/07/21          0.1664         MJ
030423         2000/07/22          0.1663         MJ
030423         2000/07/23          0.1578         MJ
030423         2000/07/24          0.145          MJ
030423         2000/07/25          0.1222         MJ
030423         2000/07/26          0.1069         MJ
030423         2000/07/27          0.1026         MJ
030423         2000/07/28          0.101          MJ
030423         2000/07/29          0.3159         MJ
030423         2000/07/30          0.2791         MJ
030423         2000/07/31          0.161          MJ
030423         2000/08/01          0.2064         MJ
030423         2000/08/02          0.178          MJ
