Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-07-29, préliminaires par la suite
Station:        030424         Aux Brochets - à Notre-Dame-de-Stanbridge (pont couvert)                                                                                       
Bassin versant: 584 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 9' 31" // -73° 3' 3"

Date de création du fichier: 2019-11-29 23:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030424         2001/11/01          1.082          MJ
030424         2001/11/02          1.305          MJ
030424         2001/11/03          2.571          MJ
030424         2001/11/04          3.661          MJ
030424         2001/11/05          2.488          MJ
030424         2001/11/06          2.546          MJ
030424         2001/11/07          2.672          MJ
030424         2001/11/08          1.956          MJ
030424         2001/11/09          1.765          MJ
030424         2001/11/10          1.860          MJ
030424         2001/11/11          2.161          MJ
030424         2001/11/12          2.434          MJ
030424         2001/11/13          1.996          MJ
030424         2001/11/14          2.029          MJ
030424         2001/11/15          2.012          MJ
030424         2001/11/16          1.930          MJ
030424         2001/11/17          1.511          MJ
030424         2001/11/18          1.542          MJ
030424         2001/11/19          1.555          MJ
030424         2001/11/20          1.430          MJ
030424         2001/11/21          1.349          MJ
030424         2001/11/22          1.480          MJ
030424         2001/11/23          1.394          MJ
030424         2001/11/24          1.371          MJ
030424         2001/11/25          1.501          MJ
030424         2001/11/26          1.450          MJ
030424         2001/11/27          1.348          MJ
030424         2001/11/28          1.398          MJ
030424         2001/11/29          1.924          MJ
030424         2001/11/30          14.33          MJ
030424         2001/12/01          15.16          MJ
030424         2001/12/02          10.38          MJ
030424         2001/12/03          6.744          MJ
030424         2001/12/04          5.205          MJ
030424         2001/12/05          5.171          MJ
030424         2001/12/06          6.682          MJ
030424         2001/12/07          5.484          MJ
030424         2001/12/08          3.952          MJ
030424         2001/12/09          3.403          MJ
030424         2001/12/10          3.065          MJ
030424         2001/12/11          2.830          MJ
030424         2001/12/12          2.472          MJ
030424         2001/12/13          3.388          MJ
030424         2001/12/14          6.318          MJ
030424         2001/12/15          5.370          MJ
030424         2001/12/16          3.648          MJ
030424         2001/12/17          4.200          MJ
030424         2001/12/18          4.215          MJ
030424         2001/12/19          4.148          MJ
030424         2001/12/20          4.346          MJ
030424         2001/12/21          6.306          MJ
030424         2001/12/22          5.481          MJ
030424         2001/12/23          4.508          MJ
030424         2001/12/24          6.011          MJ
030424         2001/12/25          6.393          MJ
030424         2001/12/26          5.335          MJ
030424         2001/12/27          4.681          MJ
030424         2001/12/28          4.160          MJ
030424         2001/12/29          3.920          R
030424         2001/12/30          3.710          R
030424         2001/12/31          3.510          R
030424         2002/01/01          3.320          R
030424         2002/01/02          3.150          R
030424         2002/01/03          3.000          R
030424         2002/01/04          2.890          R
030424         2002/01/05          2.820          R
030424         2002/01/06          2.850          R
030424         2002/01/07          2.790          R
030424         2002/01/08          2.680          R
030424         2002/01/09          2.650          R
030424         2002/01/10          3.210          R
030424         2002/01/11          8.880          R
030424         2002/01/12          12.03          R
030424         2002/01/13          9.080          R
030424         2002/01/14          7.490          R
030424         2002/01/15          6.070          R
030424         2002/01/16          5.740          R
030424         2002/01/17          5.360          R
030424         2002/01/18          5.050          R
030424         2002/01/19          5.210          R
030424         2002/01/20          4.820          R
030424         2002/01/21          4.240          R
030424         2002/01/22          3.940          R
030424         2002/01/23          3.880          R
030424         2002/01/24          5.240          R
030424         2002/01/25          8.270          R
030424         2002/01/26          8.900          R
030424         2002/01/27          9.030          R
030424         2002/01/28          8.270          R
030424         2002/01/29          7.920          R
030424         2002/01/30          7.050          R
030424         2002/01/31          6.010          R
030424         2002/02/01          7.590          R
030424         2002/02/02          11.68          R
030424         2002/02/03          10.97          R
030424         2002/02/04          7.610          R
030424         2002/02/05          5.620          J
030424         2002/02/06          4.690          R
030424         2002/02/07          4.540          R
030424         2002/02/08          4.230          R
030424         2002/02/09          4.130          R
030424         2002/02/10          4.500          R
030424         2002/02/11          5.910          R
030424         2002/02/12          7.490          R
030424         2002/02/13          6.580          R
030424         2002/02/14          5.870          R
030424         2002/02/15          5.990          R
030424         2002/02/16          6.500          R
030424         2002/02/17          7.980          R
030424         2002/02/18          6.850          R
030424         2002/02/19          5.890          R
030424         2002/02/20          5.670          R
030424         2002/02/21          15.77          R
030424         2002/02/22          35.77          R
030424         2002/02/23          22.07          R
030424         2002/02/24          14.95          R
030424         2002/02/25          11.72          J
030424         2002/02/26          23.57          R
030424         2002/02/27          39.62          R
030424         2002/02/28          25.71          R
030424         2002/03/01          15.01          R
030424         2002/03/02          11.39          R
030424         2002/03/03          19.96          R
030424         2002/03/04          36.74          R
030424         2002/03/05          21.38          R
030424         2002/03/06          12.88          MJ
030424         2002/03/07          9.329          MJ
030424         2002/03/08          8.040          MJ
030424         2002/03/09          12.33          MJ
030424         2002/03/10          39.44          MJ
030424         2002/03/11          30.39          MJ
030424         2002/03/12          16.24          MJ
030424         2002/03/13          12.67          MJ
030424         2002/03/14          12.49          MJ
030424         2002/03/15          10.79          MJ
030424         2002/03/16          11.12          MJ
030424         2002/03/17          9.085          MJ
030424         2002/03/18          8.131          MJ
030424         2002/03/19          7.255          MJ
030424         2002/03/20          6.928          MJ
030424         2002/03/21          7.480          MJ
030424         2002/03/22          6.462          MJ
030424         2002/03/23          5.922          MJ
030424         2002/03/24          5.797          MJ
030424         2002/03/25          4.718          MJ
030424         2002/03/26          4.533          MJ
030424         2002/03/27          5.379          MJ
030424         2002/03/28          7.813          MJ
030424         2002/03/29          11.02          MJ
030424         2002/03/30          45.12          MJ
030424         2002/03/31          41.47          MJ
030424         2002/04/01          30.56          MJ
030424         2002/04/02          35.85          MJ
030424         2002/04/03          28.59          MJ
030424         2002/04/04          23.32          MJ
030424         2002/04/05          15.33          MJ
030424         2002/04/06          11.63          MJ
030424         2002/04/07          9.225          MJ
030424         2002/04/08          8.429          MJ
030424         2002/04/09          13.23          J
030424         2002/04/10          23.21          J
030424         2002/04/11          15.01          J
030424         2002/04/12          11.02          MJ
030424         2002/04/13          9.853          MJ
030424         2002/04/14          26.67          MJ
030424         2002/04/15          25.09          MJ
030424         2002/04/16          19.53          MJ
030424         2002/04/17          13.52          MJ
030424         2002/04/18          15.19          MJ
030424         2002/04/19          14.63          MJ
030424         2002/04/20          10.15          MJ
030424         2002/04/21          7.593          MJ
030424         2002/04/22          6.431          MJ
030424         2002/04/23          6.461          MJ
030424         2002/04/24          6.289          MJ
030424         2002/04/25          5.630          MJ
030424         2002/04/26          7.349          MJ
030424         2002/04/27          6.691          MJ
030424         2002/04/28          5.746          MJ
030424         2002/04/29          16.28          MJ
030424         2002/04/30          21.04          MJ
030424         2002/05/01          14.33          MJ
030424         2002/05/02          16.89          MJ
030424         2002/05/03          29.09          MJ
030424         2002/05/04          18.90          MJ
030424         2002/05/05          12.45          MJ
030424         2002/05/06          9.424          MJ
030424         2002/05/07          8.114          MJ
030424         2002/05/08          7.894          MJ
030424         2002/05/09          6.940          MJ
030424         2002/05/10          6.135          MJ
030424         2002/05/11          4.954          MJ
030424         2002/05/12          4.272          MJ
030424         2002/05/13          4.422          MJ
030424         2002/05/14          27.51          MJ
030424         2002/05/15          40.78          MJ
030424         2002/05/16          22.38          MJ
030424         2002/05/17          22.63          MJ
030424         2002/05/18          19.85          MJ
030424         2002/05/19          11.98          MJ
030424         2002/05/20          9.065          MJ
030424         2002/05/21          8.169          MJ
030424         2002/05/22          7.283          MJ
030424         2002/05/23          6.058          MJ
030424         2002/05/24          5.125          MJ
030424         2002/05/25          4.504          MJ
030424         2002/05/26          4.517          MJ
030424         2002/05/27          4.370          MJ
