Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-07-29, préliminaires par la suite
Station:        030425         De la Roche - à Saint-Armand                                                                                                                   
Bassin versant: 72.6 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 1' 19" // -73° 0' 58"

Date de création du fichier: 2019-11-29 22:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030425         2001/10/31          0.1224         MJ
030425         2001/11/01          0.1907         MJ
030425         2001/11/02          0.2005         MJ
030425         2001/11/03          0.2666         MJ
030425         2001/11/04          0.5203         MJ
030425         2001/11/05          0.389          R
030425         2001/11/06          0.324          R
030425         2001/11/07          0.278          R
030425         2001/11/08          0.243          R
030425         2001/11/09          0.279          R
030425         2001/11/10          0.316          R
030425         2001/11/11          0.354          R
030425         2001/11/12          0.260          R
030425         2001/11/13          0.184          R
030425         2001/11/14          0.237          R
030425         2001/11/15          0.290          R
030425         2001/11/16          0.235          R
030425         2001/11/17          0.128          R
030425         2001/11/18          0.168          R
030425         2001/11/19          0.188          R
030425         2001/11/20          0.140          R
030425         2001/11/21          0.094          R
030425         2001/11/22          0.106          R
030425         2001/11/23          0.119          R
030425         2001/11/24          0.130          R
030425         2001/11/25          0.134          R
030425         2001/11/26          0.116          R
030425         2001/11/27          0.083          R
030425         2001/11/28          0.0575         MJ
030425         2001/11/29          0.1139         MJ
030425         2001/11/30          0.4672         MJ
030425         2001/12/01          0.5954         MJ
030425         2001/12/02          0.4226         MJ
030425         2001/12/03          0.2895         MJ
030425         2001/12/04          0.2365         MJ
030425         2001/12/05          0.287          MJ
030425         2001/12/06          0.3457         MJ
030425         2001/12/07          0.2554         MJ
030425         2001/12/08          0.1773         MJ
030425         2001/12/09          0.1635         MJ
030425         2001/12/10          0.1413         MJ
030425         2001/12/11          0.1398         MJ
030425         2001/12/12          0.1126         MJ
030425         2001/12/13          0.2716         MJ
030425         2001/12/14          0.4627         MJ
030425         2001/12/15          0.3487         MJ
030425         2001/12/16          0.2099         MJ
030425         2001/12/17          0.2189         MJ
030425         2001/12/18          0.2552         MJ
030425         2001/12/19          0.2849         MJ
030425         2001/12/20          0.3266         MJ
030425         2001/12/21          0.5708         MJ
030425         2001/12/22          0.4069         MJ
030425         2001/12/23          0.2924         MJ
030425         2001/12/24          0.4172         MJ
030425         2001/12/25          0.4011         MJ
030425         2001/12/26          0.3825         MJ
030425         2001/12/27          0.3216         MJ
030425         2001/12/28          0.2599         MJ
030425         2001/12/29          0.221          R
030425         2001/12/30          0.193          R
030425         2001/12/31          0.169          R
030425         2002/01/01          0.148          R
030425         2002/01/02          0.131          R
030425         2002/01/03          0.116          R
030425         2002/01/04          0.105          R
030425         2002/01/05          0.097          R
030425         2002/01/06          0.091          R
030425         2002/01/07          0.103          R
030425         2002/01/08          0.121          R
030425         2002/01/09          0.161          R
030425         2002/01/10          0.2266         MJ
030425         2002/01/11          0.4482         MJ
030425         2002/01/12          0.6045         MJ
030425         2002/01/13          0.6128         MJ
030425         2002/01/14          0.3492         MJ
030425         2002/01/15          0.277          R
030425         2002/01/16          0.233          R
030425         2002/01/17          0.196          R
030425         2002/01/18          0.170          R
030425         2002/01/19          0.156          R
030425         2002/01/20          0.171          R
030425         2002/01/21          0.198          R
030425         2002/01/22          0.226          R
030425         2002/01/23          0.2672         MJ
030425         2002/01/24          0.4446         MJ
030425         2002/01/25          0.6352         MJ
030425         2002/01/26          0.8615         MJ
030425         2002/01/27          0.8961         MJ
030425         2002/01/28          0.863          MJ
030425         2002/01/29          0.7927         MJ
030425         2002/01/30          0.5145         MJ
030425         2002/01/31          0.3313         MJ
030425         2002/02/01          0.5988         MJ
030425         2002/02/02          1.027          MJ
030425         2002/02/03          0.8849         MJ
030425         2002/02/04          0.621          R
030425         2002/02/05          0.360          R
030425         2002/02/06          0.300          J
030425         2002/02/07          0.372          R
030425         2002/02/08          0.317          R
030425         2002/02/09          0.210          R
030425         2002/02/10          0.2673         MJ
030425         2002/02/11          0.4391         MJ
030425         2002/02/12          0.4799         MJ
030425         2002/02/13          0.3162         MJ
030425         2002/02/14          0.2209         MJ
030425         2002/02/15          0.2836         MJ
030425         2002/02/16          0.3531         MJ
030425         2002/02/17          0.5459         MJ
030425         2002/02/18          0.2948         MJ
030425         2002/02/19          0.225          MJ
030425         2002/02/20          0.2846         MJ
030425         2002/02/21          4.118          MJ
030425         2002/02/22          3.384          MJ
030425         2002/02/23          1.303          MJ
030425         2002/02/24          0.7726         MJ
030425         2002/02/25          0.7861         J
030425         2002/02/26          2.519          MJ
030425         2002/02/27          3.791          MJ
030425         2002/02/28          1.844          MJ
030425         2002/03/01          0.9821         MJ
030425         2002/03/02          0.7434         MJ
030425         2002/03/03          1.776          MJ
030425         2002/03/04          1.716          MJ
030425         2002/03/05          0.774          MJ
030425         2002/03/06          0.5806         MJ
030425         2002/03/07          0.5148         MJ
030425         2002/03/08          0.4975         MJ
030425         2002/03/09          0.9728         MJ
030425         2002/03/10          3.285          MJ
