Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2006-11-09
Station:        030427         Wallbridge - sur le ruisseau principal et branche #4 (ferme Falcon )                                                                           
Bassin versant: 6.3 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 11' 25" // -72° 56' 38"

Date de création du fichier: 2012-07-01 04:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030427         2001/10/30          0.0051         MJ
030427         2001/10/31          0.0099         MJ
030427         2001/11/01          0.0229         MJ
030427         2001/11/02          0.0411         MJ
030427         2001/11/03          0.1907         MJ
030427         2001/11/04          0.103          MJ
030427         2001/11/05          0.0767         MJ
030427         2001/11/06          0.0666         MJ
030427         2001/11/07          0.0544         MJ
030427         2001/11/08          0.0355         MJ
030427         2001/11/09          0.0374         MJ
030427         2001/11/10          0.0342         MJ
030427         2001/11/11          0.0624         MJ
030427         2001/11/12          0.0434         MJ
030427         2001/11/13          0.0312         MJ
030427         2001/11/14          0.0428         MJ
030427         2001/11/15          0.0498         MJ
030427         2001/11/16          0.0429         MJ
030427         2001/11/17          0.0205         MJ
030427         2001/11/18          0.0303         MJ
030427         2001/11/19          0.0365         MJ
030427         2001/11/20          0.0216         MJ
030427         2001/11/21          0.0221         MJ
030427         2001/11/22          0.0232         MJ
030427         2001/11/23          0.0206         MJ
030427         2001/11/24          0.0245         MJ
030427         2001/11/25          0.0347         MJ
030427         2001/11/26          0.0311         MJ
030427         2001/11/27          0.0213         MJ
030427         2001/11/28          0.0178         MJ
030427         2001/11/29          0.0153         MJ
030427         2001/11/30          0.3033         MJ
030427         2001/12/01          0.2686         MJ
030427         2001/12/02          0.1932         MJ
030427         2001/12/03          0.1465         MJ
030427         2001/12/04          0.1267         MJ
030427         2001/12/05          0.1643         MJ
030427         2001/12/06          0.1535         MJ
030427         2001/12/07          0.0964         MJ
030427         2001/12/08          0.0606         MJ
030427         2001/12/09          0.0577         MJ
030427         2001/12/10          0.0424         MJ
030427         2001/12/11          0.0487         MJ
030427         2001/12/12          0.0319         MJ
030427         2001/12/13          0.0605         MJ
030427         2001/12/14          0.1325         MJ
030427         2001/12/15          0.0938         MJ
030427         2001/12/16          0.0522         MJ
030427         2001/12/17          0.0589         MJ
030427         2001/12/18          0.0777         MJ
030427         2001/12/19          0.0775         MJ
030427         2001/12/20          0.1087         MJ
030427         2001/12/21          0.1592         MJ
030427         2001/12/22          0.0911         MJ
030427         2001/12/23          0.1046         MJ
030427         2001/12/24          0.157          MJ
030427         2001/12/25          0.1269         MJ
030427         2001/12/26          0.1189         MJ
030427         2001/12/27          0.0944         MJ
030427         2001/12/28          0.0693         MJ
030427         2001/12/29          0.0579         MJ
030427         2001/12/30          0.0435         MJ
030427         2001/12/31          0.029          R
030427         2002/01/01          0.016          R
