Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2006-11-02
Station:        030428         Wallbridge - sur la décharge Fournier branche # 25 (ferme Ginel )                                                                              
Bassin versant: 7.9 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 10' 0" // -72° 59' 0"

Date de création du fichier: 2012-07-01 04:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030428         2001/11/01          0.025          MJ
030428         2001/11/02          0.0323         MJ
030428         2001/11/03          0.0706         MJ
030428         2001/11/04          0.0403         MJ
030428         2001/11/05          0.0307         MJ
030428         2001/11/06          0.0269         MJ
030428         2001/11/07          0.0253         MJ
030428         2001/11/08          0.0197         MJ
030428         2001/11/09          0.0185         MJ
030428         2001/11/10          0.0199         MJ
030428         2001/11/11          0.0258         MJ
030428         2001/11/12          0.020          MJ
030428         2001/11/13          0.0181         MJ
030428         2001/11/14          0.0278         MJ
030428         2001/11/15          0.0353         MJ
030428         2001/11/16          0.0226         MJ
030428         2001/11/17          0.0128         MJ
030428         2001/11/18          0.0191         MJ
030428         2001/11/19          0.0257         MJ
030428         2001/11/20          0.0242         MJ
030428         2001/11/21          0.0127         MJ
030428         2001/11/22          0.0153         MJ
030428         2001/11/23          0.0168         MJ
030428         2001/11/24          0.0209         MJ
030428         2001/11/25          0.0311         MJ
030428         2001/11/26          0.0277         MJ
030428         2001/11/27          0.0158         MJ
030428         2001/11/28          0.014          MJ
030428         2001/11/29          0.050          MJ
030428         2001/11/30          0.2757         MJ
030428         2001/12/01          0.2234         MJ
030428         2001/12/02          0.1533         MJ
030428         2001/12/03          0.1216         MJ
030428         2001/12/04          0.1045         MJ
030428         2001/12/05          0.119          MJ
030428         2001/12/06          0.1396         MJ
030428         2001/12/07          0.0996         MJ
030428         2001/12/08          0.0648         MJ
030428         2001/12/09          0.0596         MJ
030428         2001/12/10          0.0517         MJ
030428         2001/12/11          0.0489         MJ
030428         2001/12/12          0.0392         MJ
030428         2001/12/13          0.0907         MJ
030428         2001/12/14          0.1112         MJ
030428         2001/12/15          0.0711         MJ
030428         2001/12/16          0.0567         MJ
030428         2001/12/17          0.0747         MJ
030428         2001/12/18          0.0768         MJ
030428         2001/12/19          0.0734         MJ
030428         2001/12/20          0.1022         MJ
030428         2001/12/21          0.108          MJ
030428         2001/12/22          0.0772         MJ
030428         2001/12/23          0.1056         MJ
030428         2001/12/24          0.128          MJ
030428         2001/12/25          0.107          MJ
030428         2001/12/26          0.0945         MJ
030428         2001/12/27          0.0775         MJ
030428         2001/12/28          0.0641         MJ
030428         2001/12/29          0.052          MJ
030428         2001/12/30          0.045          R
030428         2001/12/31          0.036          R
030428         2002/01/01          0.031          R
030428         2002/01/02          0.027          R
030428         2002/01/03          0.025          R
030428         2002/01/04          0.023          R
030428         2002/01/05          0.022          R
030428         2002/01/06          0.021          R
030428         2002/01/07          0.021          R
030428         2002/01/08          0.025          R
030428         2002/01/09          0.034          R
030428         2002/01/10          0.082          R
030428         2002/01/11          0.113          R
030428         2002/01/12          0.092          R
030428         2002/01/13          0.056          R
030428         2002/01/14          0.069          R
030428         2002/01/15          0.045          R
030428         2002/01/16          0.035          R
030428         2002/01/17          0.029          R
030428         2002/01/18          0.027          R
030428         2002/01/19          0.025          R
030428         2002/01/20          0.023          R
030428         2002/01/21          0.022          R
030428         2002/01/22          0.021          R
030428         2002/01/23          0.021          R
030428         2002/01/24          0.020          R
030428         2002/01/25          0.020          R
030428         2002/01/26          0.020          R
030428         2002/01/27          0.020          R
030428         2002/01/28          0.021          R
030428         2002/01/29          0.021          R
030428         2002/01/30          0.022          R
030428         2002/01/31          0.023          R
030428         2002/02/01          0.024          R
030428         2002/02/02          0.111          R
030428         2002/02/03          0.069          R
030428         2002/02/04          0.045          R
030428         2002/02/05          0.028          R
030428         2002/02/06          0.023          R
030428         2002/02/07          0.020          R
030428         2002/02/08          0.018          R
030428         2002/02/09          0.018          R
030428         2002/02/10          0.051          R
