Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-07-29, préliminaires par la suite
Station:        030905         Châteauguay - à 2 km en amont du pont-route 132                                                                                                
Bassin versant: 2492 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 45° 19' 49" // -73° 45' 44"

Date de création du fichier: 2019-11-28 21:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030905         1970/04/14          136.0          MC
030905         1970/04/15          138.0          MC
030905         1970/04/16          136.0          J
030905         1970/04/17          125.0          MC
030905         1970/04/18          136.0          MC
030905         1970/04/19          133.0          MC
030905         1970/04/20          95.70          MC
030905         1970/04/21          144.0          MC
030905         1970/04/22          130.0          MC
030905         1970/04/23          108.0          MC
030905         1970/04/24          101.0          MC
030905         1970/04/25          218.0          MC
030905         1970/04/26          153.0          MC
030905         1970/04/27          102.0          MC
030905         1970/04/28          79.30          MC
030905         1970/04/29          68.00          MC
030905         1970/04/30          60.60          MC
030905         1970/05/01          53.20          MC
030905         1970/05/02          48.40          MC
030905         1970/05/03          40.80          MC
030905         1970/05/04          43.60          MC
030905         1970/05/05          38.80          MC
030905         1970/05/06          34.00          MC
030905         1970/05/07          41.30          MC
030905         1970/05/08          37.90          J
030905         1970/05/09          34.00          MC
030905         1970/05/10          31.70          MC
030905         1970/05/11          39.10          MC
030905         1970/05/12          39.90          MC
030905         1970/05/13          37.10          MC
030905         1970/05/14          43.90          MC
030905         1970/05/15          40.80          MC
030905         1970/05/16          30.30          MC
030905         1970/05/17          28.30          MC
030905         1970/05/18          42.50          MC
030905         1970/05/19          41.90          MC
030905         1970/05/20          29.20          MC
030905         1970/05/21          22.30          MC
030905         1970/05/22          19.60          MC
030905         1970/05/23          35.70          MC
030905         1970/05/24          53.80          MC
030905         1970/05/25          31.40          MC
030905         1970/05/26          25.10          MC
030905         1970/05/27          24.90          MC
030905         1970/05/28          22.90          MC
030905         1970/05/29          19.50          MC
030905         1970/05/30          17.30          MC
030905         1970/05/31          15.90          MC
030905         1970/06/01          13.90          MC
030905         1970/06/02          13.60          MC
030905         1970/06/03          13.10          MC
030905         1970/06/04          11.70          MC
030905         1970/06/05          10.70          MC
030905         1970/06/06          9.660          MC
030905         1970/06/07          2.340          MC
030905         1970/06/08          6.340          MC
030905         1970/06/09          7.390          MC
030905         1970/06/10          6.850          MC
030905         1970/06/11          6.230          MC
030905         1970/06/12          5.100          MC
030905         1970/06/13          4.730          MC
030905         1970/06/14          4.470          MC
030905         1970/06/15          4.080          MC
030905         1970/06/16          3.990          MC
030905         1970/06/17          4.050          MC
030905         1970/06/18          4.190          MC
030905         1970/06/19          4.840          MC
030905         1970/06/20          5.210          MC
030905         1970/06/21          5.150          MC
030905         1970/06/22          4.280          MC
030905         1970/06/23          3.740          MC
030905         1970/06/24          3.600          MC
030905         1970/06/25          3.030          MC
030905         1970/06/26          2.690          MC
030905         1970/06/27          3.370          MC
030905         1970/06/28          9.290          MC
030905         1970/06/29          15.80          MC
030905         1970/06/30          14.00          MC
030905         1970/07/01          11.10          MC
030905         1970/07/02          12.30          MC
030905         1970/07/03          12.70          MC
030905         1970/07/04          10.70          MC
030905         1970/07/05          9.510          MC
030905         1970/07/06          8.270          MC
030905         1970/07/07          7.730          MC
030905         1970/07/08          6.570          MC
030905         1970/07/09          5.270          MC
030905         1970/07/10          5.380          MC
030905         1970/07/11          5.440          MC
030905         1970/07/12          34.00          MC
