Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-07-19, préliminaires par la suite
Station:        030907         Des Anglais - à 1,1 km en aval du pont-route à Très-Saint-Sacrement                                                                            
Bassin versant: 642 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 9' 29" // -73° 49' 29"

Date de création du fichier: 2019-11-28 21:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030907         1973/10/01          1.420          MC
030907         1973/10/02          1.330          MC
030907         1973/10/03          2.000          MC
030907         1973/10/04          5.520          MC
030907         1973/10/05          18.20          MC
030907         1973/10/06          23.30          MC
030907         1973/10/07          9.710          MC
030907         1973/10/08          5.490          MC
030907         1973/10/09          3.880          MC
030907         1973/10/10          3.090          MC
030907         1973/10/11          2.610          MC
030907         1973/10/12          2.370          MC
030907         1973/10/13          2.200          MC
030907         1973/10/14          2.180          MC
030907         1973/10/15          2.140          MC
030907         1973/10/16          1.900          MC
030907         1973/10/17          1.770          MC
030907         1973/10/18          1.710          MC
030907         1973/10/19          1.580          MC
030907         1973/10/20          1.530          MC
030907         1973/10/21          1.520          MC
030907         1973/10/22          1.590          MC
030907         1973/10/23          1.630          J
030907         1973/10/24          1.460          MC
030907         1973/10/25          1.380          MC
030907         1973/10/26          1.290          MC
030907         1973/10/27          1.280          MC
030907         1973/10/28          1.270          MC
030907         1973/10/29          1.300          MC
030907         1973/10/30          1.360          MC
030907         1973/10/31          1.400          MC
030907         1973/11/01          2.390          MC
030907         1973/11/02          4.810          MC
030907         1973/11/03          6.120          MC
030907         1973/11/04          6.000          MC
030907         1973/11/05          4.050          MC
030907         1973/11/06          2.940          MC
030907         1973/11/07          2.440          MC
030907         1973/11/08          2.470          MC
030907         1973/11/09          2.440          MC
030907         1973/11/10          2.230          MC
030907         1973/11/11          2.120          MC
030907         1973/11/12          2.070          MC
030907         1973/11/13          1.340          MC
030907         1973/11/14          1.820          MC
030907         1973/11/15          2.290          MC
030907         1973/11/16          3.770          MC
030907         1973/11/17          3.710          MC
030907         1973/11/18          2.710          MC
030907         1973/11/19          2.220          MC
030907         1973/11/20          1.990          MC
030907         1973/11/21          1.680          MC
030907         1973/11/22          3.620          MC
030907         1973/11/23          7.670          MC
030907         1973/11/24          6.400          MC
030907         1973/11/25          13.20          MC
030907         1973/11/26          9.490          MC
030907         1973/11/27          6.060          MC
030907         1973/11/28          15.40          MC
030907         1973/11/29          24.60          MC
030907         1973/11/30          13.10          MC
030907         1973/12/01          8.270          MC
030907         1973/12/02          5.010          MC
030907         1973/12/03          4.080          MC
030907         1973/12/04          4.190          MC
030907         1973/12/05          5.180          MC
030907         1973/12/06          18.40          MC
030907         1973/12/07          14.30          MC
030907         1973/12/08          7.280          MC
030907         1973/12/09          5.130          MC
030907         1973/12/10          15.00          MC
030907         1973/12/11          14.80          MC
030907         1973/12/12          9.370          MC
030907         1973/12/13          4.810          MC
030907         1973/12/14          4.960          MC
030907         1973/12/15          4.560          MC
030907         1973/12/16          2.420          MC
030907         1973/12/17          1.610          MC
030907         1973/12/18          1.400          MC
030907         1973/12/19          1.860          MC
030907         1973/12/20          2.200          MC
030907         1973/12/21          3.030          MC
030907         1973/12/22          2.830          R
030907         1973/12/23          2.660          R
030907         1973/12/24          2.720          R
030907         1973/12/25          4.390          R
030907         1973/12/26          7.790          MC
030907         1973/12/27          16.90          MC
030907         1973/12/28          28.30          MC
030907         1973/12/29          30.00          MC
030907         1973/12/30          27.60          MC
030907         1973/12/31          23.10          MC
030907         1974/01/01          18.90          MC
030907         1974/01/02          14.10          MC
030907         1974/01/03          11.60          MC
030907         1974/01/04          9.460          MC
030907         1974/01/05          8.070          MC
030907         1974/01/06          6.940          MC
030907         1974/01/07          6.600          MC
030907         1974/01/08          5.150          MC
030907         1974/01/09          4.190          MC
030907         1974/01/10          4.020          MC
030907         1974/01/11          3.740          MC
030907         1974/01/12          3.400          MC
030907         1974/01/13          3.000          MC
030907         1974/01/14          3.060          MC
030907         1974/01/15          3.060          MC
030907         1974/01/16          2.830          MC
030907         1974/01/17          2.500          MC
030907         1974/01/18          2.440          MC
030907         1974/01/19          2.610          MC
030907         1974/01/20          2.460          MC
