Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-04-15, préliminaires par la suite
Station:        030919         Châteauguay - à Huntingdon                                                                                                                     
Bassin versant: 1051 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 45° 5' 14" // -74° 10' 19"

Date de création du fichier: 2019-11-30 00:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030919         2004/09/22          6.048          J
030919         2004/09/23          5.783          MJ
030919         2004/09/24          5.467          MJ
030919         2004/09/25          5.421          MJ
030919         2004/09/26          5.131          MJ
030919         2004/09/27          5.074          MJ
030919         2004/09/28          4.968          MJ
030919         2004/09/29          4.705          MJ
030919         2004/09/30          4.686          MJ
030919         2004/10/01          4.643          MJ
030919         2004/10/02          4.556          MJ
030919         2004/10/03          4.993          MJ
030919         2004/10/04          5.357          MJ
030919         2004/10/05          5.064          MJ
030919         2004/10/06          4.843          MJ
030919         2004/10/07          4.771          MJ
030919         2004/10/08          4.542          MJ
030919         2004/10/09          4.489          MJ
030919         2004/10/10          4.355          MJ
030919         2004/10/11          4.156          MJ
030919         2004/10/12          4.238          MJ
030919         2004/10/13          4.242          MJ
030919         2004/10/14          4.239          MJ
030919         2004/10/15          4.278          MJ
030919         2004/10/16          4.630          MJ
030919         2004/10/17          4.881          MJ
030919         2004/10/18          5.073          MJ
030919         2004/10/19          4.853          MJ
030919         2004/10/20          4.713          MJ
030919         2004/10/21          4.706          MJ
030919         2004/10/22          4.678          MJ
030919         2004/10/23          4.573          MJ
030919         2004/10/24          4.609          MJ
030919         2004/10/25          4.491          MJ
030919         2004/10/26          4.491          MJ
030919         2004/10/27          4.532          J
030919         2004/10/28          4.383          MJ
030919         2004/10/29          4.408          MJ
030919         2004/10/30          4.552          MJ
030919         2004/10/31          5.709          MJ
030919         2004/11/01          5.383          MJ
030919         2004/11/02          5.451          MJ
030919         2004/11/03          6.827          MJ
030919         2004/11/04          7.892          MJ
030919         2004/11/05          8.151          MJ
030919         2004/11/06          10.93          MJ
030919         2004/11/07          16.05          MJ
030919         2004/11/08          13.10          MJ
030919         2004/11/09          10.24          MJ
030919         2004/11/10          8.813          MJ
030919         2004/11/11          8.724          MJ
030919         2004/11/12          7.598          MJ
030919         2004/11/13          6.864          MJ
030919         2004/11/14          6.128          MJ
030919         2004/11/15          6.820          MJ
030919         2004/11/16          6.796          MJ
030919         2004/11/17          6.468          MJ
030919         2004/11/18          6.613          MJ
030919         2004/11/19          6.729          MJ
030919         2004/11/20          6.717          MJ
030919         2004/11/21          8.814          MJ
030919         2004/11/22          10.73          MJ
030919         2004/11/23          9.780          MJ
030919         2004/11/24          9.193          MJ
030919         2004/11/25          19.35          MJ
030919         2004/11/26          18.46          MJ
030919         2004/11/27          12.89          MJ
030919         2004/11/28          13.66          MJ
030919         2004/11/29          12.04          MJ
030919         2004/11/30          11.93          MJ
030919         2004/12/01          18.44          MJ
030919         2004/12/02          44.99          MJ
030919         2004/12/03          26.89          MJ
030919         2004/12/04          16.96          MJ
030919         2004/12/05          15.56          MJ
030919         2004/12/06          9.068          MJ
030919         2004/12/07          10.30          MJ
030919         2004/12/08          23.34          MJ
