Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-07-29, préliminaires par la suite
Station:        030920         Noire - au pont du chemin de l’Artifice à Franklin                                                                                             
Bassin versant: 46.5 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 4' 36" // -73° 50' 60"

Date de création du fichier: 2019-11-29 02:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030920         2005/07/12          0.1453         MJ
030920         2005/07/13          0.1323         MJ
030920         2005/07/14          0.1214         MJ
030920         2005/07/15          0.0951         MJ
030920         2005/07/16          0.0756         MJ
030920         2005/07/17          0.303          MJ
030920         2005/07/18          0.2807         MJ
030920         2005/07/19          0.1696         MJ
030920         2005/07/20          0.1343         MJ
030920         2005/07/21          0.1042         MJ
030920         2005/07/22          0.5031         MJ
030920         2005/07/23          0.7073         MJ
030920         2005/07/24          0.2532         MJ
030920         2005/07/25          0.173          MJ
030920         2005/07/26          0.155          MJ
030920         2005/07/27          0.2144         MJ
030920         2005/07/28          0.2159         MJ
030920         2005/07/29          0.1489         MJ
030920         2005/07/30          0.1263         MJ
030920         2005/07/31          0.1111         MJ
030920         2005/08/01          0.1021         MJ
030920         2005/08/02          0.095          MJ
030920         2005/08/03          0.0837         MJ
030920         2005/08/04          0.0785         MJ
030920         2005/08/05          0.0778         MJ
030920         2005/08/06          0.0913         MJ
030920         2005/08/07          0.0562         MJ
030920         2005/08/08          0.1018         MJ
030920         2005/08/09          0.0562         MJ
030920         2005/08/10          0.0409         MJ
030920         2005/08/11          0.041          MJ
030920         2005/08/12          0.0412         MJ
030920         2005/08/13          0.0683         MJ
030920         2005/08/14          0.0543         MJ
030920         2005/08/15          0.0592         MJ
030920         2005/08/16          0.049          MJ
030920         2005/08/17          0.0433         MJ
030920         2005/08/18          0.0434         MJ
030920         2005/08/19          0.0409         MJ
030920         2005/08/20          0.1348         MJ
030920         2005/08/21          0.0553         MJ
030920         2005/08/22          0.0404         MJ
030920         2005/08/23          0.0325         MJ
030920         2005/08/24          0.0373         MJ
030920         2005/08/25          0.0381         MJ
030920         2005/08/26          0.0961         MJ
030920         2005/08/27          0.0444         MJ
030920         2005/08/28          0.0555         MJ
030920         2005/08/29          0.0491         MJ
030920         2005/08/30          0.0442         MJ
030920         2005/08/31          0.8889         MJ
030920         2005/09/01          0.5029         MJ
030920         2005/09/02          0.2256         MJ
030920         2005/09/03          0.204          MJ
030920         2005/09/04          0.1399         MJ
030920         2005/09/05          0.1128         MJ
030920         2005/09/06          0.0911         MJ
030920         2005/09/07          0.0848         MJ
030920         2005/09/08          0.1602         MJ
030920         2005/09/09          0.1761         MJ
030920         2005/09/10          0.1153         MJ
030920         2005/09/11          0.0938         MJ
030920         2005/09/12          0.0745         MJ
030920         2005/09/13          0.0676         MJ
030920         2005/09/14          0.1067         MJ
030920         2005/09/15          0.085          MJ
030920         2005/09/16          0.1021         MJ
030920         2005/09/17          0.6926         MJ
030920         2005/09/18          0.4419         MJ
030920         2005/09/19          0.2948         MJ
030920         2005/09/20          0.2388         MJ
030920         2005/09/21          0.1508         MJ
030920         2005/09/22          0.1354         MJ
030920         2005/09/23          0.1514         MJ
030920         2005/09/24          0.1285         MJ
030920         2005/09/25          0.1138         MJ
030920         2005/09/26          0.1857         MJ
030920         2005/09/27          0.3505         MJ
030920         2005/09/28          0.1804         MJ
030920         2005/09/29          0.1662         MJ
030920         2005/09/30          0.1649         MJ
030920         2005/10/01          0.1672         MJ
030920         2005/10/02          0.1175         MJ
030920         2005/10/03          0.0989         MJ
030920         2005/10/04          0.0941         MJ
030920         2005/10/05          0.0997         MJ
030920         2005/10/06          0.1346         MJ
030920         2005/10/07          0.3358         MJ
030920         2005/10/08          2.264          MJ
030920         2005/10/09          0.9602         MJ
030920         2005/10/10          0.6034         MJ
030920         2005/10/11          0.6457         MJ
030920         2005/10/12          0.4647         MJ
030920         2005/10/13          0.9284         J
030920         2005/10/14          6.305          MJ
030920         2005/10/15          3.084          MJ
030920         2005/10/16          2.996          MJ
030920         2005/10/17          2.695          MJ
030920         2005/10/18          1.726          MJ
030920         2005/10/19          2.592          MJ
030920         2005/10/20          2.127          J
030920         2005/10/21          1.262          MJ
030920         2005/10/22          1.026          MJ
030920         2005/10/23          1.664          MJ
030920         2005/10/24          2.022          MJ
030920         2005/10/25          2.895          MJ
030920         2005/10/26          8.152          MJ
030920         2005/10/27          4.788          MJ
030920         2005/10/28          2.749          MJ
030920         2005/10/29          2.020          MJ
030920         2005/10/30          1.608          MJ
030920         2005/10/31          1.343          MJ
030920         2005/11/01          1.145          MJ
030920         2005/11/02          1.038          MJ
030920         2005/11/03          0.9061         MJ
030920         2005/11/04          0.8176         MJ
030920         2005/11/05          0.7554         MJ
030920         2005/11/06          1.272          MJ
030920         2005/11/07          1.458          MJ
030920         2005/11/08          1.025          MJ
030920         2005/11/09          0.9558         MJ
030920         2005/11/10          1.511          MJ
030920         2005/11/11          1.059          MJ
030920         2005/11/12          0.8864         MJ
030920         2005/11/13          0.7887         MJ
030920         2005/11/14          0.7061         MJ
030920         2005/11/15          0.867          MJ
030920         2005/11/16          2.075          MJ
030920         2005/11/17          1.293          MJ
030920         2005/11/18          0.9818         MJ
030920         2005/11/19          0.831          MJ
030920         2005/11/20          0.8201         MJ
030920         2005/11/21          0.7552         MJ
030920         2005/11/22          0.9914         MJ
030920         2005/11/23          0.9199         MJ
030920         2005/11/24          0.7331         MJ
030920         2005/11/25          0.6307         MJ
030920         2005/11/26          0.6062         MJ
030920         2005/11/27          0.5819         MJ
030920         2005/11/28          1.155          MJ
