Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2011-07-07
Station:        030923         Norton - à Hemmingford                                                                                                                         
Bassin versant: 38.5 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 4' 20" // -73° 37' 37"

Date de création du fichier: 2012-11-30 18:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030923         2005/07/12          0.0887         MJ
030923         2005/07/13          0.0751         MJ
030923         2005/07/14          0.0707         MJ
030923         2005/07/15          0.0486         MJ
030923         2005/07/16          0.0403         MJ
030923         2005/07/17          0.0806         MJ
030923         2005/07/18          0.0944         MJ
030923         2005/07/19          0.0572         MJ
030923         2005/07/20          0.0419         MJ
030923         2005/07/21          0.0353         MJ
030923         2005/07/22          0.0638         MJ
030923         2005/07/23          0.0603         MJ
030923         2005/07/24          0.0403         MJ
030923         2005/07/25          0.0361         MJ
030923         2005/07/26          0.0349         MJ
030923         2005/07/27          0.0572         MJ
030923         2005/07/28          0.0557         MJ
030923         2005/07/29          0.0346         MJ
030923         2005/07/30          0.0342         MJ
030923         2005/07/31          0.0327         MJ
030923         2005/08/01          0.0336         MJ
030923         2005/08/02          0.0245         MJ
030923         2005/08/03          0.0264         MJ
030923         2005/08/04          0.0253         MJ
030923         2005/08/05          0.0183         MJ
030923         2005/08/06          0.0153         MJ
030923         2005/08/07          0.0134         MJ
030923         2005/08/08          0.0091         MJ
030923         2005/08/09          0.0115         MJ
030923         2005/08/10          0.0112         MJ
030923         2005/08/11          0.013          MJ
