Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2011-07-07
Station:        030924         Cranberry - à Sainte-Clotilde-de-Châteauguay                                                                                                   
Bassin versant: 32.9 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 6' 31" // -73° 39' 48"

Date de création du fichier: 2013-06-27 18:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030924         2006/11/01          0.4762         MJ
030924         2006/11/02          0.3888         MJ
030924         2006/11/03          0.3631         MJ
030924         2006/11/04          0.2976         MJ
030924         2006/11/05          0.2664         MJ
030924         2006/11/06          0.2515         MJ
030924         2006/11/07          0.2339         MJ
030924         2006/11/08          0.3892         MJ
030924         2006/11/09          0.6646         MJ
030924         2006/11/10          0.470          MJ
030924         2006/11/11          0.5329         MJ
030924         2006/11/12          1.652          MJ
030924         2006/11/13          0.8094         MJ
030924         2006/11/14          0.685          MJ
030924         2006/11/15          0.7382         MJ
030924         2006/11/16          0.7861         MJ
030924         2006/11/17          1.565          MJ
030924         2006/11/18          0.7331         MJ
030924         2006/11/19          0.5369         MJ
030924         2006/11/20          0.4563         MJ
030924         2006/11/21          0.3866         MJ
030924         2006/11/22          0.3401         MJ
030924         2006/11/23          0.309          MJ
030924         2006/11/24          0.2867         MJ
030924         2006/11/25          0.263          MJ
030924         2006/11/26          0.2534         MJ
030924         2006/11/27          0.260          MJ
030924         2006/11/28          0.330          MJ
030924         2006/11/29          0.3233         MJ
030924         2006/11/30          0.3093         MJ
030924         2006/12/01          2.139          MJ
030924         2006/12/02          4.652          MJ
030924         2006/12/03          1.201          MJ
030924         2006/12/04          0.7993         MJ
030924         2006/12/05          0.5913         MJ
030924         2006/12/06          0.4818         MJ
030924         2006/12/07          0.4666         MJ
030924         2006/12/08          0.422          MJ
030924         2006/12/09          0.3179         MJ
030924         2006/12/10          0.3193         MJ
030924         2006/12/11          0.3759         MJ
030924         2006/12/12          0.4388         MJ
030924         2006/12/13          0.4365         MJ
030924         2006/12/14          0.4958         MJ
030924         2006/12/15          0.4699         MJ
030924         2006/12/16          0.4866         MJ
030924         2006/12/17          0.4297         MJ
030924         2006/12/18          0.3924         MJ
030924         2006/12/19          0.3396         MJ
030924         2006/12/20          0.299          MJ
030924         2006/12/21          0.3066         MJ
030924         2006/12/22          0.2547         MJ
030924         2006/12/23          2.223          MJ
030924         2006/12/24          1.741          MJ
030924         2006/12/25          0.8097         MJ
030924         2006/12/26          1.227          MJ
030924         2006/12/27          1.267          MJ
030924         2006/12/28          0.6565         MJ
030924         2006/12/29          0.5279         MJ
030924         2006/12/30          0.4023         MJ
030924         2006/12/31          0.3765         MJ
030924         2007/01/01          1.205          MJ
030924         2007/01/02          1.710          MJ
030924         2007/01/03          0.7812         MJ
030924         2007/01/04          0.731          MJ
030924         2007/01/05          1.016          MJ
030924         2007/01/06          2.581          MJ
030924         2007/01/07          1.474          MJ
030924         2007/01/08          1.427          MJ
030924         2007/01/09          1.025          MJ
030924         2007/01/10          0.733          R
030924         2007/01/11          0.487          R
030924         2007/01/12          0.386          R
030924         2007/01/13          0.359          R
030924         2007/01/14          0.334          R
030924         2007/01/15          0.313          R
030924         2007/01/16          0.293          R
030924         2007/01/17          0.276          R
030924         2007/01/18          0.260          R
030924         2007/01/19          0.246          R
030924         2007/01/20          0.232          R
030924         2007/01/21          0.220          R
030924         2007/01/22          0.208          R
030924         2007/01/23          0.198          R
030924         2007/01/24          0.187          R
030924         2007/01/25          0.178          R
030924         2007/01/26          0.169          R
030924         2007/01/27          0.160          R
030924         2007/01/28          0.151          R
030924         2007/01/29          0.143          R
030924         2007/01/30          0.135          R
030924         2007/01/31          0.128          R
030924         2007/02/01          0.122          R
030924         2007/02/02          0.117          R
030924         2007/02/03          0.112          R
030924         2007/02/04          0.107          R
030924         2007/02/05          0.102          R
030924         2007/02/06          0.097          R
030924         2007/02/07          0.093          R
030924         2007/02/08          0.089          R
030924         2007/02/09          0.086          R
030924         2007/02/10          0.082          R
030924         2007/02/11          0.079          R
030924         2007/02/12          0.076          R
030924         2007/02/13          0.073          R
030924         2007/02/14          0.070          R
030924         2007/02/15          0.068          R
030924         2007/02/16          0.067          R
030924         2007/02/17          0.065          R
030924         2007/02/18          0.064          R
030924         2007/02/19          0.062          R
030924         2007/02/20          0.060          R
030924         2007/02/21          0.059          R
030924         2007/02/22          0.058          R
030924         2007/02/23          0.058          R
030924         2007/02/24          0.057          R
030924         2007/02/25          0.056          R
030924         2007/02/26          0.056          R
030924         2007/02/27          0.055          R
030924         2007/02/28          0.055          R
030924         2007/03/01          0.055          R
030924         2007/03/02          0.054          R
030924         2007/03/03          0.054          R
030924         2007/03/04          0.066          R
030924         2007/03/05          0.061          R
030924         2007/03/06          0.058          R
030924         2007/03/07          0.056          R
030924         2007/03/08          0.055          R
030924         2007/03/09          0.053          R
030924         2007/03/10          0.052          R
030924         2007/03/11          0.063          R
030924         2007/03/12          0.092          R
030924         2007/03/13          0.201          R
030924         2007/03/14          0.704          R
030924         2007/03/15          1.870          R
030924         2007/03/16          1.460          R
030924         2007/03/17          1.090          R
030924         2007/03/18          0.872          R
030924         2007/03/19          0.679          R
030924         2007/03/20          0.484          R
030924         2007/03/21          0.414          R
030924         2007/03/22          0.540          R
030924         2007/03/23          2.620          R
030924         2007/03/24          2.220          R
030924         2007/03/25          1.990          R
030924         2007/03/26          3.100          R
030924         2007/03/27          5.559          MJ
030924         2007/03/28          3.771          MJ
030924         2007/03/29          1.758          MJ
030924         2007/03/30          1.089          MJ
030924         2007/03/31          0.8618         MJ
030924         2007/04/01          0.7735         MJ
030924         2007/04/02          0.8722         MJ
030924         2007/04/03          0.9529         MJ
030924         2007/04/04          2.725          MJ
030924         2007/04/05          4.934          MJ
030924         2007/04/06          2.176          MJ
030924         2007/04/07          1.008          MJ
030924         2007/04/08          0.8292         MJ
030924         2007/04/09          0.6831         MJ
030924         2007/04/10          0.5757         MJ
030924         2007/04/11          0.5351         MJ
030924         2007/04/12          0.8182         MJ
030924         2007/04/13          1.913          MJ
030924         2007/04/14          2.917          MJ
030924         2007/04/15          1.860          MJ
030924         2007/04/16          4.923          MJ
030924         2007/04/17          6.934          MJ
030924         2007/04/18          4.142          MJ
030924         2007/04/19          1.901          MJ
030924         2007/04/20          1.054          MJ
030924         2007/04/21          0.7749         MJ
030924         2007/04/22          0.6291         MJ
030924         2007/04/23          0.5552         MJ
030924         2007/04/24          0.492          MJ
030924         2007/04/25          0.4948         MJ
030924         2007/04/26          0.4658         MJ
030924         2007/04/27          0.5348         MJ
030924         2007/04/28          0.5469         MJ
030924         2007/04/29          0.5797         MJ
030924         2007/04/30          0.5778         MJ
030924         2007/05/01          0.5032         MJ
030924         2007/05/02          0.427          R
030924         2007/05/03          0.370          R
030924         2007/05/04          0.321          R
030924         2007/05/05          0.279          R
030924         2007/05/06          0.245          R
030924         2007/05/07          0.218          R
030924         2007/05/08          0.196          R
030924         2007/05/09          0.179          R
030924         2007/05/10          0.168          R
030924         2007/05/11          0.214          R
030924         2007/05/12          0.169          R
030924         2007/05/13          0.140          R
030924         2007/05/14          0.155          R
030924         2007/05/15          0.171          R
030924         2007/05/16          0.393          R
030924         2007/05/17          0.475          R
030924         2007/05/18          0.372          R
030924         2007/05/19          0.299          R
030924         2007/05/20          0.245          R
030924         2007/05/21          0.206          R
030924         2007/05/22          0.176          R
030924         2007/05/23          0.153          R
030924         2007/05/24          0.136          R
030924         2007/05/25          0.123          R
030924         2007/05/26          0.113          R
030924         2007/05/27          0.105          R
030924         2007/05/28          0.098          R
030924         2007/05/29          0.094          R
030924         2007/05/30          0.090          R
030924         2007/05/31          0.095          R
030924         2007/06/01          0.101          R
030924         2007/06/02          0.100          R
030924         2007/06/03          0.094          R
030924         2007/06/04          0.100          R
030924         2007/06/05          1.456          MJ
030924         2007/06/06          2.872          MJ
030924         2007/06/07          0.5466         MJ
030924         2007/06/08          0.3627         MJ
030924         2007/06/09          0.2954         MJ
030924         2007/06/10          0.231          MJ
030924         2007/06/11          0.2253         MJ
030924         2007/06/12          0.1807         MJ
030924         2007/06/13          0.181          MJ
030924         2007/06/14          0.1904         MJ
030924         2007/06/15          0.1614         MJ
030924         2007/06/16          0.1213         MJ
030924         2007/06/17          0.1368         MJ
030924         2007/06/18          0.107          MJ
030924         2007/06/19          0.1172         MJ
030924         2007/06/20          0.1543         MJ
030924         2007/06/21          0.1026         MJ
030924         2007/06/22          0.111          MJ
030924         2007/06/23          0.1359         MJ
030924         2007/06/24          0.1407         MJ
030924         2007/06/25          0.1215         MJ
030924         2007/06/26          0.0604         MJ
030924         2007/06/27          0.0248         MJ
030924         2007/06/28          0.0641         MJ
030924         2007/06/29          0.0517         MJ
030924         2007/06/30          0.062          MJ
030924         2007/07/01          0.1006         MJ
030924         2007/07/02          0.084          MJ
030924         2007/07/03          0.0711         MJ
030924         2007/07/04          0.1903         MJ
030924         2007/07/05          0.1102         MJ
030924         2007/07/06          0.0671         MJ
030924         2007/07/07          0.0336         MJ
030924         2007/07/08          0.0448         MJ
030924         2007/07/09          0.4034         MJ
030924         2007/07/10          0.2625         MJ
030924         2007/07/11          0.1938         MJ
