Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1994-04-21
Station:        031102         Saint-Louis - à 18,3 km du lac Saint-Louis                                                                                                     
Bassin versant: 132 km²        Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 45° 13' 19" // -73° 58' 36"

Date de création du fichier: 2012-06-25 07:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
031102         1986/09/04          2.000          J
031102         1986/09/05          1.920          MC
031102         1986/09/06          1.830          MC
031102         1986/09/07          1.860          MC
031102         1986/09/08          1.760          MC
031102         1986/09/09          1.750          MC
031102         1986/09/10          1.580          MC
031102         1986/09/11          2.070          MC
031102         1986/09/12          2.880          MC
031102         1986/09/13          3.680          MC
031102         1986/09/14          3.010          MC
031102         1986/09/15          2.720          MC
031102         1986/09/16          2.630          MC
031102         1986/09/17          2.610          MC
031102         1986/09/18          2.590          MC
031102         1986/09/19          2.400          MC
031102         1986/09/20          2.300          MC
031102         1986/09/21          2.370          MC
031102         1986/09/22          2.240          MC
031102         1986/09/23          2.640          MC
031102         1986/09/24          4.730          MC
031102         1986/09/25          3.660          MC
031102         1986/09/26          3.110          MC
031102         1986/09/27          2.820          MC
031102         1986/09/28          2.630          MC
031102         1986/09/29          2.650          MC
031102         1986/09/30          18.80          MC
031102         1986/10/01          21.20          MC
031102         1986/10/02          10.50          MC
031102         1986/10/03          7.440          MC
031102         1986/10/04          6.240          MC
031102         1986/10/05          6.030          MC
031102         1986/10/06          5.480          MC
031102         1986/10/07          4.610          MC
031102         1986/10/08          3.950          MC
031102         1986/10/09          3.470          MC
