Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2011-06-21
Station:        031501         Marguerite - au pont-route du boul. des Acadiens à Saint-Grégoire de Bécancour                                                                 
Bassin versant: 21.9 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 15' 44" // -72° 31' 8"

Date de création du fichier: 2013-07-25 19:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
031501         2005/08/23          0.0246         MJ
031501         2005/08/24          0.0067         MJ
031501         2005/08/25          0.0019         MJ
031501         2005/08/26          0.0011         MJ
031501         2005/08/27          0.0005         MJ
031501         2005/08/28          0.002          MJ
031501         2005/08/29          0.001          MJ
031501         2005/08/30          0.0009         MJ
031501         2005/08/31          0.6519         MJ
031501         2005/09/01          0.3556         MJ
031501         2005/09/02          0.0558         MJ
031501         2005/09/03          0.0325         MJ
031501         2005/09/04          0.0216         MJ
031501         2005/09/05          0.0161         MJ
031501         2005/09/06          0.0115         MJ
031501         2005/09/07          0.0093         MJ
031501         2005/09/08          0.035          MJ
031501         2005/09/09          0.0857         MJ
031501         2005/09/10          0.0481         MJ
031501         2005/09/11          0.0318         MJ
031501         2005/09/12          0.0257         MJ
031501         2005/09/13          0.0193         MJ
031501         2005/09/14          0.0167         MJ
031501         2005/09/15          0.0139         MJ
031501         2005/09/16          0.0133         MJ
031501         2005/09/17          0.1377         MJ
031501         2005/09/18          0.0843         MJ
031501         2005/09/19          0.0562         MJ
031501         2005/09/20          0.0482         MJ
031501         2005/09/21          0.0469         MJ
031501         2005/09/22          0.0394         MJ
031501         2005/09/23          0.0429         MJ
031501         2005/09/24          0.0345         MJ
031501         2005/09/25          0.0316         MJ
031501         2005/09/26          4.177          MJ
031501         2005/09/27          2.439          MJ
031501         2005/09/28          0.6719         MJ
031501         2005/09/29          0.4859         MJ
031501         2005/09/30          0.4112         MJ
031501         2005/10/01          0.2623         MJ
031501         2005/10/02          0.1696         MJ
031501         2005/10/03          0.1283         MJ
031501         2005/10/04          0.1006         MJ
031501         2005/10/05          0.0827         MJ
031501         2005/10/06          0.073          MJ
031501         2005/10/07          0.1792         MJ
031501         2005/10/08          0.6025         MJ
031501         2005/10/09          0.3517         MJ
031501         2005/10/10          0.2493         MJ
031501         2005/10/11          0.1968         MJ
031501         2005/10/12          0.1438         MJ
031501         2005/10/13          0.1154         MJ
031501         2005/10/14          0.1861         MJ
031501         2005/10/15          3.728          MJ
031501         2005/10/16          5.818          MJ
031501         2005/10/17          2.576          MJ
031501         2005/10/18          0.9124         MJ
031501         2005/10/19          1.734          MJ
031501         2005/10/20          2.448          MJ
031501         2005/10/21          0.7722         MJ
031501         2005/10/22          0.5217         MJ
031501         2005/10/23          0.412          MJ
031501         2005/10/24          0.3428         MJ
031501         2005/10/25          0.3598         MJ
031501         2005/10/26          2.259          MJ
031501         2005/10/27          0.7884         MJ
031501         2005/10/28          0.5033         MJ
031501         2005/10/29          0.3823         MJ
031501         2005/10/30          0.3113         MJ
031501         2005/10/31          0.2478         MJ
031501         2005/11/01          0.211          MJ
031501         2005/11/02          0.1828         MJ
031501         2005/11/03          0.1625         MJ
031501         2005/11/04          0.1422         MJ
031501         2005/11/05          0.1289         MJ
031501         2005/11/06          0.1179         MJ
031501         2005/11/07          0.1476         MJ
031501         2005/11/08          0.1232         MJ
031501         2005/11/09          0.1167         MJ
031501         2005/11/10          0.7174         MJ
031501         2005/11/11          0.3985         MJ
031501         2005/11/12          0.2721         MJ
031501         2005/11/13          0.2208         MJ
031501         2005/11/14          0.1841         MJ
031501         2005/11/15          0.150          MJ
031501         2005/11/16          1.344          MJ
031501         2005/11/17          1.082          MJ
031501         2005/11/18          0.6692         MJ
031501         2005/11/19          0.4276         MJ
031501         2005/11/20          0.362          MJ
031501         2005/11/21          0.3749         MJ
031501         2005/11/22          0.4453         MJ
031501         2005/11/23          0.4613         MJ
031501         2005/11/24          0.325          MJ
031501         2005/11/25          0.3201         MJ
031501         2005/11/26          0.2209         MJ
031501         2005/11/27          0.2098         MJ
031501         2005/11/28          0.2073         MJ
031501         2005/11/29          1.644          MJ
031501         2005/11/30          3.047          MJ
031501         2005/12/01          0.9502         MJ
