Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2009-12-14
Station:        031502         Marguerite - au Chemin Forest à Saint-Grégoire de Bécancour                                                                                    
Bassin versant: 12.2 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 14' 5" // -72° 29' 38"

Date de création du fichier: 2013-06-27 18:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
031502         2006/06/07          0.0273         MJ
031502         2006/06/08          0.0273         MJ
031502         2006/06/09          0.0264         MJ
031502         2006/06/10          0.7577         MJ
031502         2006/06/11          1.457          MJ
031502         2006/06/12          0.6705         MJ
031502         2006/06/13          0.4138         MJ
031502         2006/06/14          0.1942         MJ
031502         2006/06/15          0.1204         MJ
031502         2006/06/16          0.0811         MJ
031502         2006/06/17          0.0569         MJ
031502         2006/06/18          0.0433         MJ
031502         2006/06/19          0.0318         MJ
031502         2006/06/20          0.0499         MJ
031502         2006/06/21          0.0527         MJ
031502         2006/06/22          0.0389         MJ
031502         2006/06/23          0.0482         MJ
031502         2006/06/24          0.0284         MJ
031502         2006/06/25          0.0206         MJ
031502         2006/06/26          0.0179         MJ
031502         2006/06/27          0.1023         MJ
031502         2006/06/28          0.0743         MJ
031502         2006/06/29          0.0521         MJ
031502         2006/06/30          0.0474         MJ
031502         2006/07/01          0.0511         MJ
031502         2006/07/02          0.1326         MJ
031502         2006/07/03          0.0681         MJ
031502         2006/07/04          0.0564         MJ
031502         2006/07/05          0.1112         MJ
031502         2006/07/06          0.0579         MJ
031502         2006/07/07          0.037          MJ
031502         2006/07/08          0.0258         MJ
031502         2006/07/09          0.0198         MJ
031502         2006/07/10          0.0151         MJ
031502         2006/07/11          0.0121         MJ
031502         2006/07/12          0.0119         MJ
031502         2006/07/13          0.0296         MJ
031502         2006/07/14          0.0118         MJ
031502         2006/07/15          0.0077         MJ
031502         2006/07/16          0.0063         MJ
031502         2006/07/17          0.0042         MJ
031502         2006/07/18          0.0116         MJ
031502         2006/07/19          0.0068         MJ
031502         2006/07/20          0.0036         MJ
031502         2006/07/21          0.0032         MJ
031502         2006/07/22          0.0026         MJ
031502         2006/07/23          0.0035         MJ
031502         2006/07/24          0.0023         MJ
031502         2006/07/25          0.011          MJ
031502         2006/07/26          0.0063         MJ
031502         2006/07/27          0.0536         MJ
031502         2006/07/28          0.0214         MJ
031502         2006/07/29          0.0103         MJ
031502         2006/07/30          0.005          MJ
031502         2006/07/31          0.0032         MJ
031502         2006/08/01          0.040          MJ
031502         2006/08/02          0.1409         MJ
031502         2006/08/03          0.210          MJ
031502         2006/08/04          0.059          MJ
031502         2006/08/05          0.0249         MJ
031502         2006/08/06          0.0146         MJ
031502         2006/08/07          0.010          MJ
031502         2006/08/08          0.0061         MJ
031502         2006/08/09          0.0036         MJ
031502         2006/08/10          0.0043         MJ
031502         2006/08/11          0.0036         MJ
031502         2006/08/12          0.0026         MJ
031502         2006/08/13          0.0018         MJ
031502         2006/08/14          0.0014         MJ
031502         2006/08/15          0.0019         MJ
031502         2006/08/16          0.0013         MJ
031502         2006/08/17          0.001          MJ
031502         2006/08/18          0.0008         MJ
031502         2006/08/19          0.0008         MJ
031502         2006/08/20          0.0037         MJ
031502         2006/08/21          0.0186         MJ
031502         2006/08/22          0.0175         MJ
031502         2006/08/23          0.0021         MJ
031502         2006/08/24          0.0012         MJ
031502         2006/08/25          0.001          MJ
031502         2006/08/26          0.0009         MJ
031502         2006/08/27          0.0072         MJ
031502         2006/08/28          0.0126         MJ
031502         2006/08/29          0.0054         MJ
031502         2006/08/30          0.0029         MJ
031502         2006/08/31          0.0016         MJ
031502         2006/09/01          0.0012         MJ
031502         2006/09/02          0.001          MJ
031502         2006/09/03          0.063          MJ
031502         2006/09/04          0.0408         MJ
031502         2006/09/05          0.0187         MJ
031502         2006/09/06          0.0106         MJ
031502         2006/09/07          0.0062         MJ
031502         2006/09/08          0.0043         MJ
031502         2006/09/09          0.0049         MJ
031502         2006/09/10          0.0044         MJ
031502         2006/09/11          0.0156         MJ
031502         2006/09/12          0.0094         MJ
031502         2006/09/13          0.0024         MJ
031502         2006/09/14          0.0043         MJ
031502         2006/09/15          0.0045         MJ
031502         2006/09/16          0.0067         MJ
031502         2006/09/17          0.0084         MJ
031502         2006/09/18          0.0091         MJ
031502         2006/09/19          0.0074         MJ
031502         2006/09/20          0.0054         MJ
031502         2006/09/21          0.0108         MJ
031502         2006/09/22          0.0053         MJ
031502         2006/09/23          0.0018         MJ
031502         2006/09/24          0.026          MJ
031502         2006/09/25          0.0107         MJ
031502         2006/09/26          0.005          MJ
031502         2006/09/27          0.0082         MJ
031502         2006/09/28          0.0034         MJ
031502         2006/09/29          0.0338         MJ
031502         2006/09/30          0.0439         MJ
031502         2006/10/01          0.0835         MJ
031502         2006/10/02          0.1165         MJ
031502         2006/10/03          0.0599         MJ
031502         2006/10/04          0.0873         MJ
031502         2006/10/05          0.1557         MJ
031502         2006/10/06          0.080          MJ
031502         2006/10/07          0.0557         MJ
031502         2006/10/08          0.0446         MJ
031502         2006/10/09          0.0368         MJ
031502         2006/10/10          0.0292         MJ
031502         2006/10/11          0.0263         MJ
031502         2006/10/12          0.0657         MJ
031502         2006/10/13          0.0843         MJ
031502         2006/10/14          0.0601         MJ
031502         2006/10/15          0.0462         MJ
031502         2006/10/16          0.0371         MJ
031502         2006/10/17          0.0341         MJ
031502         2006/10/18          0.4031         MJ
031502         2006/10/19          0.2387         MJ
031502         2006/10/20          1.251          MJ
031502         2006/10/21          1.973          MJ
031502         2006/10/22          0.4131         MJ
031502         2006/10/23          0.3511         MJ
031502         2006/10/24          0.3249         MJ
031502         2006/10/25          0.2773         MJ
031502         2006/10/26          0.2113         MJ
031502         2006/10/27          0.1657         MJ
031502         2006/10/28          4.298          MJ
031502         2006/10/29          3.365          MJ
031502         2006/10/30          0.8135         MJ
031502         2006/10/31          0.433          MJ
031502         2006/11/01          0.3403         MJ
031502         2006/11/02          0.2574         MJ
031502         2006/11/03          0.2021         MJ
031502         2006/11/04          0.1671         MJ
031502         2006/11/05          0.151          MJ
031502         2006/11/06          0.1833         MJ
031502         2006/11/07          0.1708         MJ
031502         2006/11/08          0.1909         MJ
031502         2006/11/09          0.3064         MJ
031502         2006/11/10          0.2507         MJ
031502         2006/11/11          0.2544         MJ
031502         2006/11/12          0.6162         MJ
031502         2006/11/13          0.4626         MJ
031502         2006/11/14          0.4356         MJ
031502         2006/11/15          0.5031         MJ
031502         2006/11/16          0.3776         MJ
031502         2006/11/17          4.267          MJ
031502         2006/11/18          0.9176         MJ
031502         2006/11/19          0.4525         MJ
031502         2006/11/20          0.309          MJ
031502         2006/11/21          0.239          MJ
031502         2006/11/22          0.195          MJ
031502         2006/11/23          0.1679         MJ
031502         2006/11/24          0.1469         MJ
031502         2006/11/25          0.1241         MJ
031502         2006/11/26          0.1182         MJ
031502         2006/11/27          0.135          MJ
031502         2006/11/28          0.1436         MJ
031502         2006/11/29          0.1563         MJ
031502         2006/11/30          0.5943         MJ
031502         2006/12/01          1.273          MJ
031502         2006/12/02          0.6179         MJ
031502         2006/12/03          0.3656         MJ
031502         2006/12/04          0.275          MJ
031502         2006/12/05          0.216          R
031502         2006/12/06          0.172          R
031502         2006/12/07          0.144          R
031502         2006/12/08          0.125          R
031502         2006/12/09          0.113          R
031502         2006/12/10          0.105          R
031502         2006/12/11          0.099          R
031502         2006/12/12          0.095          R
031502         2006/12/13          0.2007         MJ
031502         2006/12/14          0.8486         MJ
031502         2006/12/15          0.8417         MJ
031502         2006/12/16          0.7664         MJ
031502         2006/12/17          0.5127         MJ
031502         2006/12/18          0.4365         MJ
