Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-05-29
Station:        040113         Du Nord - à 1,9 km en amont de la Doncaster                                                                                                    
Bassin versant: 435 km²        Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 45° 58' 24" // -74° 6' 38"

Date de création du fichier: 2012-06-25 07:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040113         1956/05/18          27.40          MC
040113         1956/05/19          23.80          MC
040113         1956/05/20          21.40          MC
040113         1956/05/21          18.50          MC
040113         1956/05/22          16.90          MC
040113         1956/05/23          15.60          MC
040113         1956/05/24          13.60          MC
040113         1956/05/25          12.60          MC
040113         1956/05/26          11.20          MC
040113         1956/05/27          11.90          MC
040113         1956/05/28          13.60          MC
040113         1956/05/29          13.30          MC
040113         1956/05/30          12.60          MC
040113         1956/05/31          12.60          MC
040113         1956/06/01          11.60          MC
040113         1956/06/02          11.10          MC
040113         1956/06/03          9.800          MC
040113         1956/06/04          10.50          MC
040113         1956/06/05          10.40          MC
040113         1956/06/06          9.880          MC
040113         1956/06/07          9.170          MC
040113         1956/06/08          8.300          MC
040113         1956/06/09          8.180          MC
040113         1956/06/10          8.980          MC
040113         1956/06/11          10.20          MC
040113         1956/06/12          9.170          MC
040113         1956/06/13          8.660          MC
040113         1956/06/14          7.790          MC
040113         1956/06/15          7.220          MC
040113         1956/06/16          6.460          MC
040113         1956/06/17          6.460          MC
040113         1956/06/18          5.100          MC
040113         1956/06/19          3.740          MC
040113         1956/06/20          3.450          MC
040113         1956/06/21          4.530          MC
040113         1956/06/22          5.640          MC
040113         1956/06/23          5.800          MC
040113         1956/06/24          5.100          MC
040113         1956/06/25          4.700          MC
040113         1956/06/26          4.530          MC
040113         1956/06/27          4.530          MC
040113         1956/06/28          5.550          MC
040113         1956/06/29          5.550          MC
040113         1956/06/30          5.470          MC
040113         1956/07/01          5.270          MC
040113         1956/07/02          6.570          MC
040113         1956/07/03          8.100          MC
040113         1956/07/04          7.310          MC
040113         1956/07/05          6.290          MC
040113         1956/07/06          5.350          MC
040113         1956/07/07          5.470          MC
040113         1956/07/08          4.790          MC
040113         1956/07/09          7.590          MC
040113         1956/07/10          10.80          MC
040113         1956/07/11          10.30          MC
040113         1956/07/12          10.30          MC
040113         1956/07/13          9.170          MC
040113         1956/07/14          9.290          MC
040113         1956/07/15          10.30          MC
040113         1956/07/16          10.80          MC
040113         1956/07/17          10.00          MC
040113         1956/07/18          9.090          MC
040113         1956/07/19          7.790          MC
040113         1956/07/20          7.110          MC
040113         1956/07/21          6.740          MC
040113         1956/07/22          5.800          MC
040113         1956/07/23          5.550          MC
040113         1956/07/24          5.100          MC
040113         1956/07/25          4.620          MC
040113         1956/07/26          4.280          MC
040113         1956/07/27          3.820          MC
040113         1956/07/28          4.280          MC
040113         1956/07/29          3.680          MC
040113         1956/07/30          3.260          MC
040113         1956/07/31          3.260          MC
040113         1956/08/01          3.030          MC
040113         1956/08/02          3.030          MC
040113         1956/08/03          2.970          MC
040113         1956/08/04          2.750          MC
040113         1956/08/05          2.630          MC
040113         1956/08/06          2.750          MC
040113         1956/08/07          3.680          MC
