Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1973-09-06
Station:        040121         Lac Saint-Joseph - au lac Saint-Joseph                                                                                                         
Bassin versant: 0 km²          Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 58' 15" // -74° 20' 9"
Constante géodésique: aucune
Date de création du fichier: 2012-06-23 00:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
040121         1971/01/01          60.96          PL
040121         1971/01/02          60.95          PL
040121         1971/01/03          60.94          PL
040121         1971/01/04          60.94          PL
040121         1971/01/05          60.94          PL
040121         1971/01/06          60.94          PL
040121         1971/01/07          60.94          PL
040121         1971/01/08          60.94          PL
040121         1971/01/09          60.93          PL
040121         1971/01/10          60.93          PL
040121         1971/01/11          60.93          PL
040121         1971/01/12          60.92          PL
040121         1971/01/13          60.92          PL
040121         1971/01/14          60.92          PL
040121         1971/01/15          60.92          PL
040121         1971/01/16          60.91          PL
040121         1971/01/17          60.91          PL
040121         1971/01/18          60.89          PL
040121         1971/01/19          60.86          PL
040121         1971/01/20          60.84          PL
040121         1971/01/21          60.83          PL
040121         1971/01/22          60.81          PL
040121         1971/01/23          60.80          PL
040121         1971/01/24          60.78          PL
040121         1971/01/25          60.78          PL
040121         1971/01/26          60.78          PL
040121         1971/01/27          60.78          PL
040121         1971/01/28          60.78          PL
040121         1971/01/29          60.78          PL
040121         1971/01/30          60.78          PL
040121         1971/01/31          60.78          PL
040121         1971/02/01          60.78          PL
040121         1971/02/02          60.78          PL
040121         1971/02/03          60.78          PL
040121         1971/02/04          60.78          PL
040121         1971/02/05          60.78          PL
040121         1971/02/06          60.78          PL
