Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-06-18, préliminaires par la suite
Station:        040122         Du Nord - à 0,5 km en aval du pont C.P. près de Sainte-Agathe-des-Monts                                                                        
Bassin versant: 311 km²        Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 46° 2' 47" // -74° 15' 9"

Date de création du fichier: 2019-11-28 22:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040122         1971/01/01          2.660          R
040122         1971/01/02          2.550          R
040122         1971/01/03          2.460          R
040122         1971/01/04          2.380          R
040122         1971/01/05          3.110          R
040122         1971/01/06          4.020          R
040122         1971/01/07          4.020          R
040122         1971/01/08          3.960          R
040122         1971/01/09          3.910          R
040122         1971/01/10          3.850          R
040122         1971/01/11          3.790          R
040122         1971/01/12          3.740          R
040122         1971/01/13          3.710          R
040122         1971/01/14          3.680          R
040122         1971/01/15          3.620          R
040122         1971/01/16          3.600          R
040122         1971/01/17          3.570          R
040122         1971/01/18          3.540          R
040122         1971/01/19          3.480          R
040122         1971/01/20          3.450          R
040122         1971/01/21          3.430          R
040122         1971/01/22          3.400          R
040122         1971/01/23          3.370          R
040122         1971/01/24          3.340          R
040122         1971/01/25          3.310          R
040122         1971/01/26          3.280          J
040122         1971/01/27          3.230          R
040122         1971/01/28          3.170          R
040122         1971/01/29          3.110          R
040122         1971/01/30          3.090          R
040122         1971/01/31          3.030          R
040122         1971/02/01          3.000          R
040122         1971/02/02          2.940          R
040122         1971/02/03          2.920          R
040122         1971/02/04          2.890          R
040122         1971/02/05          2.830          R
040122         1971/02/06          2.800          R
040122         1971/02/07          2.760          R
040122         1971/02/08          2.720          R
040122         1971/02/09          2.690          R
040122         1971/02/10          2.660          R
040122         1971/02/11          2.620          R
040122         1971/02/12          2.600          R
040122         1971/02/13          2.560          R
040122         1971/02/14          2.530          R
040122         1971/02/15          2.520          R
040122         1971/02/16          2.480          R
040122         1971/02/17          2.450          R
040122         1971/02/18          2.420          R
040122         1971/02/19          2.390          R
