Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1981-10-27
Station:        040123         Rouge - à 1,4 km de la du Nord                                                                                                                 
Bassin versant: 141 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 33' 44" // -74° 19' 14"

Date de création du fichier: 2012-06-25 18:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040123         1971/06/18          0.310          MC
040123         1971/06/19          
040123         1971/06/20          
040123         1971/06/21          
040123         1971/06/22          
040123         1971/06/23          
040123         1971/06/24          
040123         1971/06/25          
040123         1971/06/26          
040123         1971/06/27          
040123         1971/06/28          
040123         1971/06/29          
040123         1971/06/30          
040123         1971/07/01          
040123         1971/07/02          
040123         1971/07/03          
040123         1971/07/04          
040123         1971/07/05          
040123         1971/07/06          
040123         1971/07/07          
040123         1971/07/08          
040123         1971/07/09          
040123         1971/07/10          
040123         1971/07/11          
040123         1971/07/12          
040123         1971/07/13          
040123         1971/07/14          
040123         1971/07/15          
040123         1971/07/16          
040123         1971/07/17          
040123         1971/07/18          
040123         1971/07/19          
040123         1971/07/20          
040123         1971/07/21          
040123         1971/07/22          
040123         1971/07/23          
040123         1971/07/24          
040123         1971/07/25          
040123         1971/07/26          
040123         1971/07/27          
040123         1971/07/28          
040123         1971/07/29          0.300          MC
040123         1971/07/30          
040123         1971/07/31          
040123         1971/08/01          
040123         1971/08/02          
040123         1971/08/03          
040123         1971/08/04          
040123         1971/08/05          
040123         1971/08/06          
040123         1971/08/07          
040123         1971/08/08          
040123         1971/08/09          
040123         1971/08/10          
040123         1971/08/11          
040123         1971/08/12          
040123         1971/08/13          
040123         1971/08/14          
040123         1971/08/15          
040123         1971/08/16          
040123         1971/08/17          
040123         1971/08/18          
