Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1979-05-06
Station:        040124         Lac Écho - au lac Écho                                                                                                                         
Bassin versant: 9.3 km²        Régime: Influencé                                         
Coordonnées:    (NAD83) 45° 52' 45" // -74° 1' 29"
Constante géodésique: aucune
Date de création du fichier: 2012-06-23 00:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
040124         1971/08/30          29.38          PL
040124         1971/08/31          29.38          PL
040124         1971/09/01          29.37          PL
040124         1971/09/02          29.37          PL
040124         1971/09/03          29.37          PL
040124         1971/09/04          29.37          PL
040124         1971/09/05          29.37          PL
040124         1971/09/06          29.39          PL
040124         1971/09/07          29.40          PL
040124         1971/09/08          29.40          PL
040124         1971/09/09          29.40          PL
040124         1971/09/10          29.39          PL
040124         1971/09/11          29.39          PL
040124         1971/09/12          29.40          PL
040124         1971/09/13          29.40          PL
040124         1971/09/14          29.41          PL
040124         1971/09/15          29.42          PL
040124         1971/09/16          29.42          PL
040124         1971/09/17          29.42          PL
040124         1971/09/18          29.42          PL
040124         1971/09/19          29.42          PL
040124         1971/09/20          29.43          PL
040124         1971/09/21          29.43          PL
040124         1971/09/22          29.45          PL
040124         1971/09/23          29.46          PL
040124         1971/09/24          29.46          PL
040124         1971/09/25          29.45          PL
040124         1971/09/26          29.44          PL
040124         1971/09/27          29.44          PL
040124         1971/09/28          29.43          PL
040124         1971/09/29          29.43          PL
040124         1971/09/30          29.43          PL
040124         1971/10/01          29.43          PL
040124         1971/10/02          29.43          PL
040124         1971/10/03          29.43          PL
040124         1971/10/04          29.43          PL
040124         1971/10/05          29.43          PL
040124         1971/10/06          29.43          PL
040124         1971/10/07          29.43          PL
040124         1971/10/08          29.43          PL
040124         1971/10/09          29.43          PL
040124         1971/10/10          29.43          PL
040124         1971/10/11          29.43          PL
040124         1971/10/12          29.43          PL
040124         1971/10/13          29.43          PL
040124         1971/10/14          29.45          PL
040124         1971/10/15          29.45          PL
040124         1971/10/16          29.45          PL
040124         1971/10/17          29.45          PL
040124         1971/10/18          29.45          PL
040124         1971/10/19          29.45          PL
040124         1971/10/20          29.44          PL
040124         1971/10/21          29.44          PL
040124         1971/10/22          29.44          PL
040124         1971/10/23          29.44          PL
040124         1971/10/24          29.44          PL
040124         1971/10/25          29.44          PL
040124         1971/10/26          29.45          PL
040124         1971/10/27          29.45          PL
040124         1971/10/28          29.44          PL
040124         1971/10/29          29.44          PL
040124         1971/10/30          29.44          PL
040124         1971/10/31          29.44          PL
040124         1971/11/01          29.44          PL
040124         1971/11/02          29.44          PL
040124         1971/11/03          29.43          PL
040124         1971/11/04          29.43          PL
040124         1971/11/05          29.42          S
040124         1971/11/06          29.42          PL
040124         1971/11/07          29.42          PL
040124         1971/11/08          29.42          PL
040124         1971/11/09          29.43          PL
040124         1971/11/10          29.42          PL
040124         1971/11/11          29.42          PL
040124         1971/11/12          29.43          PL
040124         1971/11/13          29.43          PL
