Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-05-01, préliminaires par la suite
Station:        040132         Décharge du lac Ludger - à 0,01 km en aval du barrage Ludger                                                                                   
Bassin versant: 40.3 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 46° 7' 8" // -74° 16' 32"

Date de création du fichier: 2019-11-28 22:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040132         1994/10/01          0.646          S
040132         1994/10/02          0.575          S
040132         1994/10/03          0.399          J
040132         1994/10/04          0.267          S
040132         1994/10/05          0.247          S
040132         1994/10/06          0.260          S
040132         1994/10/07          0.270          S
040132         1994/10/08          0.284          S
040132         1994/10/09          0.293          S
040132         1994/10/10          0.319          S
040132         1994/10/11          0.304          S
040132         1994/10/12          0.299          S
040132         1994/10/13          0.295          S
040132         1994/10/14          0.292          S
040132         1994/10/15          0.281          S
040132         1994/10/16          0.274          S
040132         1994/10/17          0.264          S
040132         1994/10/18          0.267          S
040132         1994/10/19          0.283          S
040132         1994/10/20          0.329          S
040132         1994/10/21          0.375          S
040132         1994/10/22          0.387          S
040132         1994/10/23          0.385          S
040132         1994/10/24          0.367          S
040132         1994/10/25          0.369          S
040132         1994/10/26          0.373          S
040132         1994/10/27          0.421          S
040132         1994/10/28          0.477          S
040132         1994/10/29          0.464          S
040132         1994/10/30          0.461          S
040132         1994/10/31          0.432          S
040132         1994/11/01          0.646          S
040132         1994/11/02          1.689          S
040132         1994/11/03          2.022          S
040132         1994/11/04          1.526          S
040132         1994/11/05          1.423          S
040132         1994/11/06          1.780          S
040132         1994/11/07          2.640          S
040132         1994/11/08          2.368          S
040132         1994/11/09          1.667          S
040132         1994/11/10          1.271          S
040132         1994/11/11          0.639          S
040132         1994/11/12          0.423          S
040132         1994/11/13          0.452          S
040132         1994/11/14          0.472          S
040132         1994/11/15          0.504          S
040132         1994/11/16          0.518          S
040132         1994/11/17          0.512          S
040132         1994/11/18          0.506          S
040132         1994/11/19          0.526          S
040132         1994/11/20          0.538          S
040132         1994/11/21          0.559          S
040132         1994/11/22          0.646          S
040132         1994/11/23          0.709          S
040132         1994/11/24          0.709          S
040132         1994/11/25          0.768          S
