Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1958-09-30
Station:        040202         Rouge - à 0,2 km en aval de la centrale de la chute Bell                                                                                       
Bassin versant: 5440 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 45° 46' 24" // -74° 41' 1"

Date de création du fichier: 2012-06-25 19:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040202         1918/10/01          140.0          MC
040202         1918/10/02          127.0          MC
040202         1918/10/03          114.0          MC
040202         1918/10/04          106.0          MC
040202         1918/10/05          110.0          MC
040202         1918/10/06          119.0          MC
040202         1918/10/07          127.0          MC
040202         1918/10/08          114.0          MC
040202         1918/10/09          106.0          MC
040202         1918/10/10          98.00          MC
040202         1918/10/11          94.00          MC
040202         1918/10/12          94.00          MC
040202         1918/10/13          98.00          MC
040202         1918/10/14          98.00          MC
040202         1918/10/15          98.00          MC
040202         1918/10/16          94.00          MC
040202         1918/10/17          90.30          MC
040202         1918/10/18          83.00          MC
040202         1918/10/19          83.00          MC
040202         1918/10/20          86.40          MC
040202         1918/10/21          90.30          MC
040202         1918/10/22          102.0          MC
040202         1918/10/23          119.0          MC
040202         1918/10/24          110.0          MC
040202         1918/10/25          98.00          MC
040202         1918/10/26          106.0          MC
040202         1918/10/27          98.00          MC
040202         1918/10/28          102.0          MC
040202         1918/10/29          106.0          MC
040202         1918/10/30          135.0          MC
040202         1918/10/31          148.0          MC
040202         1918/11/01          161.0          MC
040202         1918/11/02          152.0          MC
040202         1918/11/03          144.0          MC
040202         1918/11/04          135.0          MC
040202         1918/11/05          127.0          MC
040202         1918/11/06          119.0          MC
040202         1918/11/07          110.0          MC
040202         1918/11/08          106.0          MC
040202         1918/11/09          106.0          MC
040202         1918/11/10          110.0          MC
040202         1918/11/11          110.0          MC
040202         1918/11/12          106.0          MC
040202         1918/11/13          98.00          MC
040202         1918/11/14          98.00          MC
040202         1918/11/15          94.00          MC
040202         1918/11/16          94.00          MC
040202         1918/11/17          94.00          MC
040202         1918/11/18          106.0          MC
040202         1918/11/19          157.0          MC
040202         1918/11/20          180.0          MC
040202         1918/11/21          184.0          MC
040202         1918/11/22          161.0          MC
040202         1918/11/23          152.0          MC
040202         1918/11/24          148.0          MC
040202         1918/11/25          140.0          MC
040202         1918/11/26          131.0          MC
040202         1918/11/27          123.0          MC
040202         1918/11/28          106.0          MC
040202         1918/11/29          127.0          MC
040202         1918/11/30          123.0          MC
040202         1918/12/01          114.0          MC
040202         1918/12/02          114.0          MC
040202         1918/12/03          102.0          MC
040202         1918/12/04          94.00          MC
040202         1918/12/05          90.30          MC
040202         1918/12/06          90.30          MC
040202         1918/12/07          102.0          MC
040202         1918/12/08          94.00          MC
040202         1918/12/09          83.00          MC
040202         1918/12/10          79.30          MC
040202         1918/12/11          72.20          MC
040202         1918/12/12          68.80          MC
040202         1918/12/13          65.40          MC
040202         1918/12/14          75.90          MC
040202         1918/12/15          114.0          MC
040202         1918/12/16          131.0          MC
040202         1918/12/17          144.0          MC
040202         1918/12/18          140.0          MC
040202         1918/12/19          144.0          MC
040202         1918/12/20          119.0          MC
040202         1918/12/21          106.0          MC
040202         1918/12/22          106.0          MC
040202         1918/12/23          127.0          MC
040202         1918/12/24          138.0          MC
040202         1918/12/25          138.0          MC
040202         1918/12/26          138.0          MC
040202         1918/12/27          125.0          MC
040202         1918/12/28          116.0          MC
040202         1918/12/29          108.0          MC
040202         1918/12/30          105.0          MC
040202         1918/12/31          101.0          MC
040202         1919/01/01          96.80          MC
040202         1919/01/02          96.80          MC
040202         1919/01/03          92.90          MC
040202         1919/01/04          92.90          MC
040202         1919/01/05          92.90          MC
040202         1919/01/06          96.80          MC
040202         1919/01/07          101.0          MC
040202         1919/01/08          105.0          MC
040202         1919/01/09          96.80          MC
040202         1919/01/10          108.0          MC
040202         1919/01/11          116.0          MC
040202         1919/01/12          121.0          MC
040202         1919/01/13          116.0          MC
040202         1919/01/14          125.0          MC
040202         1919/01/15          125.0          MC
040202         1919/01/16          125.0          MC
040202         1919/01/17          101.0          MC
040202         1919/01/18          88.90          MC
040202         1919/01/19          81.30          MC
040202         1919/01/20          92.90          MC
040202         1919/01/21          77.30          MC
040202         1919/01/22          85.20          MC
040202         1919/01/23          69.40          MC
040202         1919/01/24          73.30          MC
040202         1919/01/25          77.30          MC
040202         1919/01/26          81.30          MC
040202         1919/01/27          73.30          MC
040202         1919/01/28          69.40          MC
040202         1919/01/29          65.70          MC
040202         1919/01/30          69.40          MC
040202         1919/01/31          61.70          MC
040202         1919/02/01          65.70          MC
040202         1919/02/02          73.30          MC
040202         1919/02/03          77.30          MC
040202         1919/02/04          77.30          MC
040202         1919/02/05          73.30          MC
040202         1919/02/06          69.40          MC
040202         1919/02/07          57.80          MC
040202         1919/02/08          50.40          MC
040202         1919/02/09          46.70          MC
040202         1919/02/10          41.10          MC
040202         1919/02/11          38.20          MC
040202         1919/02/12          35.40          MC
040202         1919/02/13          35.40          MC
040202         1919/02/14          35.40          MC
040202         1919/02/15          38.20          MC
040202         1919/02/16          38.20          MC
040202         1919/02/17          38.20          MC
040202         1919/02/18          35.40          MC
040202         1919/02/19          35.40          MC
040202         1919/02/20          35.40          MC
040202         1919/02/21          35.40          MC
040202         1919/02/22          32.60          MC
040202         1919/02/23          30.00          MC
040202         1919/02/24          35.40          MC
040202         1919/02/25          32.60          MC
040202         1919/02/26          32.60          MC
040202         1919/02/27          30.00          MC
040202         1919/02/28          30.00          MC
040202         1919/03/01          41.10          MC
040202         1919/03/02          43.90          MC
040202         1919/03/03          46.70          MC
040202         1919/03/04          43.90          MC
040202         1919/03/05          46.70          MC
040202         1919/03/06          46.70          MC
040202         1919/03/07          43.90          MC
040202         1919/03/08          43.90          MC
040202         1919/03/09          43.90          MC
040202         1919/03/10          43.90          MC
040202         1919/03/11          41.10          MC
040202         1919/03/12          41.10          MC
040202         1919/03/13          41.10          MC
040202         1919/03/14          38.20          MC
040202         1919/03/15          41.10          MC
040202         1919/03/16          41.10          MC
040202         1919/03/17          43.90          MC
040202         1919/03/18          50.40          MC
040202         1919/03/19          85.20          MC
040202         1919/03/20          101.0          MC
040202         1919/03/21          116.0          MC
040202         1919/03/22          138.0          MC
040202         1919/03/23          159.0          MC
040202         1919/03/24          173.0          MC
040202         1919/03/25          183.0          MC
040202         1919/03/26          187.0          MC
040202         1919/03/27          212.0          MC
040202         1919/03/28          348.0          MC
040202         1919/03/29          343.0          MC
040202         1919/03/30          294.0          MC
040202         1919/03/31          289.0          MC
040202         1919/04/01          262.0          MC
040202         1919/04/02          247.0          MC
040202         1919/04/03          216.0          MC
040202         1919/04/04          202.0          MC
040202         1919/04/05          187.0          MC
040202         1919/04/06          183.0          MC
040202         1919/04/07          183.0          MC
040202         1919/04/08          212.0          MC
040202         1919/04/09          183.0          MC
040202         1919/04/10          183.0          MC
040202         1919/04/11          187.0          MC
040202         1919/04/12          283.0          MC
040202         1919/04/13          343.0          MC
