Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1930-09-30
Station:        040203         Rouge - à 0,2 km en amont du pont-route à Labelle                                                                                              
Bassin versant: 2670 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 46° 16' 51" // -74° 44' 8"

Date de création du fichier: 2012-06-25 22:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040203         1925/02/28          42.50          MC
040203         1925/03/01          44.50          MC
040203         1925/03/02          44.50          MC
040203         1925/03/03          44.50          MC
040203         1925/03/04          44.50          MC
040203         1925/03/05          44.50          MC
040203         1925/03/06          44.50          MC
040203         1925/03/07          44.50          MC
040203         1925/03/08          44.50          MC
040203         1925/03/09          44.50          MC
040203         1925/03/10          44.50          MC
040203         1925/03/11          44.50          MC
040203         1925/03/12          44.50          MC
040203         1925/03/13          44.50          MC
040203         1925/03/14          44.50          MC
040203         1925/03/15          44.50          MC
040203         1925/03/16          44.50          MC
040203         1925/03/17          44.50          MC
040203         1925/03/18          44.50          MC
040203         1925/03/19          44.50          MC
040203         1925/03/20          44.50          MC
040203         1925/03/21          44.50          MC
040203         1925/03/22          44.50          MC
040203         1925/03/23          44.50          MC
040203         1925/03/24          44.50          MC
040203         1925/03/25          44.50          MC
040203         1925/03/26          44.50          MC
040203         1925/03/27          44.50          MC
040203         1925/03/28          44.50          MC
040203         1925/03/29          44.50          MC
040203         1925/03/30          44.50          MC
040203         1925/03/31          44.50          MC
040203         1925/04/01          141.0          MC
040203         1925/04/02          141.0          MC
040203         1925/04/03          141.0          MC
040203         1925/04/04          175.0          MC
040203         1925/04/05          176.0          MC
040203         1925/04/06          166.0          MC
040203         1925/04/07          163.0          MC
040203         1925/04/08          156.0          MC
040203         1925/04/09          149.0          MC
040203         1925/04/10          146.0          MC
040203         1925/04/11          146.0          MC
040203         1925/04/12          147.0          MC
