Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-06-09, préliminaires par la suite
Station:        040204         Rouge - en amont de la chute McNeil                                                                                                            
Bassin versant: 5479 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 45° 44' 18" // -74° 41' 21"

Date de création du fichier: 2019-11-28 22:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040204         1964/09/01          20.20          MC
040204         1964/09/02          29.70          MC
040204         1964/09/03          27.40          MC
040204         1964/09/04          26.70          MC
040204         1964/09/05          24.60          MC
040204         1964/09/06          25.70          MC
040204         1964/09/07          23.60          MC
040204         1964/09/08          22.70          E
040204         1964/09/09          22.00          MC
040204         1964/09/10          22.20          MC
040204         1964/09/11          20.90          MC
040204         1964/09/12          20.70          MC
040204         1964/09/13          20.40          MC
040204         1964/09/14          23.60          MC
040204         1964/09/15          26.40          MC
040204         1964/09/16          26.10          MC
040204         1964/09/17          23.70          MC
040204         1964/09/18          25.70          MC
040204         1964/09/19          23.00          MC
040204         1964/09/20          23.20          MC
040204         1964/09/21          22.00          MC
040204         1964/09/22          24.60          MC
040204         1964/09/23          21.20          MC
040204         1964/09/24          20.00          MC
040204         1964/09/25          20.30          MC
040204         1964/09/26          19.90          MC
040204         1964/09/27          19.90          MC
040204         1964/09/28          20.40          MC
040204         1964/09/29          20.40          MC
040204         1964/09/30          19.50          MC
040204         1964/10/01          18.20          MC
040204         1964/10/02          17.80          MC
040204         1964/10/03          18.50          MC
040204         1964/10/04          19.10          MC
040204         1964/10/05          20.40          MC
040204         1964/10/06          21.00          MC
040204         1964/10/07          21.80          MC
040204         1964/10/08          22.20          MC
040204         1964/10/09          21.20          MC
040204         1964/10/10          21.50          MC
040204         1964/10/11          21.30          MC
040204         1964/10/12          20.40          MC
040204         1964/10/13          21.60          MC
040204         1964/10/14          20.60          MC
040204         1964/10/15          24.00          MC
040204         1964/10/16          24.90          MC
040204         1964/10/17          25.70          MC
040204         1964/10/18          25.80          MC
040204         1964/10/19          26.90          MC
040204         1964/10/20          27.10          MC
040204         1964/10/21          24.80          MC
040204         1964/10/22          26.40          MC
040204         1964/10/23          25.80          MC
040204         1964/10/24          25.70          MC
040204         1964/10/25          25.10          MC
040204         1964/10/26          24.90          MC
040204         1964/10/27          23.60          MC
040204         1964/10/28          24.20          MC
040204         1964/10/29          24.60          MC
040204         1964/10/30          25.70          MC
040204         1964/10/31          22.60          MC
040204         1964/11/01          24.90          MC
040204         1964/11/02          23.80          MC
040204         1964/11/03          23.20          MC
040204         1964/11/04          20.80          MC
040204         1964/11/05          20.70          MC
040204         1964/11/06          24.20          MC
040204         1964/11/07          24.00          MC
040204         1964/11/08          28.20          MC
040204         1964/11/09          32.30          MC
040204         1964/11/10          30.90          MC
040204         1964/11/11          30.90          MC
040204         1964/11/12          32.00          MC
040204         1964/11/13          30.90          MC
040204         1964/11/14          32.60          MC
040204         1964/11/15          32.80          MC
040204         1964/11/16          36.00          MC
040204         1964/11/17          37.70          MC
040204         1964/11/18          37.40          MC
040204         1964/11/19          29.20          MC
040204         1964/11/20          24.10          MC
040204         1964/11/21          28.60          MC
040204         1964/11/22          26.00          MC
040204         1964/11/23          22.60          MC
040204         1964/11/24          26.80          MC
040204         1964/11/25          28.10          MC
040204         1964/11/26          35.40          MC
040204         1964/11/27          46.40          MC
040204         1964/11/28          60.90          MC
040204         1964/11/29          72.80          MC
040204         1964/11/30          76.70          MC
040204         1964/12/01          76.50          E
040204         1964/12/02          66.00          E
040204         1964/12/03          56.90          E
040204         1964/12/04          51.80          E
040204         1964/12/05          48.40          E
040204         1964/12/06          46.20          E
040204         1964/12/07          41.10          E
040204         1964/12/08          40.50          E
040204         1964/12/09          39.40          E
040204         1964/12/10          39.40          E
040204         1964/12/11          38.20          E
040204         1964/12/12          41.90          E
040204         1964/12/13          43.00          E
040204         1964/12/14          47.60          E
040204         1964/12/15          47.30          E
040204         1964/12/16          44.20          E
040204         1964/12/17          41.90          E
040204         1964/12/18          39.40          E
