Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-05-07
Station:        040206         Rouge - au confluent de la Beaven                                                                                                              
Bassin versant: 0 km²          Régime: Influencé                                         
Coordonnées:    (NAD83) 45° 58' 12" // -74° 38' 4"
Constante géodésique: aucune
Date de création du fichier: 2012-06-23 00:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
040206         1966/08/02          27.22          PL
040206         1966/08/03          27.24          PL
040206         1966/08/04          27.25          PL
040206         1966/08/05          27.33          PL
040206         1966/08/06          27.39          PL
040206         1966/08/07          27.36          PL
040206         1966/08/08          27.36          PL
040206         1966/08/09          27.36          PL
040206         1966/08/10          27.35          PL
040206         1966/08/11          27.33          PL
040206         1966/08/12          27.46          PL
040206         1966/08/13          27.70          PL
040206         1966/08/14          27.79          PL
040206         1966/08/15          28.10          PL
040206         1966/08/16          27.97          PL
040206         1966/08/17          27.83          PL
040206         1966/08/18          27.72          PL
040206         1966/08/19          27.70          PL
040206         1966/08/20          27.73          PL
040206         1966/08/21          27.67          PL
040206         1966/08/22          27.61          PL
040206         1966/08/23          27.54          PL
040206         1966/08/24          27.48          PL
040206         1966/08/25          27.44          PL
040206         1966/08/26          27.40          PL
040206         1966/08/27          27.38          PL
040206         1966/08/28          27.36          PL
040206         1966/08/29          27.34          PL
040206         1966/08/30          27.35          PL
040206         1966/08/31          27.34          PL
040206         1966/09/01          27.31          PL
040206         1966/09/02          27.28          PL
040206         1966/09/03          27.25          PL
040206         1966/09/04          27.23          PL
040206         1966/09/05          27.22          PL
