Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-05-17
Station:        040210         Grand lac MacDonald - à Harrington                                                                                                             
Bassin versant: 202 km²        Régime: Influencé                                         
Coordonnées:    (NAD83) 45° 52' 42" // -74° 34' 3"
Constante géodésique: aucune
Date de création du fichier: 2012-06-23 01:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
040210         1966/08/03          8.77           PL
040210         1966/08/04          8.77           PL
040210         1966/08/05          8.77           PL
040210         1966/08/06          8.77           PL
040210         1966/08/07          8.77           PL
040210         1966/08/08          8.77           PL
040210         1966/08/09          8.78           PL
040210         1966/08/10          8.79           PL
040210         1966/08/11          8.79           PL
040210         1966/08/12          8.80           PL
040210         1966/08/13          8.80           PL
040210         1966/08/14          8.80           PL
040210         1966/08/15          8.81           PL
040210         1966/08/16          8.80           PL
040210         1966/08/17          8.83           PL
040210         1966/08/18          8.82           PL
040210         1966/08/19          8.80           PL
040210         1966/08/20          8.79           PL
040210         1966/08/21          8.79           PL
040210         1966/08/22          8.79           PL
040210         1966/08/23          8.82           PL
040210         1966/08/24          8.81           PL
040210         1966/08/25          8.82           PL
040210         1966/08/26          8.85           PL
040210         1966/08/27          8.83           PL
040210         1966/08/28          8.82           PL
040210         1966/08/29          8.80           PL
040210         1966/08/30          8.82           PL
040210         1966/08/31          8.79           PL
040210         1966/09/01          8.78           PL
040210         1966/09/02          8.78           PL
040210         1966/09/03          8.74           PL
040210         1966/09/04          8.71           PL
040210         1966/09/05          8.69           PL
040210         1966/09/06          8.71           PL
040210         1966/09/07          8.71           PL
040210         1966/09/08          8.72           PL
040210         1966/09/09          8.72           PL
040210         1966/09/10          8.75           PL
040210         1966/09/11          8.75           PL
040210         1966/09/12          8.74           PL
040210         1966/09/13          8.74           PL
040210         1966/09/14          8.74           PL
040210         1966/09/15          8.74           PL
040210         1966/09/16          8.73           PL
040210         1966/09/17          8.72           PL
040210         1966/09/18          8.70           PL
040210         1966/09/19          8.71           PL
040210         1966/09/20          8.78           PL
040210         1966/09/21          8.77           PL
040210         1966/09/22          8.77           PL
040210         1966/09/23          8.80           PL
040210         1966/09/24          8.80           PL
040210         1966/09/25          8.80           PL
040210         1966/09/26          8.81           PL
040210         1966/09/27          8.82           PL
040210         1966/09/28          8.82           PL
040210         1966/09/29          8.82           PL
040210         1966/09/30          8.82           PL
040210         1966/10/01          8.82           PL
040210         1966/10/02          8.82           PL
040210         1966/10/03          8.81           PL
040210         1966/10/04          8.82           PL
040210         1966/10/05          8.82           PL
040210         1966/10/06          8.82           PL
040210         1966/10/07          8.81           PL
040210         1966/10/08          8.81           PL
040210         1966/10/09          8.81           PL
040210         1966/10/10          8.83           PL
040210         1966/10/11          8.83           PL
040210         1966/10/12          8.83           PL
040210         1966/10/13          8.83           PL
040210         1966/10/14          8.83           PL
040210         1966/10/15          8.83           PL
040210         1966/10/16          8.83           PL
040210         1966/10/17          8.83           PL
040210         1966/10/18          8.81           PL
040210         1966/10/19          8.81           PL
040210         1966/10/20          8.83           PL
040210         1966/10/21          8.83           PL
040210         1966/10/22          8.82           PL
040210         1966/10/23          8.82           PL
040210         1966/10/24          8.82           PL
040210         1966/10/25          8.82           PL
040210         1966/10/26          8.82           PL
040210         1966/10/27          8.82           PL
040210         1966/10/28          8.82           PL
040210         1966/10/29          8.82           PL
040210         1966/10/30          8.82           PL
040210         1966/10/31          8.82           PL
040210         1966/11/01          8.84           PL
040210         1966/11/02          8.84           PL
040210         1966/11/03          8.85           PL
040210         1966/11/04          8.84           PL
040210         1966/11/05          8.83           PL
040210         1966/11/06          8.83           PL
040210         1966/11/07          8.85           PL
040210         1966/11/08          8.86           PL
040210         1966/11/09          8.89           PL
040210         1966/11/10          8.93           PL
040210         1966/11/11          8.96           PL
040210         1966/11/12          9.02           PL
040210         1966/11/13          9.05           PL
040210         1966/11/14          9.06           PL
040210         1966/11/15          
040210         1966/11/16          
040210         1966/11/17          
040210         1966/11/18          
040210         1966/11/19          
040210         1966/11/20          
040210         1966/11/21          
040210         1966/11/22          
040210         1966/11/23          
040210         1966/11/24          9.07           PL
040210         1966/11/25          9.09           PL
040210         1966/11/26          9.11           PL
040210         1966/11/27          9.16           PL
040210         1966/11/28          9.17           PL
040210         1966/11/29          9.17           PL
040210         1966/11/30          9.18           PL
040210         1966/12/01          9.16           PL
040210         1966/12/02          9.12           PL
040210         1966/12/03          9.11           PL
040210         1966/12/04          9.11           PL
040210         1966/12/05          9.10           PL
040210         1966/12/06          9.10           PL
040210         1966/12/07          9.10           PL
040210         1966/12/08          9.10           PL
040210         1966/12/09          9.11           PL
040210         1966/12/10          9.14           PL
040210         1966/12/11          9.19           PL
040210         1966/12/12          9.21           PL
040210         1966/12/13          9.26           PL
040210         1966/12/14          9.29           PL
040210         1966/12/15          9.30           PL
040210         1966/12/16          9.30           PL
040210         1966/12/17          9.30           PL
040210         1966/12/18          9.29           PL
040210         1966/12/19          9.21           PL
040210         1966/12/20          9.20           PL
040210         1966/12/21          9.18           PL
040210         1966/12/22          9.17           PL
040210         1966/12/23          9.17           PL
040210         1966/12/24          9.16           PL
040210         1966/12/25          9.17           PL
040210         1966/12/26          9.16           PL
040210         1966/12/27          9.15           PL
040210         1966/12/28          9.15           PL
040210         1966/12/29          9.15           PL
040210         1966/12/30          9.16           PL
040210         1966/12/31          9.17           PL
040210         1967/01/01          9.17           PL
040210         1967/01/02          9.15           PL
040210         1967/01/03          9.12           PL
040210         1967/01/04          9.11           PL
040210         1967/01/05          9.07           PL
040210         1967/01/06          9.03           PL
040210         1967/01/07          9.03           PL
040210         1967/01/08          9.03           PL
040210         1967/01/09          9.03           PL
040210         1967/01/10          9.01           PL
040210         1967/01/11          9.03           PL
040210         1967/01/12          9.03           PL
040210         1967/01/13          9.03           PL
040210         1967/01/14          9.02           PL
040210         1967/01/15          9.02           PL
040210         1967/01/16          8.95           PL
040210         1967/01/17          8.95           PL
040210         1967/01/18          
040210         1967/01/19          8.96           PL
040210         1967/01/20          8.94           PL
040210         1967/01/21          8.94           PL
040210         1967/01/22          8.94           PL
040210         1967/01/23          8.94           PL
040210         1967/01/24          8.94           PL
040210         1967/01/25          8.94           PL
040210         1967/01/26          8.96           PL
040210         1967/01/27          8.99           PL
040210         1967/01/28          8.99           PL
040210         1967/01/29          8.99           PL
040210         1967/01/30          8.99           PL
040210         1967/01/31          8.97           PL
040210         1967/02/01          8.96           PL
040210         1967/02/02          8.96           PL
040210         1967/02/03          8.96           PL
040210         1967/02/04          8.96           PL
040210         1967/02/05          8.96           PL
040210         1967/02/06          8.96           PL
040210         1967/02/07          8.96           PL
040210         1967/02/08          8.96           PL
040210         1967/02/09          8.96           PL
040210         1967/02/10          8.96           PL
040210         1967/02/11          8.96           PL
040210         1967/02/12          8.95           PL
