Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1985-08-11
Station:        040237         Lac Monroe - au lac Monroe                                                                                                                     
Bassin versant: 432 km²        Régime: Influencé                                         
Coordonnées:    (NAD83) 46° 19' 7" // -74° 30' 35"
Constante géodésique: aucune
Date de création du fichier: 2012-06-23 02:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
040237         1977/08/25          29.32          PL
040237         1977/08/26          29.32          PL
040237         1977/08/27          29.30          PL
040237         1977/08/28          29.29          PL
040237         1977/08/29          29.27          PL
040237         1977/08/30          29.31          PL
040237         1977/08/31          29.35          PL
040237         1977/09/01          29.34          PL
040237         1977/09/02          29.32          PL
040237         1977/09/03          29.30          PL
040237         1977/09/04          29.28          PL
040237         1977/09/05          29.26          PL
040237         1977/09/06          29.25          PL
040237         1977/09/07          29.24          PL
040237         1977/09/08          29.21          PL
040237         1977/09/09          29.21          PL
040237         1977/09/10          29.20          PL
040237         1977/09/11          29.20          PL
040237         1977/09/12          29.16          PL
040237         1977/09/13          29.16          PL
040237         1977/09/14          29.16          PL
040237         1977/09/15          29.17          PL
040237         1977/09/16          29.18          PL
040237         1977/09/17          29.19          PL
040237         1977/09/18          29.19          PL
040237         1977/09/19          29.22          PL
040237         1977/09/20          29.22          PL
040237         1977/09/21          29.21          PL
040237         1977/09/22          29.20          PL
040237         1977/09/23          29.20          PL
040237         1977/09/24          29.19          PL
040237         1977/09/25          29.19          PL
040237         1977/09/26          29.18          PL
040237         1977/09/27          29.27          PL
040237         1977/09/28          29.40          PL
040237         1977/09/29          29.43          PL
040237         1977/09/30          29.43          PL
040237         1977/10/01          29.42          PL
040237         1977/10/02          29.44          PL
040237         1977/10/03          29.42          PL
040237         1977/10/04          29.48          PL
040237         1977/10/05          29.47          PL
040237         1977/10/06          29.46          PL
040237         1977/10/07          29.43          PL
040237         1977/10/08          29.41          PL
040237         1977/10/09          29.42          PL
040237         1977/10/10          29.58          PL
040237         1977/10/11          29.64          PL
040237         1977/10/12          29.41          PL
040237         1977/10/13          29.43          PL
040237         1977/10/14          29.36          PL
040237         1977/10/15          29.35          PL
040237         1977/10/16          29.35          PL
040237         1977/10/17          29.34          PL
040237         1977/10/18          29.35          PL
040237         1977/10/19          29.38          PL
040237         1977/10/20          29.30          PL
040237         1977/10/21          29.31          PL
040237         1977/10/22          29.28          PL
040237         1977/10/23          29.25          PL
040237         1977/10/24          29.22          PL
040237         1977/10/25          29.21          PL
040237         1977/10/26          29.20          PL
040237         1977/10/27          29.17          PL
040237         1977/10/28          29.16          PL
040237         1977/10/29          29.13          PL
040237         1977/10/30          29.11          PL
040237         1977/10/31          29.10          PL
040237         1977/11/01          29.09          PL
040237         1977/11/02          29.01          PL
040237         1977/11/03          29.01          PL
040237         1977/11/04          29.08          PL
040237         1977/11/05          29.09          PL
040237         1977/11/06          29.11          PL
040237         1977/11/07          29.12          PL
040237         1977/11/08          29.11          PL
040237         1977/11/09          29.12          PL
040237         1977/11/10          29.12          PL
040237         1977/11/11          29.12          PL
040237         1977/11/12          29.22          PL
040237         1977/11/13          29.23          PL
040237         1977/11/14          29.22          PL
040237         1977/11/15          29.18          PL
040237         1977/11/16          29.17          PL
040237         1977/11/17          29.18          PL
040237         1977/11/18          29.39          PL
040237         1977/11/19          29.39          PL
040237         1977/11/20          29.34          PL
040237         1977/11/21          29.31          PL
040237         1977/11/22          29.30          PL
040237         1977/11/23          29.26          PL
040237         1977/11/24          29.25          PL
040237         1977/11/25          29.22          PL
040237         1977/11/26          29.20          PL
040237         1977/11/27          29.20          PL
040237         1977/11/28          29.16          PL
040237         1977/11/29          29.13          PL
040237         1977/11/30          29.13          PL
040237         1977/12/01          29.13          PL
040237         1977/12/02          29.17          PL
040237         1977/12/03          29.21          PL
040237         1977/12/04          29.20          PL
040237         1977/12/05          29.18          PL
040237         1977/12/06          29.16          PL
040237         1977/12/07          29.13          PL
040237         1977/12/08          29.12          PL
040237         1977/12/09          29.11          PL
040237         1977/12/10          29.12          PL
040237         1977/12/11          29.08          PL
040237         1977/12/12          29.07          PL
040237         1977/12/13          29.06          PL
040237         1977/12/14          29.07          PL
040237         1977/12/15          29.07          PL
