Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-06-17, préliminaires par la suite
Station:        040238         Du Diable - à 100 mètres en amont du pont de la route 117                                                                                      
Bassin versant: 1160 km²       Régime: Influencé                                         
Coordonnées:    (NAD83) 46° 6' 53" // -74° 36' 6"

Date de création du fichier: 2019-11-25 19:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040238         2009/11/12          16.32          MJ
040238         2009/11/13          15.33          MJ
040238         2009/11/14          14.98          MJ
040238         2009/11/15          14.90          MJ
040238         2009/11/16          14.50          MJ
040238         2009/11/17          13.96          MJ
040238         2009/11/18          12.98          MJ
040238         2009/11/19          12.77          MJ
040238         2009/11/20          13.96          MJ
040238         2009/11/21          18.31          MJ
040238         2009/11/22          18.04          MJ
040238         2009/11/23          16.77          MJ
040238         2009/11/24          15.92          MJ
040238         2009/11/25          14.91          MJ
040238         2009/11/26          15.50          MJ
040238         2009/11/27          15.61          MJ
040238         2009/11/28          15.38          MJ
040238         2009/11/29          14.16          MJ
040238         2009/11/30          14.33          MJ
040238         2009/12/01          13.44          MJ
040238         2009/12/02          13.32          MJ
040238         2009/12/03          17.24          MJ
040238         2009/12/04          26.67          MJ
040238         2009/12/05          25.52          MJ
040238         2009/12/06          22.10          MJ
040238         2009/12/07          19.52          MJ
040238         2009/12/08          17.83          R
040238         2009/12/09          16.25          R
040238         2009/12/10          15.02          R
040238         2009/12/11          14.06          R
040238         2009/12/12          13.30          R
040238         2009/12/13          12.69          R
040238         2009/12/14          12.19          R
040238         2009/12/15          11.76          R
040238         2009/12/16          11.39          R
040238         2009/12/17          11.04          R
040238         2009/12/18          10.84          R
040238         2009/12/19          10.64          R
040238         2009/12/20          10.45          R
040238         2009/12/21          10.27          R
040238         2009/12/22          10.10          R
040238         2009/12/23          9.930          R
040238         2009/12/24          9.760          R
040238         2009/12/25          9.610          R
040238         2009/12/26          9.460          R
040238         2009/12/27          9.310          R
040238         2009/12/28          9.170          R
040238         2009/12/29          9.040          R
040238         2009/12/30          8.910          R
040238         2009/12/31          8.780          R
040238         2010/01/01          8.660          R
040238         2010/01/02          8.550          R
040238         2010/01/03          8.440          R
040238         2010/01/04          8.330          R
040238         2010/01/05          8.230          R
040238         2010/01/06          8.140          R
040238         2010/01/07          8.040          R
040238         2010/01/08          7.950          R
040238         2010/01/09          7.870          R
040238         2010/01/10          7.790          R
040238         2010/01/11          7.710          R
040238         2010/01/12          7.630          R
040238         2010/01/13          7.560          R
040238         2010/01/14          7.500          R
040238         2010/01/15          7.430          R
040238         2010/01/16          7.370          R
040238         2010/01/17          7.310          R
040238         2010/01/18          7.260          R
040238         2010/01/19          7.210          R
040238         2010/01/20          7.160          R
040238         2010/01/21          7.110          R
040238         2010/01/22          7.070          R
040238         2010/01/23          7.030          R
040238         2010/01/24          7.000          R
040238         2010/01/25          12.99          J
040238         2010/01/26          43.07          R
040238         2010/01/27          52.49          R
040238         2010/01/28          46.11          R
040238         2010/01/29          35.43          R
040238         2010/01/30          31.30          R
040238         2010/01/31          28.82          R
040238         2010/02/01          26.23          R
040238         2010/02/02          23.87          R
040238         2010/02/03          21.99          R
040238         2010/02/04          20.77          R
040238         2010/02/05          19.36          R
040238         2010/02/06          18.14          R
040238         2010/02/07          17.07          R
040238         2010/02/08          16.12          R
040238         2010/02/09          15.30          R
040238         2010/02/10          14.57          R
040238         2010/02/11          13.93          R
040238         2010/02/12          13.37          R
040238         2010/02/13          12.87          R
040238         2010/02/14          12.44          R
040238         2010/02/15          12.05          R
040238         2010/02/16          11.71          R
040238         2010/02/17          11.42          R
040238         2010/02/18          11.16          R
040238         2010/02/19          10.94          R
040238         2010/02/20          10.74          R
040238         2010/02/21          10.57          R
040238         2010/02/22          10.43          R
040238         2010/02/23          10.31          R
040238         2010/02/24          10.20          R
040238         2010/02/25          10.12          R
040238         2010/02/26          10.71          R
