Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1968-12-31
Station:        040401         De la Petite Nation - au pont-route près de Côte-Saint-Pierre                                                                                  
Bassin versant: 1300 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 49' 39" // -75° 4' 17"

Date de création du fichier: 2012-06-25 22:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040401         1925/08/11          16.20          MC
040401         1925/08/12          15.70          MC
040401         1925/08/13          15.30          MC
040401         1925/08/14          14.80          MC
040401         1925/08/15          14.40          MC
040401         1925/08/16          13.90          MC
040401         1925/08/17          13.50          MC
040401         1925/08/18          13.10          MC
040401         1925/08/19          12.70          MC
040401         1925/08/20          13.10          MC
040401         1925/08/21          12.70          MC
040401         1925/08/22          12.30          MC
040401         1925/08/23          11.90          MC
040401         1925/08/24          11.50          MC
040401         1925/08/25          11.50          MC
040401         1925/08/26          11.10          MC
040401         1925/08/27          10.80          MC
040401         1925/08/28          10.40          MC
040401         1925/08/29          10.00          MC
040401         1925/08/30          9.660          MC
040401         1925/08/31          9.660          MC
040401         1925/09/01          9.290          MC
040401         1925/09/02          8.920          MC
040401         1925/09/03          8.580          MC
040401         1925/09/04          8.580          MC
040401         1925/09/05          8.210          MC
040401         1925/09/06          8.210          MC
040401         1925/09/07          7.870          MC
040401         1925/09/08          8.210          MC
040401         1925/09/09          7.500          MC
040401         1925/09/10          7.160          MC
040401         1925/09/11          7.160          MC
040401         1925/09/12          7.870          MC
040401         1925/09/13          7.500          MC
040401         1925/09/14          7.870          MC
040401         1925/09/15          7.500          MC
040401         1925/09/16          7.160          MC
040401         1925/09/17          7.160          MC
040401         1925/09/18          7.160          MC
040401         1925/09/19          7.160          MC
040401         1925/09/20          7.500          MC
040401         1925/09/21          7.160          MC
040401         1925/09/22          6.510          MC
040401         1925/09/23          6.200          MC
040401         1925/09/24          5.890          MC
040401         1925/09/25          5.890          MC
040401         1925/09/26          5.890          MC
040401         1925/09/27          5.580          MC
040401         1925/09/28          5.580          MC
040401         1925/09/29          5.580          MC
040401         1925/09/30          5.240          MC
040401         1925/10/01          5.240          MC
040401         1925/10/02          5.240          MC
040401         1925/10/03          4.930          MC
040401         1925/10/04          4.930          MC
040401         1925/10/05          4.930          MC
040401         1925/10/06          4.930          MC
040401         1925/10/07          4.930          MC
040401         1925/10/08          4.930          MC
040401         1925/10/09          4.620          MC
040401         1925/10/10          4.620          MC
040401         1925/10/11          4.300          MC
040401         1925/10/12          4.300          MC
040401         1925/10/13          4.300          MC
040401         1925/10/14          3.990          MC
040401         1925/10/15          3.990          MC
040401         1925/10/16          3.990          MC
040401         1925/10/17          3.990          MC
040401         1925/10/18          3.990          MC
040401         1925/10/19          3.990          MC
040401         1925/10/20          3.990          MC
040401         1925/10/21          3.990          MC
040401         1925/10/22          3.990          MC
040401         1925/10/23          3.990          MC
040401         1925/10/24          3.680          MC
040401         1925/10/25          3.680          MC
040401         1925/10/26          4.930          MC
040401         1925/10/27          4.620          MC
040401         1925/10/28          4.620          MC
040401         1925/10/29          4.620          MC
040401         1925/10/30          4.620          MC
040401         1925/10/31          4.620          MC
040401         1925/11/01          4.300          MC
040401         1925/11/02          4.300          MC
040401         1925/11/03          4.300          MC
040401         1925/11/04          4.300          MC
040401         1925/11/05          4.300          MC
040401         1925/11/06          4.620          MC
040401         1925/11/07          4.620          MC
040401         1925/11/08          5.240          MC
040401         1925/11/09          6.200          MC
040401         1925/11/10          5.240          MC
040401         1925/11/11          4.930          MC
040401         1925/11/12          4.930          MC
040401         1925/11/13          5.890          MC
040401         1925/11/14          10.00          MC
040401         1925/11/15          7.870          MC
040401         1925/11/16          8.580          MC
040401         1925/11/17          8.920          MC
040401         1925/11/18          8.920          MC
040401         1925/11/19          8.210          MC
040401         1925/11/20          7.160          MC
040401         1925/11/21          6.510          MC
040401         1925/11/22          6.510          MC
040401         1925/11/23          6.510          MC
040401         1925/11/24          5.890          MC
040401         1925/11/25          6.200          MC
040401         1925/11/26          6.200          MC
040401         1925/11/27          6.200          MC
040401         1925/11/28          6.850          MC
040401         1925/11/29          6.510          MC
040401         1925/11/30          6.510          MC
040401         1925/12/01          6.850          MC
040401         1925/12/02          7.160          MC
040401         1925/12/03          6.850          MC
040401         1925/12/04          7.160          MC
040401         1925/12/05          8.580          MC
040401         1925/12/06          12.30          MC
040401         1925/12/07          12.30          MC
040401         1925/12/08          15.70          MC
040401         1925/12/09          16.70          MC
040401         1925/12/10          18.10          MC
040401         1925/12/11          20.10          R
040401         1925/12/12          20.10          R
040401         1925/12/13          20.10          R
040401         1925/12/14          20.10          R
040401         1925/12/15          20.10          R
040401         1925/12/16          20.10          R
040401         1925/12/17          20.10          R
040401         1925/12/18          20.10          R
040401         1925/12/19          20.10          R
040401         1925/12/20          20.10          R
040401         1925/12/21          20.10          R
040401         1925/12/22          20.10          R
040401         1925/12/23          20.10          R
040401         1925/12/24          20.10          R
040401         1925/12/25          20.10          R
040401         1925/12/26          20.10          R
040401         1925/12/27          20.10          R
040401         1925/12/28          20.10          R
040401         1925/12/29          20.10          R
040401         1925/12/30          20.10          R
040401         1925/12/31          20.10          R
040401         1926/01/01          17.90          R
040401         1926/01/02          17.90          R
040401         1926/01/03          17.90          R
040401         1926/01/04          17.90          R
040401         1926/01/05          17.90          R
040401         1926/01/06          17.90          R
040401         1926/01/07          17.90          R
040401         1926/01/08          17.90          R
040401         1926/01/09          17.90          R
040401         1926/01/10          17.90          R
040401         1926/01/11          17.90          R
040401         1926/01/12          17.90          R
040401         1926/01/13          17.90          R
040401         1926/01/14          17.90          R
040401         1926/01/15          17.90          R
040401         1926/01/16          17.90          R
040401         1926/01/17          17.90          R
040401         1926/01/18          17.90          R
040401         1926/01/19          17.90          R
040401         1926/01/20          17.90          R
040401         1926/01/21          17.90          R
040401         1926/01/22          17.90          R
040401         1926/01/23          17.90          R
040401         1926/01/24          17.90          R
040401         1926/01/25          17.90          R
040401         1926/01/26          17.90          R
040401         1926/01/27          17.90          R
040401         1926/01/28          17.90          R
040401         1926/01/29          17.90          R
040401         1926/01/30          17.90          R
040401         1926/01/31          17.90          R
040401         1926/02/01          13.10          R
040401         1926/02/02          13.10          R
040401         1926/02/03          13.10          R
040401         1926/02/04          13.10          R
040401         1926/02/05          13.10          R
040401         1926/02/06          13.10          R
040401         1926/02/07          13.10          R
040401         1926/02/08          13.10          R
040401         1926/02/09          13.10          R
040401         1926/02/10          13.10          R
040401         1926/02/11          13.10          R
040401         1926/02/12          13.10          R
040401         1926/02/13          13.10          R
040401         1926/02/14          13.10          R
040401         1926/02/15          13.10          R
040401         1926/02/16          13.10          R
040401         1926/02/17          13.10          R
040401         1926/02/18          13.10          R
040401         1926/02/19          13.10          R
040401         1926/02/20          13.10          R
040401         1926/02/21          13.10          R
040401         1926/02/22          13.10          R
040401         1926/02/23          13.10          R
040401         1926/02/24          13.10          R
040401         1926/02/25          13.10          R
040401         1926/02/26          13.10          R
040401         1926/02/27          13.10          R
040401         1926/02/28          13.10          R
040401         1926/03/01          10.90          R
040401         1926/03/02          10.90          R
040401         1926/03/03          10.90          R
040401         1926/03/04          10.90          R
040401         1926/03/05          10.90          R
040401         1926/03/06          10.90          R
040401         1926/03/07          10.90          R
040401         1926/03/08          10.90          R
040401         1926/03/09          10.90          R
040401         1926/03/10          10.90          R
040401         1926/03/11          10.90          R
040401         1926/03/12          10.90          R
040401         1926/03/13          10.90          R
040401         1926/03/14          10.90          R
040401         1926/03/15          10.90          R
040401         1926/03/16          10.90          R
040401         1926/03/17          10.90          R
040401         1926/03/18          10.90          R
040401         1926/03/19          10.90          R
040401         1926/03/20          10.90          R
040401         1926/03/21          10.90          R
040401         1926/03/22          10.90          R
040401         1926/03/23          10.90          R
040401         1926/03/24          10.90          R
040401         1926/03/25          10.90          R
040401         1926/03/26          10.90          R
040401         1926/03/27          10.90          R
040401         1926/03/28          10.90          R
040401         1926/03/29          10.90          R
040401         1926/03/30          10.90          R
040401         1926/03/31          10.90          R
040401         1926/04/01          11.10          R
040401         1926/04/02          11.10          R
040401         1926/04/03          11.10          R
040401         1926/04/04          11.10          R
040401         1926/04/05          11.10          R
040401         1926/04/06          11.10          R
040401         1926/04/07          11.10          R
040401         1926/04/08          11.10          R
040401         1926/04/09          11.10          R
040401         1926/04/10          11.10          R
040401         1926/04/11          11.10          R
040401         1926/04/12          11.10          R
040401         1926/04/13          11.10          R
040401         1926/04/14          11.10          R
040401         1926/04/15          11.10          R
040401         1926/04/16          11.10          R
040401         1926/04/17          11.10          R
040401         1926/04/18          11.10          R
040401         1926/04/19          11.10          R
040401         1926/04/20          11.10          R
040401         1926/04/21          11.10          R
040401         1926/04/22          11.10          R
040401         1926/04/23          11.10          R
040401         1926/04/24          11.10          R
040401         1926/04/25          11.10          R
040401         1926/04/26          20.70          MC
040401         1926/04/27          23.60          MC
040401         1926/04/28          24.20          MC
040401         1926/04/29          24.90          MC
040401         1926/04/30          25.50          MC
040401         1926/05/01          25.50          MC
040401         1926/05/02          26.80          MC
040401         1926/05/03          30.30          MC
040401         1926/05/04          35.10          MC
040401         1926/05/05          36.00          MC
040401         1926/05/06          38.20          MC
040401         1926/05/07          39.10          MC
040401         1926/05/08          42.50          MC
040401         1926/05/09          44.70          MC
040401         1926/05/10          47.30          MC
040401         1926/05/11          49.00          MC
040401         1926/05/12          49.80          MC
040401         1926/05/13          51.50          MC
040401         1926/05/14          52.40          MC
040401         1926/05/15          53.20          MC
040401         1926/05/16          53.20          MC
040401         1926/05/17          53.20          MC
040401         1926/05/18          53.20          MC
040401         1926/05/19          53.20          MC
040401         1926/05/20          53.20          MC
040401         1926/05/21          52.40          MC
040401         1926/05/22          54.10          MC
040401         1926/05/23          53.20          MC
040401         1926/05/24          50.70          MC
040401         1926/05/25          49.80          MC
040401         1926/05/26          49.00          MC
040401         1926/05/27          48.10          MC
040401         1926/05/28          47.30          MC
040401         1926/05/29          46.40          MC
040401         1926/05/30          45.60          MC
040401         1926/05/31          45.60          MC
040401         1926/06/01          45.60          MC
040401         1926/06/02          45.60          MC
040401         1926/06/03          45.60          MC
040401         1926/06/04          43.90          MC
040401         1926/06/05          41.60          MC
040401         1926/06/06          37.70          MC
040401         1926/06/07          36.80          MC
040401         1926/06/08          38.20          MC
040401         1926/06/09          38.20          MC
040401         1926/06/10          38.20          MC
040401         1926/06/11          37.70          MC
040401         1926/06/12          37.70          MC
040401         1926/06/13          36.80          MC
040401         1926/06/14          36.80          MC
040401         1926/06/15          36.80          MC
040401         1926/06/16          36.00          MC
040401         1926/06/17          35.10          MC
040401         1926/06/18          34.30          MC
040401         1926/06/19          35.10          MC
040401         1926/06/20          34.30          MC
040401         1926/06/21          34.30          MC
040401         1926/06/22          34.30          MC
040401         1926/06/23          32.80          MC
040401         1926/06/24          32.80          MC
040401         1926/06/25          32.00          MC
040401         1926/06/26          31.10          MC
040401         1926/06/27          30.30          MC
040401         1926/06/28          31.10          MC
040401         1926/06/29          30.30          MC
040401         1926/06/30          29.20          MC
040401         1926/07/01          29.20          MC
040401         1926/07/02          28.30          MC
040401         1926/07/03          27.50          MC
040401         1926/07/04          26.80          MC
040401         1926/07/05          27.50          MC
040401         1926/07/06          27.50          MC
040401         1926/07/07          27.50          MC
040401         1926/07/08          27.50          MC
040401         1926/07/09          28.30          MC
040401         1926/07/10          30.30          MC
040401         1926/07/11          30.30          MC
040401         1926/07/12          28.30          MC
040401         1926/07/13          27.50          MC
040401         1926/07/14          27.50          MC
040401         1926/07/15          25.50          MC
040401         1926/07/16          24.90          MC
040401         1926/07/17          24.90          MC
040401         1926/07/18          24.90          MC
040401         1926/07/19          24.20          MC
040401         1926/07/20          24.20          MC
040401         1926/07/21          24.20          MC
040401         1926/07/22          23.60          MC
040401         1926/07/23          23.60          MC
040401         1926/07/24          22.90          MC
040401         1926/07/25          22.90          MC
040401         1926/07/26          22.40          MC
040401         1926/07/27          22.40          MC
040401         1926/07/28          21.80          MC
040401         1926/07/29          21.80          MC
040401         1926/07/30          21.20          MC
040401         1926/07/31          20.70          MC
040401         1926/08/01          20.70          MC
040401         1926/08/02          20.70          MC
040401         1926/08/03          20.70          MC
040401         1926/08/04          20.70          MC
040401         1926/08/05          18.10          MC
040401         1926/08/06          16.20          MC
040401         1926/08/07          16.20          MC
040401         1926/08/08          16.20          MC
040401         1926/08/09          15.70          MC
040401         1926/08/10          15.70          MC
040401         1926/08/11          16.20          MC
040401         1926/08/12          14.80          MC
040401         1926/08/13          16.20          MC
040401         1926/08/14          15.70          MC
040401         1926/08/15          15.70          MC
040401         1926/08/16          15.30          MC
040401         1926/08/17          14.40          MC
040401         1926/08/18          14.40          MC
040401         1926/08/19          13.90          MC
040401         1926/08/20          13.90          MC
040401         1926/08/21          13.90          MC
040401         1926/08/22          13.90          MC
040401         1926/08/23          13.90          MC
040401         1926/08/24          18.60          MC
040401         1926/08/25          18.10          MC
040401         1926/08/26          18.10          MC
040401         1926/08/27          13.10          MC
040401         1926/08/28          12.70          MC
040401         1926/08/29          12.70          MC
040401         1926/08/30          12.30          MC
040401         1926/08/31          12.30          MC
040401         1926/09/01          12.30          MC
040401         1926/09/02          12.30          MC
040401         1926/09/03          11.90          MC
040401         1926/09/04          11.90          MC
040401         1926/09/05          11.90          MC
040401         1926/09/06          12.30          MC
040401         1926/09/07          12.30          MC
040401         1926/09/08          10.80          MC
040401         1926/09/09          10.80          MC
040401         1926/09/10          8.580          MC
040401         1926/09/11          8.920          MC
040401         1926/09/12          8.920          MC
040401         1926/09/13          8.920          MC
040401         1926/09/14          9.290          MC
040401         1926/09/15          9.290          MC
040401         1926/09/16          9.000          MC
040401         1926/09/17          10.50          MC
040401         1926/09/18          10.10          MC
040401         1926/09/19          9.740          MC
040401         1926/09/20          9.370          MC
040401         1926/09/21          9.370          MC
040401         1926/09/22          9.000          MC
040401         1926/09/23          9.370          MC
040401         1926/09/24          10.80          MC
040401         1926/09/25          10.80          MC
040401         1926/09/26          10.50          MC
040401         1926/09/27          10.50          MC
040401         1926/09/28          9.940          MC
040401         1926/09/29          9.000          MC
040401         1926/09/30          9.000          MC
040401         1926/10/01          9.150          E
040401         1926/10/02          9.260          E
040401         1926/10/03          9.400          MC
040401         1926/10/04          9.060          MC
040401         1926/10/05          9.060          MC
040401         1926/10/06          9.060          MC
040401         1926/10/07          9.060          MC
040401         1926/10/08          9.060          MC
040401         1926/10/09          9.060          MC
040401         1926/10/10          9.060          MC
040401         1926/10/11          9.060          MC
040401         1926/10/12          8.410          MC
040401         1926/10/13          8.410          MC
040401         1926/10/14          9.060          MC
040401         1926/10/15          9.060          MC
040401         1926/10/16          8.410          MC
040401         1926/10/17          8.410          MC
040401         1926/10/18          8.410          MC
040401         1926/10/19          8.410          MC
040401         1926/10/20          8.410          MC
040401         1926/10/21          8.410          MC
040401         1926/10/22          8.410          MC
040401         1926/10/23          9.060          MC
040401         1926/10/24          9.060          MC
040401         1926/10/25          10.50          MC
040401         1926/10/26          12.90          MC
040401         1926/10/27          14.60          MC
040401         1926/10/28          10.50          MC
040401         1926/10/29          10.50          MC
040401         1926/10/30          10.50          MC
040401         1926/10/31          10.50          MC
040401         1926/11/01          10.10          MC
040401         1926/11/02          9.770          MC
040401         1926/11/03          9.770          MC
040401         1926/11/04          10.50          MC
040401         1926/11/05          10.50          MC
040401         1926/11/06          10.80          MC
040401         1926/11/07          10.50          MC
040401         1926/11/08          10.50          MC
040401         1926/11/09          9.400          MC
040401         1926/11/10          12.90          MC
040401         1926/11/11          11.20          MC
040401         1926/11/12          11.20          MC
040401         1926/11/13          11.20          MC
040401         1926/11/14          11.20          MC
040401         1926/11/15          11.20          MC
040401         1926/11/16          13.70          MC
040401         1926/11/17          22.90          MC
040401         1926/11/18          18.00          MC
040401         1926/11/19          21.00          MC
040401         1926/11/20          25.20          MC
040401         1926/11/21          31.10          MC
040401         1926/11/22          36.50          MC
040401         1926/11/23          40.50          MC
040401         1926/11/24          42.80          MC
040401         1926/11/25          45.30          MC
040401         1926/11/26          45.30          MC
040401         1926/11/27          53.80          MC
040401         1926/11/28          66.30          MC
040401         1926/11/29          63.10          MC
040401         1926/11/30          60.00          MC
040401         1926/12/01          63.10          MC
040401         1926/12/02          61.40          MC
040401         1926/12/03          60.00          MC
040401         1926/12/04          60.00          MC
040401         1926/12/05          56.90          MC
040401         1926/12/06          56.90          MC
040401         1926/12/07          53.80          MC
040401         1926/12/08          50.70          MC
040401         1926/12/09          47.90          MC
040401         1926/12/10          46.70          MC
040401         1926/12/11          45.30          MC
040401         1926/12/12          44.20          MC
040401         1926/12/13          42.80          MC
040401         1926/12/14          41.60          MC
040401         1926/12/15          40.50          MC
040401         1926/12/16          38.50          MC
040401         1926/12/17          37.40          MC
040401         1926/12/18          36.50          MC
040401         1926/12/19          35.40          MC
