Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1925-08-12
Station:        040405         De la Petite Nation - au pont à Portage-de-la-Nation                                                                                           
Bassin versant: 1990 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 40' 17" // -75° 1' 13"

Date de création du fichier: 2012-06-25 22:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040405         1921/10/01          13.00          MC
040405         1921/10/02          13.60          MC
040405         1921/10/03          12.60          MC
040405         1921/10/04          16.10          MC
040405         1921/10/05          16.10          MC
040405         1921/10/06          15.60          MC
040405         1921/10/07          16.10          MC
040405         1921/10/08          21.50          MC
040405         1921/10/09          19.30          MC
040405         1921/10/10          25.80          MC
040405         1921/10/11          19.30          MC
040405         1921/10/12          18.40          MC
040405         1921/10/13          15.60          MC
040405         1921/10/14          13.60          MC
040405         1921/10/15          13.00          MC
040405         1921/10/16          17.60          MC
040405         1921/10/17          16.70          MC
040405         1921/10/18          15.60          MC
040405         1921/10/19          14.40          MC
040405         1921/10/20          15.00          MC
040405         1921/10/21          17.60          MC
040405         1921/10/22          24.40          MC
040405         1921/10/23          25.80          MC
040405         1921/10/24          20.40          MC
040405         1921/10/25          18.40          MC
040405         1921/10/26          16.70          MC
040405         1921/10/27          16.10          MC
040405         1921/10/28          15.60          MC
040405         1921/10/29          15.00          MC
040405         1921/10/30          14.40          MC
040405         1921/10/31          14.40          MC
040405         1921/11/01          18.40          MC
040405         1921/11/02          17.60          MC
040405         1921/11/03          16.70          MC
040405         1921/11/04          16.70          MC
040405         1921/11/05          17.60          MC
040405         1921/11/06          18.40          MC
040405         1921/11/07          16.10          MC
040405         1921/11/08          16.70          MC
040405         1921/11/09          15.60          MC
040405         1921/11/10          15.60          MC
040405         1921/11/11          15.60          MC
040405         1921/11/12          16.10          MC
040405         1921/11/13          16.70          MC
040405         1921/11/14          16.10          MC
040405         1921/11/15          15.60          MC
040405         1921/11/16          15.60          MC
040405         1921/11/17          15.60          MC
040405         1921/11/18          16.10          MC
040405         1921/11/19          47.30          MC
040405         1921/11/20          73.90          MC
040405         1921/11/21          64.00          MC
040405         1921/11/22          49.00          MC
040405         1921/11/23          39.10          MC
040405         1921/11/24          30.60          MC
040405         1921/11/25          27.50          MC
040405         1921/11/26          28.90          MC
040405         1921/11/27          30.60          MC
040405         1921/11/28          25.80          MC
040405         1921/11/29          24.40          MC
040405         1921/11/30          24.40          MC
040405         1921/12/01          21.50          MC
040405         1921/12/02          20.40          MC
040405         1921/12/03          40.50          MC
040405         1921/12/04          39.10          MC
040405         1921/12/05          32.30          MC
040405         1921/12/06          37.40          MC
040405         1921/12/07          30.60          MC
040405         1921/12/08          25.80          MC
040405         1921/12/09          24.40          MC
040405         1921/12/10          22.90          MC
040405         1921/12/11          21.50          MC
040405         1921/12/12          20.40          MC
040405         1921/12/13          19.30          MC
040405         1921/12/14          19.30          MC
040405         1921/12/15          18.40          MC
040405         1921/12/16          17.60          MC
040405         1921/12/17          17.60          MC
040405         1921/12/18          80.40          MC
040405         1921/12/19          47.30          MC
040405         1921/12/20          47.30          MC
040405         1921/12/21          30.60          MC
040405         1921/12/22          19.80          MC
040405         1921/12/23          17.00          MC
040405         1921/12/24          17.00          MC
040405         1921/12/25          17.00          MC
040405         1921/12/26          17.00          MC
040405         1921/12/27          17.00          MC
040405         1921/12/28          16.20          MC
040405         1921/12/29          16.20          MC
040405         1921/12/30          15.50          MC
040405         1921/12/31          14.90          MC
040405         1922/01/01          14.20          MC
040405         1922/01/02          14.20          MC
040405         1922/01/03          14.20          MC
040405         1922/01/04          14.90          MC
040405         1922/01/05          14.90          MC
040405         1922/01/06          14.90          MC
040405         1922/01/07          14.20          MC
040405         1922/01/08          14.20          MC
040405         1922/01/09          14.20          MC
040405         1922/01/10          13.70          MC
040405         1922/01/11          13.70          MC
040405         1922/01/12          13.70          MC
040405         1922/01/13          13.20          MC
040405         1922/01/14          13.20          MC
040405         1922/01/15          13.20          MC
040405         1922/01/16          13.20          MC
040405         1922/01/17          12.60          MC
040405         1922/01/18          12.60          MC
040405         1922/01/19          12.60          MC
040405         1922/01/20          12.60          MC
040405         1922/01/21          12.10          MC
040405         1922/01/22          12.10          MC
040405         1922/01/23          12.10          MC
040405         1922/01/24          12.10          MC
040405         1922/01/25          12.10          MC
040405         1922/01/26          12.10          MC
040405         1922/01/27          12.10          MC
040405         1922/01/28          11.50          MC
040405         1922/01/29          11.10          MC
040405         1922/01/30          11.10          MC
040405         1922/01/31          11.10          MC
040405         1922/02/01          11.50          MC
040405         1922/02/02          11.50          MC
040405         1922/02/03          11.10          MC
040405         1922/02/04          11.10          MC
040405         1922/02/05          11.50          MC
040405         1922/02/06          11.10          MC
040405         1922/02/07          10.70          MC
040405         1922/02/08          10.70          MC
040405         1922/02/09          10.70          MC
040405         1922/02/10          10.70          MC
040405         1922/02/11          10.70          MC
040405         1922/02/12          10.70          MC
040405         1922/02/13          10.70          MC
040405         1922/02/14          10.70          MC
040405         1922/02/15          10.70          MC
040405         1922/02/16          10.70          MC
040405         1922/02/17          10.20          MC
040405         1922/02/18          10.20          MC
040405         1922/02/19          10.70          MC
040405         1922/02/20          10.70          MC
040405         1922/02/21          10.70          MC
040405         1922/02/22          10.70          MC
040405         1922/02/23          10.70          MC
040405         1922/02/24          10.70          MC
040405         1922/02/25          10.20          MC
040405         1922/02/26          10.20          MC
040405         1922/02/27          10.20          MC
040405         1922/02/28          10.20          MC
040405         1922/03/01          10.20          MC
040405         1922/03/02          10.20          MC
040405         1922/03/03          10.70          MC
040405         1922/03/04          10.70          MC
040405         1922/03/05          10.70          MC
040405         1922/03/06          10.20          MC
040405         1922/03/07          12.60          MC
040405         1922/03/08          15.50          MC
040405         1922/03/09          14.90          MC
040405         1922/03/10          15.50          MC
040405         1922/03/11          16.20          MC
040405         1922/03/12          16.90          MC
040405         1922/03/13          17.60          MC
040405         1922/03/14          21.50          MC
040405         1922/03/15          21.50          MC
040405         1922/03/16          21.50          MC
040405         1922/03/17          20.70          MC
040405         1922/03/18          19.80          MC
040405         1922/03/19          19.00          MC
040405         1922/03/20          18.30          MC
040405         1922/03/21          15.50          MC
040405         1922/03/22          15.50          MC
