Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2006-05-24
Station:        040407         Lac Barrière - au barrage                                                                                                                      
Bassin versant: 1260 km²       Régime: Influencé                                         
Coordonnées:    (NAD83) 45° 52' 36" // -75° 5' 0"
Constante géodésique: 0 m
Date de création du fichier: 2012-06-23 02:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
040407         1974/08/01          198.00         PL
040407         1974/08/02          198.00         PL
040407         1974/08/03          198.00         PL
040407         1974/08/04          198.00         PL
040407         1974/08/05          198.00         PL
040407         1974/08/06          198.00         PL
040407         1974/08/07          198.00         PL
040407         1974/08/08          198.00         PL
040407         1974/08/09          198.00         PL
040407         1974/08/10          198.00         PL
040407         1974/08/11          198.00         PL
040407         1974/08/12          198.00         PL
040407         1974/08/13          197.97         PL
040407         1974/08/14          197.97         PL
040407         1974/08/15          197.97         PL
040407         1974/08/16          197.97         PL
040407         1974/08/17          197.97         PL
040407         1974/08/18          197.97         PL
040407         1974/08/19          197.97         PL
040407         1974/08/20          197.97         PL
040407         1974/08/21          197.96         PL
040407         1974/08/22          197.96         PL
040407         1974/08/23          197.96         PL
040407         1974/08/24          197.96         PL
040407         1974/08/25          197.96         PL
040407         1974/08/26          197.96         PL
040407         1974/08/27          197.96         PL
040407         1974/08/28          197.95         PL
040407         1974/08/29          197.95         PL
040407         1974/08/30          197.95         PL
040407         1974/08/31          197.95         PL
040407         1974/09/01          197.95         PL
040407         1974/09/02          197.95         PL
040407         1974/09/03          197.93         PL
040407         1974/09/04          197.92         PL
040407         1974/09/05          197.90         PL
040407         1974/09/06          197.90         PL
040407         1974/09/07          197.89         PL
040407         1974/09/08          197.89         PL
040407         1974/09/09          197.89         PL
040407         1974/09/10          197.89         PL
040407         1974/09/11          197.89         PL
040407         1974/09/12          197.89         PL
040407         1974/09/13          197.89         PL
040407         1974/09/14          197.89         PL
040407         1974/09/15          197.89         PL
040407         1974/09/16          197.87         PL
040407         1974/09/17          197.85         PL
040407         1974/09/18          197.85         PL
040407         1974/09/19          197.85         PL
040407         1974/09/20          197.85         PL
040407         1974/09/21          197.85         PL
040407         1974/09/22          197.85         PL
040407         1974/09/23          197.85         PL
040407         1974/09/24          197.85         PL
040407         1974/09/25          197.85         PL
040407         1974/09/26          197.82         PL
040407         1974/09/27          197.79         PL
040407         1974/09/28          197.79         PL
040407         1974/09/29          197.79         PL
040407         1974/09/30          197.79         PL
040407         1974/10/01          197.82         PL
040407         1974/10/02          197.82         PL
040407         1974/10/03          197.82         PL
040407         1974/10/04          197.82         PL
040407         1974/10/05          197.82         PL
040407         1974/10/06          197.82         PL
040407         1974/10/07          197.82         PL
040407         1974/10/08          197.83         PL
040407         1974/10/09          197.83         PL
040407         1974/10/10          197.83         PL
040407         1974/10/11          197.83         PL
040407         1974/10/12          197.83         PL
040407         1974/10/13          197.83         PL
040407         1974/10/14          197.83         PL
040407         1974/10/15          197.83         PL
040407         1974/10/16          197.86         PL
040407         1974/10/17          197.86         PL
040407         1974/10/18          197.86         PL
040407         1974/10/19          197.86         PL
040407         1974/10/20          197.86         PL
040407         1974/10/21          197.86         PL
040407         1974/10/22          197.86         PL
040407         1974/10/23          197.86         PL
040407         1974/10/24          197.86         PL
040407         1974/10/25          197.86         PL
040407         1974/10/26          197.86         PL
040407         1974/10/27          197.86         PL
040407         1974/10/28          197.86         PL
040407         1974/10/29          197.86         PL
040407         1974/10/30          197.86         PL
040407         1974/10/31          197.86         PL
040407         1974/11/01          197.86         PL
040407         1974/11/02          197.86         PL
040407         1974/11/03          197.86         PL
040407         1974/11/04          197.89         PL
040407         1974/11/05          197.90         PL
040407         1974/11/06          197.92         PL
040407         1974/11/07          197.92         PL
040407         1974/11/08          197.92         PL
040407         1974/11/09          197.92         PL
040407         1974/11/10          197.92         PL
040407         1974/11/11          197.92         PL
040407         1974/11/12          197.95         PL
040407         1974/11/13          198.01         PL
040407         1974/11/14          198.13         PL
040407         1974/11/15          198.16         PL
040407         1974/11/16          198.16         PL
040407         1974/11/17          198.13         PL
040407         1974/11/18          198.13         PL
040407         1974/11/19          198.16         PL
040407         1974/11/20          198.19         PL
040407         1974/11/21          198.19         PL
040407         1974/11/22          198.19         PL
040407         1974/11/23          198.20         PL
040407         1974/11/24          198.20         PL
040407         1974/11/25          198.20         PL
040407         1974/11/26          198.17         PL
040407         1974/11/27          198.17         PL
040407         1974/11/28          198.14         PL
040407         1974/11/29          198.14         PL
040407         1974/11/30          198.10         PL
040407         1974/12/01          198.10         PL
040407         1974/12/02          198.10         PL
040407         1974/12/03          
040407         1974/12/04          
040407         1974/12/05          
040407         1974/12/06          
040407         1974/12/07          
040407         1974/12/08          
040407         1974/12/09          
040407         1974/12/10          
040407         1974/12/11          
040407         1974/12/12          
040407         1974/12/13          
040407         1974/12/14          198.29         PL
040407         1974/12/15          
040407         1974/12/16          
040407         1974/12/17          
040407         1974/12/18          
040407         1974/12/19          
040407         1974/12/20          
040407         1974/12/21          
040407         1974/12/22          
040407         1974/12/23          
040407         1974/12/24          
040407         1974/12/25          
040407         1974/12/26          
040407         1974/12/27          
040407         1974/12/28          
040407         1974/12/29          
040407         1974/12/30          
040407         1974/12/31          
040407         1975/01/01          
040407         1975/01/02          
040407         1975/01/03          
040407         1975/01/04          
040407         1975/01/05          
040407         1975/01/06          
040407         1975/01/07          
040407         1975/01/08          
040407         1975/01/09          
040407         1975/01/10          
040407         1975/01/11          
040407         1975/01/12          
040407         1975/01/13          
040407         1975/01/14          
040407         1975/01/15          
040407         1975/01/16          
040407         1975/01/17          
040407         1975/01/18          
040407         1975/01/19          
040407         1975/01/20          
040407         1975/01/21          
040407         1975/01/22          
040407         1975/01/23          
040407         1975/01/24          
040407         1975/01/25          
040407         1975/01/26          
040407         1975/01/27          
040407         1975/01/28          
040407         1975/01/29          
040407         1975/01/30          
040407         1975/01/31          
040407         1975/02/01          
040407         1975/02/02          
040407         1975/02/03          
040407         1975/02/04          
040407         1975/02/05          
040407         1975/02/06          
040407         1975/02/07          
040407         1975/02/08          
040407         1975/02/09          
040407         1975/02/10          
040407         1975/02/11          
040407         1975/02/12          
040407         1975/02/13          
040407         1975/02/14          
040407         1975/02/15          
040407         1975/02/16          
040407         1975/02/17          
040407         1975/02/18          
040407         1975/02/19          
040407         1975/02/20          
040407         1975/02/21          
040407         1975/02/22          
040407         1975/02/23          
040407         1975/02/24          
040407         1975/02/25          
040407         1975/02/26          
040407         1975/02/27          
040407         1975/02/28          
040407         1975/03/01          
040407         1975/03/02          
040407         1975/03/03          
040407         1975/03/04          
040407         1975/03/05          
040407         1975/03/06          
040407         1975/03/07          
040407         1975/03/08          
040407         1975/03/09          
040407         1975/03/10          
040407         1975/03/11          
040407         1975/03/12          
040407         1975/03/13          
040407         1975/03/14          
040407         1975/03/15          
040407         1975/03/16          
040407         1975/03/17          
040407         1975/03/18          
040407         1975/03/19          
040407         1975/03/20          
040407         1975/03/21          
040407         1975/03/22          
040407         1975/03/23          
040407         1975/03/24          
040407         1975/03/25          
040407         1975/03/26          
040407         1975/03/27          
040407         1975/03/28          
040407         1975/03/29          
040407         1975/03/30          
040407         1975/03/31          
040407         1975/04/01          
040407         1975/04/02          
040407         1975/04/03          
040407         1975/04/04          
040407         1975/04/05          
040407         1975/04/06          
040407         1975/04/07          
040407         1975/04/08          
040407         1975/04/09          
040407         1975/04/10          
040407         1975/04/11          
040407         1975/04/12          
040407         1975/04/13          
040407         1975/04/14          
040407         1975/04/15          
040407         1975/04/16          
040407         1975/04/17          
040407         1975/04/18          
040407         1975/04/19          
040407         1975/04/20          
040407         1975/04/21          
040407         1975/04/22          
040407         1975/04/23          
040407         1975/04/24          
040407         1975/04/25          
040407         1975/04/26          
040407         1975/04/27          
040407         1975/04/28          
040407         1975/04/29          
040407         1975/04/30          
040407         1975/05/01          
040407         1975/05/02          
040407         1975/05/03          
040407         1975/05/04          
040407         1975/05/05          
040407         1975/05/06          
040407         1975/05/07          
040407         1975/05/08          
040407         1975/05/09          
040407         1975/05/10          
040407         1975/05/11          
040407         1975/05/12          
040407         1975/05/13          
040407         1975/05/14          
040407         1975/05/15          
040407         1975/05/16          
040407         1975/05/17          
040407         1975/05/18          
040407         1975/05/19          
040407         1975/05/20          
040407         1975/05/21          
040407         1975/05/22          
040407         1975/05/23          
040407         1975/05/24          
040407         1975/05/25          
040407         1975/05/26          
040407         1975/05/27          
040407         1975/05/28          
