Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1977-07-05
Station:        040603         Du Lièvre - à 5,5 km en aval de la Kiamika                                                                                                     
Bassin versant: 0 km²          Régime: Influencé                                         
Coordonnées:    (NAD83) 46° 21' 45" // -75° 26' 55"
Constante géodésique: aucune
Date de création du fichier: 2012-06-22 23:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
040603         1941/04/10          17.48          PL
040603         1941/04/11          17.49          PL
040603         1941/04/12          17.63          PL
040603         1941/04/13          17.86          PL
040603         1941/04/14          18.14          PL
040603         1941/04/15          18.36          PL
040603         1941/04/16          18.70          PL
040603         1941/04/17          19.10          PL
040603         1941/04/18          19.29          PL
040603         1941/04/19          19.32          PL
040603         1941/04/20          19.40          PL
040603         1941/04/21          19.71          PL
040603         1941/04/22          20.11          PL
040603         1941/04/23          20.35          PL
040603         1941/04/24          20.31          PL
040603         1941/04/25          20.10          PL
040603         1941/04/26          19.86          PL
040603         1941/04/27          19.68          PL
040603         1941/04/28          19.52          PL
040603         1941/04/29          19.36          PL
040603         1941/04/30          19.28          PL
040603         1941/05/01          19.07          PL
040603         1941/05/02          18.93          PL
040603         1941/05/03          18.80          PL
040603         1941/05/04          18.69          PL
040603         1941/05/05          18.75          PL
040603         1941/05/06          18.69          PL
040603         1941/05/07          18.67          PL
040603         1941/05/08          18.65          PL
040603         1941/05/09          18.64          PL
040603         1941/05/10          18.60          PL
040603         1941/05/11          18.57          PL
040603         1941/05/12          18.58          PL
040603         1941/05/13          18.50          PL
040603         1941/05/14          18.42          PL
040603         1941/05/15          18.43          PL
040603         1941/05/16          18.42          PL
040603         1941/05/17          18.42          PL
040603         1941/05/18          18.41          PL
040603         1941/05/19          18.41          PL
040603         1941/05/20          18.38          PL
040603         1941/05/21          18.42          PL
040603         1941/05/22          18.46          PL
040603         1941/05/23          18.48          PL
040603         1941/05/24          18.45          PL
040603         1941/05/25          18.49          PL
040603         1941/05/26          18.50          PL
040603         1941/05/27          18.52          PL
040603         1941/05/28          18.58          PL
040603         1941/05/29          18.66          PL
040603         1941/05/30          18.72          PL
040603         1941/05/31          18.75          PL
040603         1941/06/01          18.66          PL
040603         1941/06/02          18.62          PL
040603         1941/06/03          18.59          PL
040603         1941/06/04          18.60          PL
040603         1941/06/05          18.60          PL
040603         1941/06/06          18.63          PL
040603         1941/06/07          18.66          PL
040603         1941/06/08          18.67          PL
040603         1941/06/09          18.67          PL
040603         1941/06/10          18.65          PL
040603         1941/06/11          18.65          PL
040603         1941/06/12          18.68          PL
040603         1941/06/13          18.69          PL
040603         1941/06/14          18.68          PL
040603         1941/06/15          18.69          PL
040603         1941/06/16          18.69          PL
040603         1941/06/17          18.70          PL
040603         1941/06/18          18.71          PL
040603         1941/06/19          18.71          PL
040603         1941/06/20          18.71          PL
040603         1941/06/21          18.68          PL
040603         1941/06/22          18.67          PL
040603         1941/06/23          18.66          PL
040603         1941/06/24          18.63          PL
040603         1941/06/25          18.61          PL
040603         1941/06/26          18.59          PL
040603         1941/06/27          18.57          PL
040603         1941/06/28          18.54          PL
040603         1941/06/29          18.53          PL
040603         1941/06/30          18.53          PL
040603         1941/07/01          18.48          PL
040603         1941/07/02          18.51          PL
040603         1941/07/03          18.45          PL
040603         1941/07/04          18.43          PL
040603         1941/07/05          18.42          PL
040603         1941/07/06          18.43          PL
040603         1941/07/07          18.42          PL
040603         1941/07/08          18.40          PL
040603         1941/07/09          18.41          PL
040603         1941/07/10          18.44          PL
040603         1941/07/11          18.51          PL
040603         1941/07/12          18.53          PL
040603         1941/07/13          18.54          PL
040603         1941/07/14          18.56          PL
040603         1941/07/15          18.55          PL
040603         1941/07/16          18.53          PL
040603         1941/07/17          18.53          PL
040603         1941/07/18          18.50          PL
040603         1941/07/19          18.49          PL
040603         1941/07/20          18.50          PL
040603         1941/07/21          18.48          PL
