Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1991-05-24
Station:        040604         Mitchinamecus - à 0,3 km en aval du barrage Mitchinamecus                                                                                      
Bassin versant: 932 km²        Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 47° 12' 58" // -75° 10' 26"

Date de création du fichier: 2012-06-25 06:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040604         1943/10/01          0.280          MC
040604         1943/10/02          0.280          MC
040604         1943/10/03          0.280          MC
040604         1943/10/04          0.280          MC
040604         1943/10/05          0.280          MC
040604         1943/10/06          0.280          MC
040604         1943/10/07          0.280          MC
040604         1943/10/08          0.280          MC
040604         1943/10/09          0.280          MC
040604         1943/10/10          0.280          MC
040604         1943/10/11          0.280          MC
040604         1943/10/12          0.280          MC
040604         1943/10/13          0.280          MC
040604         1943/10/14          0.280          MC
040604         1943/10/15          0.280          MC
040604         1943/10/16          0.280          MC
040604         1943/10/17          0.280          MC
040604         1943/10/18          0.280          MC
040604         1943/10/19          0.280          MC
040604         1943/10/20          0.280          MC
040604         1943/10/21          0.280          MC
040604         1943/10/22          0.280          MC
040604         1943/10/23          0.280          MC
040604         1943/10/24          0.280          MC
040604         1943/10/25          0.280          MC
040604         1943/10/26          0.280          MC
040604         1943/10/27          0.280          MC
040604         1943/10/28          0.280          MC
040604         1943/10/29          0.280          MC
040604         1943/10/30          0.280          MC
040604         1943/10/31          0.280          MC
040604         1943/11/01          0.280          MC
040604         1943/11/02          0.280          MC
040604         1943/11/03          0.280          MC
040604         1943/11/04          0.280          MC
040604         1943/11/05          0.280          MC
040604         1943/11/06          0.280          MC
040604         1943/11/07          0.280          MC
040604         1943/11/08          0.280          MC
040604         1943/11/09          0.280          MC
040604         1943/11/10          0.280          MC
040604         1943/11/11          0.280          MC
040604         1943/11/12          0.280          MC
040604         1943/11/13          0.280          MC
040604         1943/11/14          0.280          MC
040604         1943/11/15          0.280          MC
040604         1943/11/16          0.280          MC
040604         1943/11/17          0.280          MC
040604         1943/11/18          0.280          MC
040604         1943/11/19          0.280          MC
040604         1943/11/20          0.280          MC
040604         1943/11/21          0.280          MC
040604         1943/11/22          0.280          MC
040604         1943/11/23          0.280          MC
040604         1943/11/24          0.280          MC
040604         1943/11/25          0.280          MC
040604         1943/11/26          0.280          MC
040604         1943/11/27          0.280          MC
