Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1976-12-08
Station:        040606         Du Lièvre - au pont-route 309 à Notre-Dame-du-Laus                                                                                             
Bassin versant: 0 km²          Régime: Influencé                                         
Coordonnées:    (NAD83) 46° 5' 16" // -75° 37' 22"
Constante géodésique: 182.88 m
Date de création du fichier: 2012-06-22 23:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
040606         1965/01/01          6.87           PL
040606         1965/01/02          6.93           PL
040606         1965/01/03          6.96           PL
040606         1965/01/04          6.93           PL
040606         1965/01/05          6.90           PL
040606         1965/01/06          6.84           PL
040606         1965/01/07          6.78           PL
040606         1965/01/08          6.69           PL
040606         1965/01/09          6.69           PL
040606         1965/01/10          6.90           PL
040606         1965/01/11          6.90           PL
040606         1965/01/12          6.81           PL
040606         1965/01/13          6.75           PL
040606         1965/01/14          6.75           PL
040606         1965/01/15          6.72           PL
040606         1965/01/16          6.69           PL
040606         1965/01/17          6.90           PL
040606         1965/01/18          6.96           PL
040606         1965/01/19          6.93           PL
040606         1965/01/20          6.90           PL
040606         1965/01/21          6.87           PL
040606         1965/01/22          6.84           PL
040606         1965/01/23          6.81           PL
040606         1965/01/24          6.96           PL
040606         1965/01/25          7.05           PL
040606         1965/01/26          6.99           PL
040606         1965/01/27          6.96           PL
040606         1965/01/28          6.90           PL
040606         1965/01/29          6.84           PL
040606         1965/01/30          6.78           PL
040606         1965/01/31          6.99           PL
040606         1965/02/01          6.99           PL
040606         1965/02/02          6.96           PL
040606         1965/02/03          6.90           PL
040606         1965/02/04          6.84           PL
040606         1965/02/05          6.78           PL
040606         1965/02/06          6.75           PL
040606         1965/02/07          6.90           PL
040606         1965/02/08          
040606         1965/02/09          
040606         1965/02/10          
040606         1965/02/11          6.84           PL
040606         1965/02/12          
040606         1965/02/13          6.87           PL
040606         1965/02/14          6.99           PL
040606         1965/02/15          6.99           PL
040606         1965/02/16          6.96           PL
040606         1965/02/17          6.90           PL
040606         1965/02/18          6.84           PL
040606         1965/02/19          6.78           PL
040606         1965/02/20          6.72           PL
040606         1965/02/21          6.90           PL
040606         1965/02/22          6.99           PL
040606         1965/02/23          6.93           PL
040606         1965/02/24          6.87           PL
040606         1965/02/25          6.81           PL
040606         1965/02/26          6.78           PL
040606         1965/02/27          6.72           PL
040606         1965/02/28          6.93           PL
040606         1965/03/01          6.99           PL
040606         1965/03/02          6.93           PL
040606         1965/03/03          6.90           PL
040606         1965/03/04          6.87           PL
040606         1965/03/05          6.81           PL
040606         1965/03/06          6.75           PL
040606         1965/03/07          6.90           PL
040606         1965/03/08          7.02           PL
040606         1965/03/09          6.99           PL
040606         1965/03/10          6.96           PL
040606         1965/03/11          6.90           PL
040606         1965/03/12          6.84           PL
040606         1965/03/13          6.81           PL
040606         1965/03/14          6.99           PL
040606         1965/03/15          7.05           PL
040606         1965/03/16          6.96           PL
040606         1965/03/17          6.84           PL
040606         1965/03/18          6.75           PL
040606         1965/03/19          6.63           PL
040606         1965/03/20          6.47           PL
040606         1965/03/21          6.63           PL
040606         1965/03/22          6.63           PL
040606         1965/03/23          6.54           PL
040606         1965/03/24          6.51           PL
040606         1965/03/25          6.44           PL
040606         1965/03/26          6.44           PL
040606         1965/03/27          6.41           PL
040606         1965/03/28          6.54           PL
040606         1965/03/29          6.60           PL
040606         1965/03/30          6.57           PL
040606         1965/03/31          
040606         1965/04/01          6.47           PL
040606         1965/04/02          6.44           PL
040606         1965/04/03          6.44           PL
040606         1965/04/04          6.57           PL
040606         1965/04/05          6.66           PL
040606         1965/04/06          6.63           PL
040606         1965/04/07          6.66           PL
040606         1965/04/08          6.69           PL
040606         1965/04/09          6.51           PL
040606         1965/04/10          6.38           PL
040606         1965/04/11          6.54           PL
040606         1965/04/12          6.47           PL
040606         1965/04/13          6.44           PL
040606         1965/04/14          6.47           PL
040606         1965/04/15          6.54           PL
040606         1965/04/16          6.44           PL
040606         1965/04/17          6.44           PL
040606         1965/04/18          6.54           PL
040606         1965/04/19          6.60           PL
040606         1965/04/20          6.54           PL
040606         1965/04/21          6.41           PL
040606         1965/04/22          6.32           PL
040606         1965/04/23          6.20           PL
040606         1965/04/24          6.23           PL
040606         1965/04/25          6.35           PL
040606         1965/04/26          6.51           PL
040606         1965/04/27          6.47           PL
040606         1965/04/28          6.44           PL
040606         1965/04/29          6.44           PL
040606         1965/04/30          6.47           PL
040606         1965/05/01          6.41           PL
040606         1965/05/02          6.51           PL
040606         1965/05/03          6.66           PL
040606         1965/05/04          6.54           PL
040606         1965/05/05          6.44           PL
040606         1965/05/06          6.32           PL
040606         1965/05/07          6.20           PL
040606         1965/05/08          6.08           PL
