Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1966-12-31
Station:        040610         De la Loutre - au réservoir Mitchinamecus                                                                                                      
Bassin versant: 932 km²        Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 47° 12' 0" // -75° 7' 59"
Constante géodésique: aucune
Date de création du fichier: 2012-06-22 23:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
040610         1963/01/01          38.01          PL
040610         1963/01/02          37.98          PL
040610         1963/01/03          37.89          PL
040610         1963/01/04          37.86          PL
040610         1963/01/05          37.83          PL
040610         1963/01/06          37.76          PL
040610         1963/01/07          37.73          PL
040610         1963/01/08          37.67          PL
040610         1963/01/09          37.61          PL
040610         1963/01/10          37.58          PL
040610         1963/01/11          37.55          PL
040610         1963/01/12          37.49          PL
040610         1963/01/13          37.43          PL
040610         1963/01/14          37.40          PL
040610         1963/01/15          37.34          PL
040610         1963/01/16          37.28          PL
040610         1963/01/17          37.22          PL
040610         1963/01/18          37.19          PL
040610         1963/01/19          37.12          PL
040610         1963/01/20          37.06          PL
040610         1963/01/21          37.00          PL
040610         1963/01/22          36.94          PL
040610         1963/01/23          36.91          PL
040610         1963/01/24          36.82          PL
040610         1963/01/25          36.73          PL
040610         1963/01/26          36.64          PL
040610         1963/01/27          36.55          PL
040610         1963/01/28          36.45          PL
040610         1963/01/29          36.36          PL
040610         1963/01/30          36.27          PL
040610         1963/01/31          36.18          PL
040610         1963/02/01          36.09          PL
040610         1963/02/02          36.03          PL
040610         1963/02/03          35.97          PL
040610         1963/02/04          35.87          PL
040610         1963/02/05          35.81          PL
040610         1963/02/06          35.75          PL
040610         1963/02/07          35.66          PL
040610         1963/02/08          35.57          PL
040610         1963/02/09          33.99          PL
040610         1963/02/10          33.31          PL
040610         1963/02/11          32.80          PL
040610         1963/02/12          32.40          PL
040610         1963/02/13          31.82          PL
040610         1963/02/14          31.36          PL
040610         1963/02/15          30.72          PL
040610         1963/02/16          30.42          PL
040610         1963/02/17          30.08          PL
040610         1963/02/18          29.69          PL
040610         1963/02/19          29.29          PL
040610         1963/02/20          28.96          PL
040610         1963/02/21          28.96          PL
040610         1963/02/22          28.96          PL
040610         1963/02/23          28.96          PL
040610         1963/02/24          28.96          PL
040610         1963/02/25          28.96          PL
040610         1963/02/26          28.96          PL
040610         1963/02/27          28.96          PL
040610         1963/02/28          28.90          PL
040610         1963/03/01          28.83          PL
040610         1963/03/02          28.83          PL
040610         1963/03/03          28.83          PL
040610         1963/03/04          28.83          PL
040610         1963/03/05          28.83          PL
040610         1963/03/06          28.83          PL
040610         1963/03/07          28.83          PL
040610         1963/03/08          28.83          PL
040610         1963/03/09          28.83          PL
040610         1963/03/10          28.83          PL
040610         1963/03/11          28.83          PL
040610         1963/03/12          28.83          PL
040610         1963/03/13          28.83          PL
040610         1963/03/14          28.83          PL
040610         1963/03/15          28.83          PL
040610         1963/03/16          28.83          PL
040610         1963/03/17          28.80          PL
040610         1963/03/18          28.77          PL
040610         1963/03/19          28.77          PL
040610         1963/03/20          28.74          PL
040610         1963/03/21          28.68          PL
040610         1963/03/22          28.62          PL
040610         1963/03/23          28.53          PL
040610         1963/03/24          28.44          PL
040610         1963/03/25          28.35          PL
040610         1963/03/26          28.32          PL
040610         1963/03/27          28.32          PL
040610         1963/03/28          28.29          PL
040610         1963/03/29          28.22          PL
040610         1963/03/30          28.29          PL
040610         1963/03/31          28.38          PL
040610         1963/04/01          28.38          PL
040610         1963/04/02          28.71          PL
040610         1963/04/03          29.20          PL
040610         1963/04/04          29.90          PL
040610         1963/04/05          30.36          PL
040610         1963/04/06          30.72          PL
040610         1963/04/07          31.12          PL
040610         1963/04/08          31.46          PL
040610         1963/04/09          31.79          PL
040610         1963/04/10          32.00          PL
040610         1963/04/11          32.25          PL
040610         1963/04/12          32.43          PL
040610         1963/04/13          32.74          PL
040610         1963/04/14          32.98          PL
040610         1963/04/15          33.22          PL
040610         1963/04/16          33.56          PL
040610         1963/04/17          33.89          PL
040610         1963/04/18          34.20          PL
040610         1963/04/19          34.53          PL
040610         1963/04/20          34.81          PL
040610         1963/04/21          35.05          PL
040610         1963/04/22          35.14          PL
040610         1963/04/23          35.23          PL
040610         1963/04/24          35.30          PL
040610         1963/04/25          35.36          PL
040610         1963/04/26          35.42          PL
040610         1963/04/27          35.42          PL
040610         1963/04/28          35.45          PL
040610         1963/04/29          35.45          PL
040610         1963/04/30          35.48          PL
040610         1963/05/01          33.99          PL
040610         1963/05/02          34.17          PL
040610         1963/05/03          34.35          PL
040610         1963/05/04          34.56          PL
040610         1963/05/05          34.81          PL
040610         1963/05/06          34.96          PL
040610         1963/05/07          35.14          PL
040610         1963/05/08          35.30          PL
040610         1963/05/09          35.48          PL
040610         1963/05/10          35.63          PL
040610         1963/05/11          35.77          PL
040610         1963/05/12          35.87          PL
040610         1963/05/13          35.94          PL
040610         1963/05/14          36.00          PL
040610         1963/05/15          36.07          PL
040610         1963/05/16          36.12          PL
040610         1963/05/17          36.20          PL
040610         1963/05/18          36.23          PL
040610         1963/05/19          36.27          PL
040610         1963/05/20          36.35          PL
040610         1963/05/21          36.41          PL
040610         1963/05/22          36.47          PL
040610         1963/05/23          36.53          PL
040610         1963/05/24          36.61          PL
040610         1963/05/25          36.61          PL
040610         1963/05/26          36.65          PL
040610         1963/05/27          36.70          PL
040610         1963/05/28          36.73          PL
040610         1963/05/29          36.79          PL
040610         1963/05/30          36.80          PL
040610         1963/05/31          36.84          PL
040610         1963/06/01          36.87          PL
040610         1963/06/02          36.88          PL
040610         1963/06/03          36.91          PL
040610         1963/06/04          36.93          PL
040610         1963/06/05          36.96          PL
040610         1963/06/06          36.96          PL
040610         1963/06/07          36.99          PL
040610         1963/06/08          37.00          PL
040610         1963/06/09          37.05          PL
040610         1963/06/10          37.06          PL
040610         1963/06/11          37.08          PL
040610         1963/06/12          37.09          PL
040610         1963/06/13          37.11          PL
040610         1963/06/14          37.12          PL
040610         1963/06/15          37.14          PL
040610         1963/06/16          37.17          PL
040610         1963/06/17          37.19          PL
040610         1963/06/18          37.20          PL
040610         1963/06/19          37.22          PL
040610         1963/06/20          37.20          PL
040610         1963/06/21          37.20          PL
040610         1963/06/22          37.22          PL
040610         1963/06/23          37.23          PL
040610         1963/06/24          37.25          PL
040610         1963/06/25          37.25          PL
040610         1963/06/26          37.25          PL
040610         1963/06/27          37.26          PL
040610         1963/06/28          37.26          PL
040610         1963/06/29          37.25          PL
040610         1963/06/30          37.22          PL
040610         1963/07/01          37.22          PL
040610         1963/07/02          37.22          PL
040610         1963/07/03          37.22          PL
040610         1963/07/04          37.20          PL
040610         1963/07/05          37.20          PL
040610         1963/07/06          37.19          PL
040610         1963/07/07          37.16          PL
040610         1963/07/08          37.16          PL
040610         1963/07/09          37.20          PL
040610         1963/07/10          37.20          PL
040610         1963/07/11          37.20          PL
040610         1963/07/12          37.22          PL
040610         1963/07/13          37.22          PL
040610         1963/07/14          37.23          PL
040610         1963/07/15          37.23          PL
040610         1963/07/16          37.25          PL
040610         1963/07/17          37.26          PL
040610         1963/07/18          37.28          PL
040610         1963/07/19          37.28          PL
040610         1963/07/20          37.29          PL
040610         1963/07/21          37.31          PL
040610         1963/07/22          37.32          PL
040610         1963/07/23          37.34          PL
040610         1963/07/24          37.35          PL
040610         1963/07/25          37.35          PL
040610         1963/07/26          37.38          PL
040610         1963/07/27          37.40          PL
040610         1963/07/28          37.41          PL
040610         1963/07/29          37.43          PL
040610         1963/07/30          37.44          PL
040610         1963/07/31          37.46          PL
040610         1963/08/01          37.46          PL
040610         1963/08/02          37.48          PL
040610         1963/08/03          37.49          PL
040610         1963/08/04          37.49          PL
040610         1963/08/05          37.51          PL
040610         1963/08/06          37.51          PL
040610         1963/08/07          37.51          PL
040610         1963/08/08          37.51          PL
040610         1963/08/09          37.52          PL
040610         1963/08/10          37.54          PL
040610         1963/08/11          37.55          PL
040610         1963/08/12          37.57          PL
040610         1963/08/13          37.60          PL
040610         1963/08/14          37.61          PL
040610         1963/08/15          37.63          PL
040610         1963/08/16          37.64          PL
040610         1963/08/17          37.66          PL
040610         1963/08/18          37.67          PL
040610         1963/08/19          37.69          PL
040610         1963/08/20          37.70          PL
