Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1966-04-20
Station:        040611         Lac des Îles - au lac des Îles à Mont-Laurier                                                                                                  
Bassin versant: 0 km²          Régime: Influencé                                         
Coordonnées:    (NAD83) 46° 29' 16" // -75° 32' 34"
Constante géodésique: 182.88 m
Date de création du fichier: 2012-06-22 23:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
040611         1962/08/10          24.72          PL
040611         1962/08/11          24.72          PL
040611         1962/08/12          24.72          PL
040611         1962/08/13          24.72          PL
040611         1962/08/14          24.73          PL
040611         1962/08/15          24.73          PL
040611         1962/08/16          24.73          PL
040611         1962/08/17          24.72          PL
040611         1962/08/18          24.73          PL
040611         1962/08/19          24.72          PL
040611         1962/08/20          24.72          PL
040611         1962/08/21          24.72          PL
040611         1962/08/22          24.72          PL
040611         1962/08/23          24.72          PL
040611         1962/08/24          24.72          PL
040611         1962/08/25          24.72          PL
040611         1962/08/26          24.72          PL
040611         1962/08/27          24.72          PL
040611         1962/08/28          24.71          PL
040611         1962/08/29          24.72          PL
040611         1962/08/30          24.71          PL
040611         1962/08/31          24.72          PL
040611         1962/09/01          24.73          PL
040611         1962/09/02          24.72          PL
040611         1962/09/03          24.71          PL
040611         1962/09/04          24.71          PL
040611         1962/09/05          24.71          PL
040611         1962/09/06          24.71          PL
040611         1962/09/07          24.70          PL
040611         1962/09/08          24.69          PL
040611         1962/09/09          24.69          PL
040611         1962/09/10          24.73          PL
040611         1962/09/11          24.83          PL
040611         1962/09/12          24.84          PL
040611         1962/09/13          24.85          PL
040611         1962/09/14          24.85          PL
040611         1962/09/15          24.85          PL
040611         1962/09/16          24.84          PL
040611         1962/09/17          24.85          PL
040611         1962/09/18          24.86          PL
040611         1962/09/19          24.86          PL
040611         1962/09/20          24.86          PL
040611         1962/09/21          24.85          PL
040611         1962/09/22          24.86          PL
040611         1962/09/23          24.85          PL
040611         1962/09/24          24.85          PL
040611         1962/09/25          24.85          PL
040611         1962/09/26          24.85          PL
040611         1962/09/27          24.85          PL
040611         1962/09/28          24.84          PL
040611         1962/09/29          24.85          PL
040611         1962/09/30          24.85          PL
040611         1962/10/01          24.86          PL
040611         1962/10/02          24.86          PL
040611         1962/10/03          24.85          PL
040611         1962/10/04          24.85          PL
040611         1962/10/05          24.85          PL
040611         1962/10/06          24.85          PL
040611         1962/10/07          24.84          PL
040611         1962/10/08          24.84          PL
040611         1962/10/09          24.84          PL
040611         1962/10/10          24.85          PL
040611         1962/10/11          24.85          PL
040611         1962/10/12          24.85          PL
040611         1962/10/13          24.85          PL
040611         1962/10/14          24.86          PL
040611         1962/10/15          24.86          PL
040611         1962/10/16          24.86          PL
040611         1962/10/17          24.87          PL
040611         1962/10/18          24.87          PL
040611         1962/10/19          24.87          PL
040611         1962/10/20          24.86          PL
040611         1962/10/21          24.86          PL
040611         1962/10/22          24.86          PL
040611         1962/10/23          24.86          PL
040611         1962/10/24          24.88          PL
040611         1962/10/25          24.88          PL
040611         1962/10/26          24.87          PL
040611         1962/10/27          24.87          PL
040611         1962/10/28          24.87          PL
040611         1962/10/29          24.85          PL
040611         1962/10/30          24.87          PL
040611         1962/10/31          24.88          PL
040611         1962/11/01          24.88          PL
040611         1962/11/02          24.88          PL
040611         1962/11/03          24.87          PL
040611         1962/11/04          24.89          PL
040611         1962/11/05          24.88          PL
040611         1962/11/06          24.87          PL
040611         1962/11/07          24.87          PL
040611         1962/11/08          24.87          PL
040611         1962/11/09          24.87          PL
040611         1962/11/10          24.88          PL
040611         1962/11/11          24.91          PL
040611         1962/11/12          24.92          PL
040611         1962/11/13          24.93          PL
040611         1962/11/14          24.93          PL
040611         1962/11/15          24.93          PL
040611         1962/11/16          24.92          PL
040611         1962/11/17          24.92          PL
040611         1962/11/18          24.93          PL
040611         1962/11/19          24.93          PL
040611         1962/11/20          24.93          PL
040611         1962/11/21          24.94          PL
040611         1962/11/22          24.94          PL
040611         1962/11/23          24.94          PL
040611         1962/11/24          24.94          PL
040611         1962/11/25          24.94          PL
040611         1962/11/26          24.94          PL
040611         1962/11/27          24.93          PL
040611         1962/11/28          24.93          PL
040611         1962/11/29          24.92          PL
040611         1962/11/30          24.92          PL
040611         1962/12/01          24.92          PL
040611         1962/12/02          24.92          PL
040611         1962/12/03          24.92          PL
040611         1962/12/04          24.92          PL
040611         1962/12/05          24.92          PL
040611         1962/12/06          24.92          PL
040611         1962/12/07          24.93          PL
040611         1962/12/08          24.94          PL
040611         1962/12/09          24.94          PL
040611         1962/12/10          24.95          PL
040611         1962/12/11          24.95          PL
040611         1962/12/12          
040611         1962/12/13          24.96          PL
040611         1962/12/14          24.97          PL
040611         1962/12/15          24.97          PL
040611         1962/12/16          24.97          PL
040611         1962/12/17          24.97          PL
040611         1962/12/18          24.97          PL
040611         1962/12/19          24.98          PL
040611         1962/12/20          24.98          PL
040611         1962/12/21          24.98          PL
040611         1962/12/22          24.98          PL
040611         1962/12/23          24.98          PL
040611         1962/12/24          24.98          PL
040611         1962/12/25          24.98          PL
040611         1962/12/26          24.99          PL
040611         1962/12/27          24.99          PL
040611         1962/12/28          24.98          PL
040611         1962/12/29          24.99          PL
040611         1962/12/30          25.00          PL
040611         1962/12/31          25.00          PL
040611         1963/01/01          25.00          PL
040611         1963/01/02          25.00          PL
040611         1963/01/03          25.00          PL
040611         1963/01/04          25.00          PL
040611         1963/01/05          24.99          PL
040611         1963/01/06          24.99          PL
040611         1963/01/07          24.99          PL
040611         1963/01/08          24.99          PL
040611         1963/01/09          24.98          PL
040611         1963/01/10          24.98          PL
040611         1963/01/11          24.99          PL
040611         1963/01/12          24.98          PL
040611         1963/01/13          24.98          PL
040611         1963/01/14          24.98          PL
040611         1963/01/15          24.98          PL
040611         1963/01/16          24.97          PL
040611         1963/01/17          24.97          PL
040611         1963/01/18          24.97          PL
040611         1963/01/19          24.97          PL
040611         1963/01/20          24.97          PL
040611         1963/01/21          24.98          PL
040611         1963/01/22          24.98          PL
040611         1963/01/23          24.97          PL
040611         1963/01/24          24.97          PL
040611         1963/01/25          24.97          PL
040611         1963/01/26          24.96          PL
040611         1963/01/27          24.96          PL
040611         1963/01/28          24.96          PL
040611         1963/01/29          24.96          PL
040611         1963/01/30          24.96          PL
040611         1963/01/31          24.96          PL
040611         1963/02/01          24.95          PL
040611         1963/02/02          24.94          PL
040611         1963/02/03          24.96          PL
040611         1963/02/04          24.96          PL
040611         1963/02/05          24.96          PL
040611         1963/02/06          24.96          PL
040611         1963/02/07          24.95          PL
040611         1963/02/08          24.95          PL
040611         1963/02/09          24.95          PL
040611         1963/02/10          24.95          PL
040611         1963/02/11          24.94          PL
040611         1963/02/12          24.94          PL
040611         1963/02/13          24.94          PL
040611         1963/02/14          24.94          PL
040611         1963/02/15          24.93          PL
040611         1963/02/16          24.93          PL
040611         1963/02/17          24.93          PL
040611         1963/02/18          24.93          PL
040611         1963/02/19          24.93          PL
040611         1963/02/20          24.93          PL
040611         1963/02/21          24.92          PL
040611         1963/02/22          24.92          PL
040611         1963/02/23          24.92          PL
040611         1963/02/24          24.92          PL
040611         1963/02/25          24.92          PL
040611         1963/02/26          24.91          PL
040611         1963/02/27          24.91          PL
040611         1963/02/28          24.90          PL
040611         1963/03/01          24.90          PL
040611         1963/03/02          24.90          PL
040611         1963/03/03          24.89          PL
040611         1963/03/04          24.89          PL
040611         1963/03/05          24.89          PL
040611         1963/03/06          24.89          PL
040611         1963/03/07          24.90          PL
040611         1963/03/08          24.89          PL
040611         1963/03/09          24.89          PL
040611         1963/03/10          24.89          PL
040611         1963/03/11          24.88          PL
040611         1963/03/12          24.88          PL
040611         1963/03/13          24.88          PL
040611         1963/03/14          24.88          PL
040611         1963/03/15          24.87          PL
040611         1963/03/16          24.88          PL
040611         1963/03/17          24.88          PL
040611         1963/03/18          24.89          PL
040611         1963/03/19          24.88          PL
040611         1963/03/20          24.88          PL
040611         1963/03/21          24.88          PL
040611         1963/03/22          24.88          PL
040611         1963/03/23          24.88          PL
040611         1963/03/24          24.87          PL
040611         1963/03/25          24.88          PL
040611         1963/03/26          24.88          PL
040611         1963/03/27          24.89          PL
040611         1963/03/28          24.88          PL
040611         1963/03/29          24.88          PL
040611         1963/03/30          24.88          PL
040611         1963/03/31          24.89          PL
040611         1963/04/01          24.89          PL
040611         1963/04/02          24.94          PL
040611         1963/04/03          24.97          PL
040611         1963/04/04          24.99          PL
040611         1963/04/05          25.00          PL
040611         1963/04/06          25.01          PL
040611         1963/04/07          25.01          PL
040611         1963/04/08          25.01          PL
040611         1963/04/09          25.00          PL
040611         1963/04/10          24.99          PL
040611         1963/04/11          24.99          PL
040611         1963/04/12          25.00          PL
040611         1963/04/13          25.01          PL
040611         1963/04/14          25.01          PL
040611         1963/04/15          25.02          PL
040611         1963/04/16          25.03          PL
040611         1963/04/17          25.05          PL
040611         1963/04/18          25.06          PL
040611         1963/04/19          25.08          PL
040611         1963/04/20          25.11          PL
040611         1963/04/21          25.12          PL
040611         1963/04/22          25.12          PL
040611         1963/04/23          25.12          PL
040611         1963/04/24          25.12          PL
040611         1963/04/25          25.11          PL
040611         1963/04/26          25.10          PL
040611         1963/04/27          25.07          PL
040611         1963/04/28          25.05          PL
040611         1963/04/29          25.04          PL
