Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1958-01-31
Station:        040618         Du Lièvre - à l'écluse de Poupore                                                                                                              
Bassin versant: 9350 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 45° 42' 30" // -75° 32' 40"

Date de création du fichier: 2012-06-25 06:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040618         1925/10/01          78.70          MC
040618         1925/10/02          84.10          MC
040618         1925/10/03          89.80          MC
040618         1925/10/04          89.80          MC
040618         1925/10/05          89.80          MC
040618         1925/10/06          89.80          MC
040618         1925/10/07          89.80          MC
040618         1925/10/08          89.80          MC
040618         1925/10/09          84.10          MC
040618         1925/10/10          84.10          MC
040618         1925/10/11          84.10          MC
040618         1925/10/12          89.80          MC
040618         1925/10/13          95.10          MC
040618         1925/10/14          89.80          MC
040618         1925/10/15          84.10          MC
040618         1925/10/16          78.70          MC
040618         1925/10/17          78.70          MC
040618         1925/10/18          73.10          MC
040618         1925/10/19          73.10          MC
040618         1925/10/20          73.10          MC
040618         1925/10/21          78.70          MC
040618         1925/10/22          78.70          MC
040618         1925/10/23          84.10          MC
040618         1925/10/24          84.10          MC
040618         1925/10/25          78.70          MC
040618         1925/10/26          78.70          MC
040618         1925/10/27          78.70          MC
040618         1925/10/28          84.10          MC
040618         1925/10/29          89.80          MC
040618         1925/10/30          84.10          MC
040618         1925/10/31          84.10          MC
040618         1925/11/01          78.70          MC
040618         1925/11/02          84.10          MC
040618         1925/11/03          84.10          MC
040618         1925/11/04          84.10          MC
040618         1925/11/05          84.10          MC
040618         1925/11/06          84.10          MC
040618         1925/11/07          84.10          MC
040618         1925/11/08          89.80          MC
040618         1925/11/09          89.80          MC
040618         1925/11/10          98.00          MC
040618         1925/11/11          106.0          MC
040618         1925/11/12          115.0          MC
040618         1925/11/13          128.0          MC
040618         1925/11/14          137.0          MC
040618         1925/11/15          156.0          MC
040618         1925/11/16          196.0          MC
040618         1925/11/17          239.0          MC
040618         1925/11/18          232.0          MC
040618         1925/11/19          239.0          MC
040618         1925/11/20          254.0          MC
040618         1925/11/21          239.0          MC
040618         1925/11/22          246.0          MC
040618         1925/11/23          242.0          MC
040618         1925/11/24          225.0          MC
040618         1925/11/25          203.0          MC
040618         1925/11/26          193.0          MC
040618         1925/11/27          182.0          MC
040618         1925/11/28          172.0          MC
040618         1925/11/29          156.0          MC
040618         1925/11/30          150.0          MC
040618         1925/12/01          137.0          MC
040618         1925/12/02          131.0          MC
040618         1925/12/03          125.0          MC
040618         1925/12/04          137.0          MC
040618         1925/12/05          140.0          MC
040618         1925/12/06          153.0          MC
040618         1925/12/07          172.0          MC
040618         1925/12/08          200.0          MC
040618         1925/12/09          221.0          MC
040618         1925/12/10          232.0          MC
040618         1925/12/11          221.0          MC
040618         1925/12/12          203.0          MC
040618         1925/12/13          203.0          MC
040618         1925/12/14          200.0          MC
040618         1925/12/15          189.0          MC
040618         1925/12/16          182.0          MC
040618         1925/12/17          175.0          MC
040618         1925/12/18          172.0          MC
