Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        040619         Mitchinamecus - à la tête de la chute Rascas                                                                                                   
Bassin versant: 1053 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 47° 11' 4" // -75° 8' 51"

Date de création du fichier: 2019-11-28 21:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040619         1977/10/01          1.630          MC
040619         1977/10/02          1.630          MC
040619         1977/10/03          1.630          MC
040619         1977/10/04          1.810          MC
040619         1977/10/05          1.960          MC
040619         1977/10/06          1.810          MC
040619         1977/10/07          1.700          MC
040619         1977/10/08          1.690          MC
040619         1977/10/09          2.130          MC
040619         1977/10/10          3.470          MC
040619         1977/10/11          3.090          MC
040619         1977/10/12          2.960          MC
040619         1977/10/13          2.650          MC
040619         1977/10/14          2.500          MC
040619         1977/10/15          2.470          MC
040619         1977/10/16          2.430          MC
040619         1977/10/17          2.430          MC
040619         1977/10/18          2.390          MC
040619         1977/10/19          11.00          MC
040619         1977/10/20          44.30          MC
040619         1977/10/21          45.90          MC
040619         1977/10/22          45.90          MC
040619         1977/10/23          45.60          MC
040619         1977/10/24          53.40          MC
040619         1977/10/25          65.60          MC
040619         1977/10/26          65.30          MC
040619         1977/10/27          64.40          MC
040619         1977/10/28          42.40          MC
040619         1977/10/29          4.080          MC
040619         1977/10/30          2.230          MC
040619         1977/10/31          1.850          MC
040619         1977/11/01          1.780          MC
040619         1977/11/02          1.780          MC
040619         1977/11/03          1.790          MC
040619         1977/11/04          1.790          MC
040619         1977/11/05          1.720          MC
040619         1977/11/06          1.690          MC
040619         1977/11/07          1.700          MC
040619         1977/11/08          1.650          MC
040619         1977/11/09          1.730          J
040619         1977/11/10          2.640          J
040619         1977/11/11          1.810          J
040619         1977/11/12          46.30          MC
040619         1977/11/13          47.60          MC
040619         1977/11/14          48.30          MC
040619         1977/11/15          48.60          MC
040619         1977/11/16          49.20          MC
040619         1977/11/17          49.30          MC
040619         1977/11/18          49.60          MC
