Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1990-09-30
Station:        040623         Kiamika - à 1,3 km en aval du barrage Kiamika                                                                                                  
Bassin versant: 707 km²        Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 46° 37' 20" // -75° 7' 54"

Date de création du fichier: 2012-06-25 02:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040623         1979/10/01          18.00          MC
040623         1979/10/02          17.90          MC
040623         1979/10/03          13.10          MC
040623         1979/10/04          4.050          MC
040623         1979/10/05          4.050          MC
040623         1979/10/06          4.390          MC
040623         1979/10/07          4.430          MC
040623         1979/10/08          4.410          MC
040623         1979/10/09          4.210          MC
040623         1979/10/10          4.060          MC
040623         1979/10/11          4.050          MC
040623         1979/10/12          4.050          MC
040623         1979/10/13          4.050          MC
040623         1979/10/14          4.050          MC
040623         1979/10/15          4.050          MC
040623         1979/10/16          4.080          MC
040623         1979/10/17          4.140          MC
040623         1979/10/18          4.250          MC
040623         1979/10/19          4.460          MC
040623         1979/10/20          4.670          MC
040623         1979/10/21          4.840          MC
040623         1979/10/22          5.060          MC
040623         1979/10/23          4.910          MC
040623         1979/10/24          4.520          MC
040623         1979/10/25          3.710          MC
040623         1979/10/26          3.600          MC
040623         1979/10/27          3.610          MC
040623         1979/10/28          3.620          MC
040623         1979/10/29          3.560          MC
040623         1979/10/30          3.450          MC
040623         1979/10/31          3.430          MC
040623         1979/11/01          4.730          J
040623         1979/11/02          4.700          MC
040623         1979/11/03          4.590          MC
040623         1979/11/04          4.590          MC
040623         1979/11/05          4.590          MC
040623         1979/11/06          4.590          MC
040623         1979/11/07          4.590          MC
040623         1979/11/08          4.590          MC
040623         1979/11/09          4.590          MC
040623         1979/11/10          4.590          MC
040623         1979/11/11          4.590          MC
040623         1979/11/12          4.590          MC
040623         1979/11/13          4.590          MC
040623         1979/11/14          4.590          MC
040623         1979/11/15          4.590          MC
040623         1979/11/16          4.590          MC
040623         1979/11/17          4.590          MC
040623         1979/11/18          4.590          MC
040623         1979/11/19          4.590          MC
040623         1979/11/20          4.590          MC
040623         1979/11/21          4.590          MC
040623         1979/11/22          4.590          MC
040623         1979/11/23          4.710          MC
040623         1979/11/24          5.230          MC
040623         1979/11/25          5.280          MC
040623         1979/11/26          5.410          MC
040623         1979/11/27          5.850          MC
040623         1979/11/28          5.580          MC
040623         1979/11/29          5.560          MC
040623         1979/11/30          5.460          MC
040623         1979/12/01          5.360          MC
040623         1979/12/02          5.220          MC
040623         1979/12/03          5.010          MC
040623         1979/12/04          4.960          MC
040623         1979/12/05          4.960          MC
040623         1979/12/06          4.960          MC
040623         1979/12/07          5.070          MC
040623         1979/12/08          5.280          MC
040623         1979/12/09          5.330          MC
040623         1979/12/10          5.330          MC
040623         1979/12/11          5.330          MC
040623         1979/12/12          5.330          MC
040623         1979/12/13          5.330          MC
040623         1979/12/14          7.660          MC
040623         1979/12/15          12.40          MC
040623         1979/12/16          13.20          MC
040623         1979/12/17          17.40          MC
040623         1979/12/18          21.30          MC
040623         1979/12/19          21.30          MC
040623         1979/12/20          21.30          MC
040623         1979/12/21          21.30          MC
040623         1979/12/22          21.50          MC
040623         1979/12/23          21.70          MC
040623         1979/12/24          21.80          MC
040623         1979/12/25          21.80          MC
040623         1979/12/26          21.80          MC
040623         1979/12/27          21.80          MC
040623         1979/12/28          21.80          MC
040623         1979/12/29          21.80          MC
040623         1979/12/30          21.70          MC
040623         1979/12/31          21.20          MC
040623         1980/01/01          21.20          MC
040623         1980/01/02          21.20          MC
040623         1980/01/03          21.00          MC
040623         1980/01/04          20.70          MC
040623         1980/01/05          20.40          MC
040623         1980/01/06          20.40          MC
040623         1980/01/07          20.40          MC
040623         1980/01/08          20.40          MC
040623         1980/01/09          20.40          MC
040623         1980/01/10          20.90          MC
040623         1980/01/11          23.10          MC
040623         1980/01/12          23.90          MC
040623         1980/01/13          23.80          MC
040623         1980/01/14          30.80          MC
040623         1980/01/15          31.20          MC
040623         1980/01/16          31.50          MC
040623         1980/01/17          31.90          MC
040623         1980/01/18          30.80          MC
040623         1980/01/19          30.80          MC
040623         1980/01/20          30.60          MC
040623         1980/01/21          30.50          MC
040623         1980/01/22          30.50          MC
040623         1980/01/23          29.80          MC
040623         1980/01/24          29.40          MC
040623         1980/01/25          29.00          MC
040623         1980/01/26          28.90          MC
040623         1980/01/27          28.90          MC
040623         1980/01/28          28.90          MC
040623         1980/01/29          28.90          MC
040623         1980/01/30          28.90          MC
040623         1980/01/31          28.90          MC
040623         1980/02/01          28.90          MC
040623         1980/02/02          28.90          MC
040623         1980/02/03          28.20          MC
040623         1980/02/04          28.10          MC
040623         1980/02/05          28.10          MC
040623         1980/02/06          28.00          MC
040623         1980/02/07          28.60          MC
040623         1980/02/08          29.50          MC
040623         1980/02/09          29.50          MC
040623         1980/02/10          29.50          MC
040623         1980/02/11          29.50          MC
040623         1980/02/12          29.50          MC
040623         1980/02/13          29.50          MC
040623         1980/02/14          29.50          MC
040623         1980/02/15          29.40          MC
