Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1988-07-31
Station:        040626         Du Lièvre - en aval de la centrale de Buckingham                                                                                               
Bassin versant: 9560 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 45° 35' 23" // -75° 25' 22"
Constante géodésique: 99.286 m
Date de création du fichier: 2012-06-22 21:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
040626         1974/01/01          19.96          PL
040626         1974/01/02          20.03          PL
040626         1974/01/03          20.03          PL
040626         1974/01/04          19.99          PL
040626         1974/01/05          20.03          PL
040626         1974/01/06          19.96          PL
040626         1974/01/07          20.03          PL
040626         1974/01/08          20.03          PL
040626         1974/01/09          20.03          PL
040626         1974/01/10          20.03          PL
040626         1974/01/11          20.03          PL
040626         1974/01/12          20.03          PL
040626         1974/01/13          19.93          PL
040626         1974/01/14          19.96          PL
040626         1974/01/15          20.03          PL
040626         1974/01/16          19.99          PL
040626         1974/01/17          19.99          PL
040626         1974/01/18          20.06          PL
040626         1974/01/19          20.03          PL
040626         1974/01/20          20.06          PL
040626         1974/01/21          20.03          PL
040626         1974/01/22          20.03          PL
040626         1974/01/23          20.03          PL
040626         1974/01/24          20.03          PL
040626         1974/01/25          20.03          PL
040626         1974/01/26          20.03          PL
040626         1974/01/27          20.09          PL
040626         1974/01/28          20.03          PL
040626         1974/01/29          20.03          PL
040626         1974/01/30          19.96          PL
040626         1974/01/31          20.06          PL
040626         1974/02/01          19.96          PL
040626         1974/02/02          20.03          PL
040626         1974/02/03          19.96          PL
040626         1974/02/04          20.03          PL
040626         1974/02/05          20.03          PL
040626         1974/02/06          20.03          PL
040626         1974/02/07          20.03          PL
040626         1974/02/08          20.03          PL
040626         1974/02/09          20.03          PL
040626         1974/02/10          19.99          PL
040626         1974/02/11          20.03          PL
040626         1974/02/12          20.03          PL
040626         1974/02/13          20.03          PL
040626         1974/02/14          20.03          PL
040626         1974/02/15          20.03          PL
040626         1974/02/16          20.03          PL
040626         1974/02/17          19.99          PL
040626         1974/02/18          20.27          PL
040626         1974/02/19          19.99          PL
040626         1974/02/20          20.03          PL
040626         1974/02/21          20.03          PL
040626         1974/02/22          20.06          PL
040626         1974/02/23          20.06          PL
040626         1974/02/24          20.06          PL
040626         1974/02/25          20.06          PL
040626         1974/02/26          20.06          PL
040626         1974/02/27          20.03          PL
040626         1974/02/28          20.03          PL
040626         1974/03/01          20.03          PL
040626         1974/03/02          20.03          PL
040626         1974/03/03          20.06          PL
040626         1974/03/04          20.03          PL
040626         1974/03/05          20.06          PL
040626         1974/03/06          20.03          PL
040626         1974/03/07          20.06          PL
040626         1974/03/08          20.06          PL
040626         1974/03/09          20.03          PL
040626         1974/03/10          20.06          PL
040626         1974/03/11          20.03          PL
040626         1974/03/12          20.03          PL
040626         1974/03/13          20.03          PL
040626         1974/03/14          20.03          PL
040626         1974/03/15          20.06          PL
040626         1974/03/16          20.06          PL
040626         1974/03/17          20.06          PL
040626         1974/03/18          20.36          PL
040626         1974/03/19          20.03          PL
040626         1974/03/20          19.99          PL
040626         1974/03/21          20.03          PL
040626         1974/03/22          20.03          PL
040626         1974/03/23          20.03          PL
040626         1974/03/24          20.03          PL
040626         1974/03/25          20.03          PL
040626         1974/03/26          20.03          PL
040626         1974/03/27          20.03          PL
040626         1974/03/28          20.06          PL
040626         1974/03/29          20.03          PL
040626         1974/03/30          20.03          PL
040626         1974/03/31          20.03          PL
040626         1974/04/01          20.03          PL
040626         1974/04/02          20.03          PL
040626         1974/04/03          20.03          PL
040626         1974/04/04          20.21          PL
040626         1974/04/05          20.18          PL
040626         1974/04/06          20.12          PL
040626         1974/04/07          20.09          PL
040626         1974/04/08          20.09          PL
040626         1974/04/09          20.09          PL
040626         1974/04/10          20.06          PL
040626         1974/04/11          20.06          PL
040626         1974/04/12          20.06          PL
040626         1974/04/13          20.18          PL
040626         1974/04/14          20.36          PL
040626         1974/04/15          20.54          PL
040626         1974/04/16          20.39          PL
040626         1974/04/17          20.39          PL
040626         1974/04/18          20.39          PL
040626         1974/04/19          20.33          PL
040626         1974/04/20          20.24          PL
040626         1974/04/21          20.06          PL
040626         1974/04/22          20.21          PL
040626         1974/04/23          20.21          PL
040626         1974/04/24          20.24          PL
040626         1974/04/25          20.30          PL
040626         1974/04/26          20.18          PL
040626         1974/04/27          20.12          PL
040626         1974/04/28          20.03          PL
040626         1974/04/29          20.09          PL
040626         1974/04/30          20.54          PL
040626         1974/05/01          21.03          PL
040626         1974/05/02          21.03          PL
040626         1974/05/03          20.88          PL
040626         1974/05/04          20.88          PL
040626         1974/05/05          20.94          PL
040626         1974/05/06          20.82          PL
040626         1974/05/07          20.79          PL
040626         1974/05/08          20.85          PL
040626         1974/05/09          20.67          PL
040626         1974/05/10          20.85          PL
040626         1974/05/11          20.91          PL
040626         1974/05/12          21.03          PL
040626         1974/05/13          21.03          PL
040626         1974/05/14          21.03          PL
040626         1974/05/15          21.03          PL
040626         1974/05/16          21.03          PL
040626         1974/05/17          
040626         1974/05/18          
040626         1974/05/19          
040626         1974/05/20          
040626         1974/05/21          
040626         1974/05/22          
040626         1974/05/23          
040626         1974/05/24          21.03          PL
040626         1974/05/25          20.97          PL
040626         1974/05/26          21.03          PL
040626         1974/05/27          21.03          PL
040626         1974/05/28          21.12          PL
040626         1974/05/29          20.94          PL
040626         1974/05/30          20.88          PL
040626         1974/05/31          20.97          PL
040626         1974/06/01          20.97          PL
040626         1974/06/02          20.97          PL
040626         1974/06/03          21.00          PL
040626         1974/06/04          21.03          PL
040626         1974/06/05          21.03          PL
040626         1974/06/06          21.00          PL
040626         1974/06/07          20.97          PL
040626         1974/06/08          20.94          PL
040626         1974/06/09          20.91          PL
040626         1974/06/10          20.88          PL
040626         1974/06/11          20.45          PL
040626         1974/06/12          20.63          PL
040626         1974/06/13          20.70          PL
040626         1974/06/14          20.79          PL
040626         1974/06/15          20.97          PL
040626         1974/06/16          20.97          PL
040626         1974/06/17          21.03          PL
040626         1974/06/18          21.00          PL
040626         1974/06/19          21.03          PL
040626         1974/06/20          21.03          PL
040626         1974/06/21          21.03          PL
040626         1974/06/22          21.00          PL
040626         1974/06/23          20.94          PL
040626         1974/06/24          20.94          PL
040626         1974/06/25          20.88          PL
040626         1974/06/26          20.91          PL
040626         1974/06/27          21.00          PL
040626         1974/06/28          20.97          PL
040626         1974/06/29          20.57          PL
040626         1974/06/30          20.60          PL
040626         1974/07/01          20.60          PL
040626         1974/07/02          20.57          PL
040626         1974/07/03          20.48          PL
040626         1974/07/04          20.60          PL
040626         1974/07/05          20.54          PL
040626         1974/07/06          20.21          PL
040626         1974/07/07          20.18          PL
040626         1974/07/08          20.12          PL
040626         1974/07/09          20.63          PL
