Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        040627         Kiamika - à 0,1 km en aval du pont-route à Chute-Saint-Philippe                                                                                
Bassin versant: 879 km²        Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 46° 39' 1" // -75° 14' 49"

Date de création du fichier: 2019-11-29 06:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040627         1989/10/25          12.40          J
040627         1989/10/26          
040627         1989/10/27          
040627         1989/10/28          8.190          J
040627         1989/10/29          
040627         1989/10/30          
040627         1989/10/31          
040627         1989/11/01          
040627         1989/11/02          
040627         1989/11/03          
040627         1989/11/04          
040627         1989/11/05          
040627         1989/11/06          
040627         1989/11/07          
040627         1989/11/08          
040627         1989/11/09          
040627         1989/11/10          
040627         1989/11/11          
040627         1989/11/12          
040627         1989/11/13          
040627         1989/11/14          
040627         1989/11/15          
040627         1989/11/16          
040627         1989/11/17          
040627         1989/11/18          
040627         1989/11/19          
040627         1989/11/20          
040627         1989/11/21          
040627         1989/11/22          
040627         1989/11/23          
040627         1989/11/24          
040627         1989/11/25          
040627         1989/11/26          
040627         1989/11/27          
040627         1989/11/28          
040627         1989/11/29          
040627         1989/11/30          
040627         1989/12/01          
040627         1989/12/02          
040627         1989/12/03          
040627         1989/12/04          
040627         1989/12/05          
040627         1989/12/06          
040627         1989/12/07          
040627         1989/12/08          
040627         1989/12/09          
040627         1989/12/10          
040627         1989/12/11          
040627         1989/12/12          
040627         1989/12/13          
040627         1989/12/14          
040627         1989/12/15          
040627         1989/12/16          
040627         1989/12/17          
040627         1989/12/18          
040627         1989/12/19          
040627         1989/12/20          
040627         1989/12/21          
040627         1989/12/22          
040627         1989/12/23          
040627         1989/12/24          
040627         1989/12/25          
040627         1989/12/26          
040627         1989/12/27          
040627         1989/12/28          
040627         1989/12/29          
040627         1989/12/30          
040627         1989/12/31          
040627         1990/01/01          
040627         1990/01/02          
040627         1990/01/03          
040627         1990/01/04          
040627         1990/01/05          
040627         1990/01/06          
040627         1990/01/07          
040627         1990/01/08          
040627         1990/01/09          
040627         1990/01/10          
040627         1990/01/11          
040627         1990/01/12          
040627         1990/01/13          
040627         1990/01/14          
040627         1990/01/15          
040627         1990/01/16          
040627         1990/01/17          
040627         1990/01/18          
040627         1990/01/19          
040627         1990/01/20          
040627         1990/01/21          
040627         1990/01/22          
040627         1990/01/23          
040627         1990/01/24          
040627         1990/01/25          
040627         1990/01/26          
040627         1990/01/27          
040627         1990/01/28          
040627         1990/01/29          
040627         1990/01/30          
040627         1990/01/31          
040627         1990/02/01          
040627         1990/02/02          
040627         1990/02/03          
040627         1990/02/04          
040627         1990/02/05          
040627         1990/02/06          
040627         1990/02/07          
040627         1990/02/08          
040627         1990/02/09          
040627         1990/02/10          
040627         1990/02/11          
040627         1990/02/12          
040627         1990/02/13          
040627         1990/02/14          
040627         1990/02/15          
040627         1990/02/16          
040627         1990/02/17          
040627         1990/02/18          
040627         1990/02/19          
040627         1990/02/20          
040627         1990/02/21          
040627         1990/02/22          
040627         1990/02/23          
040627         1990/02/24          
040627         1990/02/25          
040627         1990/02/26          
040627         1990/02/27          
040627         1990/02/28          
040627         1990/03/01          
040627         1990/03/02          
040627         1990/03/03          
040627         1990/03/04          
040627         1990/03/05          
040627         1990/03/06          
040627         1990/03/07          
040627         1990/03/08          
040627         1990/03/09          
040627         1990/03/10          
040627         1990/03/11          
040627         1990/03/12          
040627         1990/03/13          
040627         1990/03/14          32.60          J
040627         1990/03/15          
040627         1990/03/16          
040627         1990/03/17          
040627         1990/03/18          
040627         1990/03/19          
040627         1990/03/20          
040627         1990/03/21          
040627         1990/03/22          
040627         1990/03/23          
040627         1990/03/24          
040627         1990/03/25          
040627         1990/03/26          
040627         1990/03/27          
040627         1990/03/28          
040627         1990/03/29          
040627         1990/03/30          
040627         1990/03/31          
040627         1990/04/01          
040627         1990/04/02          
040627         1990/04/03          
040627         1990/04/04          
040627         1990/04/05          
040627         1990/04/06          
040627         1990/04/07          
040627         1990/04/08          
040627         1990/04/09          
040627         1990/04/10          
040627         1990/04/11          
040627         1990/04/12          
040627         1990/04/13          
040627         1990/04/14          
040627         1990/04/15          
040627         1990/04/16          
040627         1990/04/17          
040627         1990/04/18          
040627         1990/04/19          
040627         1990/04/20          
040627         1990/04/21          
040627         1990/04/22          
040627         1990/04/23          
040627         1990/04/24          
040627         1990/04/25          
040627         1990/04/26          
040627         1990/04/27          
040627         1990/04/28          
040627         1990/04/29          
040627         1990/04/30          
040627         1990/05/01          
040627         1990/05/02          
040627         1990/05/03          
040627         1990/05/04          
040627         1990/05/05          
040627         1990/05/06          
040627         1990/05/07          
040627         1990/05/08          
040627         1990/05/09          
040627         1990/05/10          
040627         1990/05/11          
040627         1990/05/12          
040627         1990/05/13          
040627         1990/05/14          
040627         1990/05/15          
040627         1990/05/16          
040627         1990/05/17          
040627         1990/05/18          
040627         1990/05/19          
040627         1990/05/20          
040627         1990/05/21          
040627         1990/05/22          
040627         1990/05/23          
040627         1990/05/24          
040627         1990/05/25          
040627         1990/05/26          
040627         1990/05/27          
040627         1990/05/28          
040627         1990/05/29          
040627         1990/05/30          
040627         1990/05/31          3.500          J
040627         1990/06/01          
040627         1990/06/02          
040627         1990/06/03          
040627         1990/06/04          
040627         1990/06/05          
040627         1990/06/06          
040627         1990/06/07          
040627         1990/06/08          
040627         1990/06/09          
040627         1990/06/10          
040627         1990/06/11          
040627         1990/06/12          
040627         1990/06/13          
040627         1990/06/14          
040627         1990/06/15          
040627         1990/06/16          
040627         1990/06/17          
040627         1990/06/18          
040627         1990/06/19          
040627         1990/06/20          
040627         1990/06/21          
040627         1990/06/22          
040627         1990/06/23          
040627         1990/06/24          
040627         1990/06/25          
040627         1990/06/26          
040627         1990/06/27          
040627         1990/06/28          
040627         1990/06/29          
040627         1990/06/30          
040627         1990/07/01          
040627         1990/07/02          
040627         1990/07/03          
040627         1990/07/04          
040627         1990/07/05          
040627         1990/07/06          
040627         1990/07/07          
040627         1990/07/08          
040627         1990/07/09          
040627         1990/07/10          
040627         1990/07/11          
040627         1990/07/12          
040627         1990/07/13          
040627         1990/07/14          
040627         1990/07/15          
040627         1990/07/16          
040627         1990/07/17          
040627         1990/07/18          
040627         1990/07/19          
040627         1990/07/20          
040627         1990/07/21          
040627         1990/07/22          
040627         1990/07/23          
040627         1990/07/24          
040627         1990/07/25          
040627         1990/07/26          
040627         1990/07/27          
040627         1990/07/28          
040627         1990/07/29          
040627         1990/07/30          
040627         1990/07/31          
040627         1990/08/01          
040627         1990/08/02          
040627         1990/08/03          
040627         1990/08/04          
040627         1990/08/05          
040627         1990/08/06          
040627         1990/08/07          
040627         1990/08/08          
040627         1990/08/09          
040627         1990/08/10          
040627         1990/08/11          
040627         1990/08/12          
040627         1990/08/13          
040627         1990/08/14          
040627         1990/08/15          3.770          J
040627         1990/08/16          3.700          MC
040627         1990/08/17          3.660          MC
040627         1990/08/18          3.700          MC
040627         1990/08/19          3.900          MC
040627         1990/08/20          3.680          MC
040627         1990/08/21          3.590          MC
040627         1990/08/22          3.580          MC
040627         1990/08/23          3.560          MC
040627         1990/08/24          3.550          MC
040627         1990/08/25          3.540          MC
040627         1990/08/26          3.530          MC
040627         1990/08/27          3.540          MC
040627         1990/08/28          3.550          MC
040627         1990/08/29          3.770          MC
040627         1990/08/30          8.500          MC
040627         1990/08/31          11.60          MC
040627         1990/09/01          12.80          MC
040627         1990/09/02          
040627         1990/09/03          
040627         1990/09/04          
040627         1990/09/05          
040627         1990/09/06          
040627         1990/09/07          
040627         1990/09/08          
040627         1990/09/09          
040627         1990/09/10          
040627         1990/09/11          
040627         1990/09/12          
040627         1990/09/13          
040627         1990/09/14          
040627         1990/09/15          
040627         1990/09/16          
040627         1990/09/17          13.50          MC
040627         1990/09/18          12.70          MC
040627         1990/09/19          12.60          MC
040627         1990/09/20          
040627         1990/09/21          
040627         1990/09/22          
040627         1990/09/23          
040627         1990/09/24          
040627         1990/09/25          
040627         1990/09/26          
040627         1990/09/27          
040627         1990/09/28          
040627         1990/09/29          
040627         1990/09/30          
040627         1990/10/01          
040627         1990/10/02          
040627         1990/10/03          
040627         1990/10/04          
040627         1990/10/05          
040627         1990/10/06          
040627         1990/10/07          
040627         1990/10/08          
040627         1990/10/09          
040627         1990/10/10          
040627         1990/10/11          
040627         1990/10/12          
040627         1990/10/13          
040627         1990/10/14          
040627         1990/10/15          
040627         1990/10/16          
040627         1990/10/17          
040627         1990/10/18          
040627         1990/10/19          
040627         1990/10/20          
040627         1990/10/21          
040627         1990/10/22          
040627         1990/10/23          
040627         1990/10/24          
040627         1990/10/25          
040627         1990/10/26          
040627         1990/10/27          
040627         1990/10/28          
040627         1990/10/29          
040627         1990/10/30          15.20          MC
040627         1990/10/31          15.10          MC
040627         1990/11/01          15.00          MC
040627         1990/11/02          15.00          J
040627         1990/11/03          15.30          MC
040627         1990/11/04          15.50          MC
040627         1990/11/05          16.00          MC
040627         1990/11/06          17.40          MC
040627         1990/11/07          19.60          MC
040627         1990/11/08          18.80          MC
040627         1990/11/09          17.40          MC
040627         1990/11/10          16.80          MC
040627         1990/11/11          16.40          MC
040627         1990/11/12          16.00          MC
040627         1990/11/13          15.80          MC
040627         1990/11/14          15.80          MC
040627         1990/11/15          15.60          MC
040627         1990/11/16          15.80          MC
040627         1990/11/17          17.40          MC
040627         1990/11/18          18.20          MC
040627         1990/11/19          17.10          MC
040627         1990/11/20          17.10          MC
040627         1990/11/21          23.50          MC
040627         1990/11/22          27.10          MC
040627         1990/11/23          29.50          MC
040627         1990/11/24          31.40          MC
040627         1990/11/25          31.70          MC
040627         1990/11/26          30.80          MC
040627         1990/11/27          30.20          MC
040627         1990/11/28          31.90          MC
040627         1990/11/29          34.20          MC
040627         1990/11/30          26.80          MC
040627         1990/12/01          21.50          MC
040627         1990/12/02          21.50          MC
040627         1990/12/03          21.50          MC
040627         1990/12/04          19.50          MC
040627         1990/12/05          16.60          MC
040627         1990/12/06          16.20          MC
040627         1990/12/07          15.90          MC
040627         1990/12/08          
040627         1990/12/09          
040627         1990/12/10          
040627         1990/12/11          
040627         1990/12/12          
040627         1990/12/13          26.20          MC
040627         1990/12/14          26.20          MC
040627         1990/12/15          26.10          MC
040627         1990/12/16          26.00          MC
040627         1990/12/17          25.90          MC
040627         1990/12/18          26.00          MC
040627         1990/12/19          28.60          MC
040627         1990/12/20          29.60          MC
040627         1990/12/21          30.10          MC
040627         1990/12/22          30.20          MC
040627         1990/12/23          30.50          MC
040627         1990/12/24          31.10          MC
040627         1990/12/25          31.20          MC
040627         1990/12/26          30.40          MC
040627         1990/12/27          29.50          MC
040627         1990/12/28          29.90          MC
040627         1990/12/29          30.20          MC
040627         1990/12/30          30.40          MC
040627         1990/12/31          30.00          MC
040627         1991/01/01          29.50          MC
040627         1991/01/02          29.60          MC
040627         1991/01/03          29.10          MC
040627         1991/01/04          29.00          MC
040627         1991/01/05          28.80          MC
040627         1991/01/06          28.60          MC
040627         1991/01/07          28.30          MC
040627         1991/01/08          29.70          MC
040627         1991/01/09          31.30          MC
040627         1991/01/10          31.60          MC
040627         1991/01/11          30.50          MC
040627         1991/01/12          30.60          MC
040627         1991/01/13          30.60          MC
040627         1991/01/14          30.60          MC
040627         1991/01/15          30.50          MC
040627         1991/01/16          30.30          MC
040627         1991/01/17          30.20          MC
040627         1991/01/18          30.00          MC
040627         1991/01/19          29.80          MC
040627         1991/01/20          29.60          MC
040627         1991/01/21          29.20          MC
040627         1991/01/22          29.00          MC
040627         1991/01/23          29.10          MC
040627         1991/01/24          29.30          MC
040627         1991/01/25          28.40          MC
040627         1991/01/26          28.10          MC
040627         1991/01/27          28.50          MC
040627         1991/01/28          28.60          MC
040627         1991/01/29          31.20          MC
040627         1991/01/30          32.00          MC
040627         1991/01/31          31.90          MC
040627         1991/02/01          31.40          MC
040627         1991/02/02          31.40          MC
040627         1991/02/03          31.10          MC
040627         1991/02/04          30.70          MC
040627         1991/02/05          30.50          MC
040627         1991/02/06          30.30          MC
040627         1991/02/07          29.60          MC
040627         1991/02/08          29.40          MC
040627         1991/02/09          29.10          MC
040627         1991/02/10          29.00          MC
040627         1991/02/11          28.60          MC
040627         1991/02/12          28.10          MC
040627         1991/02/13          28.60          MC
040627         1991/02/14          29.30          MC
040627         1991/02/15          29.50          MC
040627         1991/02/16          29.20          MC
040627         1991/02/17          29.10          MC
040627         1991/02/18          29.00          MC
040627         1991/02/19          29.10          MC
040627         1991/02/20          29.60          MC
040627         1991/02/21          29.60          MC
040627         1991/02/22          29.40          MC
040627         1991/02/23          28.90          MC
040627         1991/02/24          28.60          MC
040627         1991/02/25          28.50          MC
040627         1991/02/26          28.40          MC
040627         1991/02/27          28.30          MC
040627         1991/02/28          28.20          MC
040627         1991/03/01          28.10          MC
040627         1991/03/02          28.40          MC
040627         1991/03/03          28.80          MC
040627         1991/03/04          29.50          MC
040627         1991/03/05          29.40          MC
040627         1991/03/06          28.80          MC
040627         1991/03/07          28.80          MC
040627         1991/03/08          28.90          MC
040627         1991/03/09          29.30          MC
040627         1991/03/10          28.90          MC
040627         1991/03/11          28.50          MC
040627         1991/03/12          28.20          MC
040627         1991/03/13          27.90          MC
040627         1991/03/14          27.70          MC
040627         1991/03/15          27.60          MC
040627         1991/03/16          27.40          MC
040627         1991/03/17          27.40          MC
040627         1991/03/18          27.60          MC
040627         1991/03/19          29.80          MC
040627         1991/03/20          30.50          MC
040627         1991/03/21          30.80          MC
040627         1991/03/22          30.70          MC
040627         1991/03/23          30.40          MC
040627         1991/03/24          30.60          MC
040627         1991/03/25          29.30          MC
040627         1991/03/26          22.60          MC
040627         1991/03/27          20.40          MC
040627         1991/03/28          21.50          MC
040627         1991/03/29          23.20          MC
040627         1991/03/30          23.90          MC
040627         1991/03/31          23.60          MC
040627         1991/04/01          22.70          MC
040627         1991/04/02          22.00          MC
040627         1991/04/03          21.40          MC
040627         1991/04/04          21.40          MC
040627         1991/04/05          22.80          MC
040627         1991/04/06          25.70          MC
040627         1991/04/07          34.50          MC
040627         1991/04/08          33.40          MC
040627         1991/04/09          33.80          MC
040627         1991/04/10          32.60          MC
040627         1991/04/11          27.90          MC
040627         1991/04/12          19.10          MC
040627         1991/04/13          14.80          MC
040627         1991/04/14          12.80          MC
040627         1991/04/15          11.90          MC
040627         1991/04/16          12.40          MC
