Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1998-09-30
Station:        040805         Gatineau - au pont-route 107 à Maniwaki                                                                                                        
Bassin versant: 19700 km²      Régime: Influencé                                         
Coordonnées:    (NAD83) 46° 22' 58" // -75° 57' 57"
Constante géodésique: 0 m
Date de création du fichier: 2012-06-22 22:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
040805         1925/02/17          162.55         PL
040805         1925/02/18          162.54         PL
040805         1925/02/19          162.55         PL
040805         1925/02/20          162.54         PL
040805         1925/02/21          162.54         PL
040805         1925/02/22          162.54         PL
040805         1925/02/23          162.56         PL
040805         1925/02/24          162.56         PL
040805         1925/02/25          162.56         PL
040805         1925/02/26          162.57         PL
040805         1925/02/27          162.57         PL
040805         1925/02/28          162.57         PL
040805         1925/03/01          162.57         PL
040805         1925/03/02          162.58         PL
040805         1925/03/03          162.57         PL
040805         1925/03/04          162.57         PL
040805         1925/03/05          162.57         PL
040805         1925/03/06          162.57         PL
040805         1925/03/07          162.56         PL
040805         1925/03/08          162.56         PL
040805         1925/03/09          162.56         PL
040805         1925/03/10          162.58         PL
040805         1925/03/11          162.58         PL
040805         1925/03/12          162.58         PL
040805         1925/03/13          162.58         PL
040805         1925/03/14          162.58         PL
040805         1925/03/15          162.58         PL
040805         1925/03/16          162.58         PL
040805         1925/03/17          162.58         PL
040805         1925/03/18          162.58         PL
040805         1925/03/19          162.59         PL
040805         1925/03/20          162.60         PL
040805         1925/03/21          162.60         PL
040805         1925/03/22          162.60         PL
040805         1925/03/23          162.59         PL
040805         1925/03/24          162.59         PL
040805         1925/03/25          162.57         PL
040805         1925/03/26          162.60         PL
040805         1925/03/27          162.72         PL
040805         1925/03/28          162.76         PL
040805         1925/03/29          162.99         PL
040805         1925/03/30          163.21         PL
040805         1925/03/31          163.73         PL
040805         1925/04/01          163.93         PL
040805         1925/04/02          164.10         PL
040805         1925/04/03          164.40         PL
040805         1925/04/04          164.68         PL
040805         1925/04/05          164.86         PL
040805         1925/04/06          165.06         PL
040805         1925/04/07          165.16         PL
040805         1925/04/08          165.14         PL
040805         1925/04/09          165.00         PL
040805         1925/04/10          164.98         PL
040805         1925/04/11          165.06         PL
040805         1925/04/12          165.03         PL
040805         1925/04/13          164.97         PL
040805         1925/04/14          164.92         PL
040805         1925/04/15          164.99         PL
040805         1925/04/16          165.04         PL
040805         1925/04/17          165.01         PL
040805         1925/04/18          164.98         PL
040805         1925/04/19          164.89         PL
040805         1925/04/20          164.83         PL
040805         1925/04/21          164.69         PL
