Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2005-05-02
Station:        040814         Picanoc - à 0,5 km en amont du pont-route 105 près de Wright                                                                                   
Bassin versant: 1277 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 4' 35" // -76° 4' 23"

Date de création du fichier: 2017-05-01 22:22
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040814         1926/04/01          9.490          MC
040814         1926/04/02          9.490          MC
040814         1926/04/03          9.490          MC
040814         1926/04/04          9.430          MC
040814         1926/04/05          9.150          MC
040814         1926/04/06          9.150          MC
040814         1926/04/07          9.150          MC
040814         1926/04/08          9.150          MC
040814         1926/04/09          9.150          MC
040814         1926/04/10          9.150          MC
040814         1926/04/11          8.300          MC
040814         1926/04/12          8.300          MC
040814         1926/04/13          8.300          MC
040814         1926/04/14          8.580          MC
040814         1926/04/15          8.580          MC
040814         1926/04/16          8.580          MC
040814         1926/04/17          8.580          MC
040814         1926/04/18          10.10          MC
040814         1926/04/19          10.10          MC
040814         1926/04/20          10.80          MC
040814         1926/04/21          15.90          MC
040814         1926/04/22          26.50          MC
040814         1926/04/23          28.60          MC
040814         1926/04/24          42.20          MC
040814         1926/04/25          61.20          MC
040814         1926/04/26          59.20          MC
040814         1926/04/27          54.10          MC
040814         1926/04/28          54.10          MC
040814         1926/04/29          54.10          MC
040814         1926/04/30          55.20          MC
040814         1926/05/01          55.20          MC
040814         1926/05/02          59.20          MC
040814         1926/05/03          68.00          MC
040814         1926/05/04          73.60          MC
040814         1926/05/05          77.90          MC
040814         1926/05/06          79.00          MC
040814         1926/05/07          73.90          MC
040814         1926/05/08          68.00          MC
040814         1926/05/09          66.00          MC
040814         1926/05/10          63.70          MC
040814         1926/05/11          60.30          MC
040814         1926/05/12          54.10          MC
040814         1926/05/13          48.70          MC
040814         1926/05/14          46.40          MC
040814         1926/05/15          46.40          MC
040814         1926/05/16          38.50          MC
040814         1926/05/17          30.60          MC
040814         1926/05/18          30.60          MC
040814         1926/05/19          27.90          MC
040814         1926/05/20          27.90          MC
040814         1926/05/21          26.50          MC
040814         1926/05/22          29.20          MC
040814         1926/05/23          27.90          MC
040814         1926/05/24          27.90          MC
040814         1926/05/25          29.20          MC
040814         1926/05/26          35.10          MC
040814         1926/05/27          25.80          MC
040814         1926/05/28          25.10          MC
040814         1926/05/29          25.10          MC
040814         1926/05/30          24.80          MC
040814         1926/05/31          24.50          MC
040814         1926/06/01          24.50          MC
040814         1926/06/02          23.80          MC
040814         1926/06/03          21.20          MC
040814         1926/06/04          23.20          MC
040814         1926/06/05          22.50          MC
040814         1926/06/06          23.20          MC
040814         1926/06/07          23.80          MC
040814         1926/06/08          24.50          MC
040814         1926/06/09          26.50          MC
040814         1926/06/10          21.90          MC
040814         1926/06/11          21.20          MC
040814         1926/06/12          21.20          MC
040814         1926/06/13          21.20          MC
040814         1926/06/14          20.20          MC
040814         1926/06/15          20.40          MC
040814         1926/06/16          20.70          MC
040814         1926/06/17          23.80          MC
040814         1926/06/18          39.60          MC
040814         1926/06/19          39.60          MC
040814         1926/06/20          21.90          MC
040814         1926/06/21          23.80          MC
040814         1926/06/22          19.00          MC
040814         1926/06/23          19.00          MC
040814         1926/06/24          19.00          MC
040814         1926/06/25          18.80          MC
040814         1926/06/26          20.00          MC
040814         1926/06/27          12.80          MC
040814         1926/06/28          12.40          MC
040814         1926/06/29          11.90          MC
040814         1926/06/30          12.40          MC
040814         1926/07/01          17.80          MC
040814         1926/07/02          17.80          MC
040814         1926/07/03          23.80          MC
040814         1926/07/04          22.50          MC
040814         1926/07/05          13.20          MC
040814         1926/07/06          16.80          MC
040814         1926/07/07          14.10          MC
040814         1926/07/08          26.50          MC
040814         1926/07/09          27.20          MC
040814         1926/07/10          38.80          MC
040814         1926/07/11          34.50          MC
040814         1926/07/12          32.80          MC
040814         1926/07/13          35.40          MC
040814         1926/07/14          40.50          MC
040814         1926/07/15          49.00          MC
040814         1926/07/16          51.30          MC
040814         1926/07/17          42.20          MC
040814         1926/07/18          38.80          MC
040814         1926/07/19          35.40          MC
040814         1926/07/20          35.40          MC
040814         1926/07/21          38.80          MC
040814         1926/07/22          36.00          MC
040814         1926/07/23          56.10          MC
040814         1926/07/24          45.60          MC
040814         1926/07/25          43.90          MC
040814         1926/07/26          45.60          MC
040814         1926/07/27          46.70          MC
040814         1926/07/28          46.20          MC
040814         1926/07/29          46.40          MC
040814         1926/07/30          45.60          MC
040814         1926/07/31          45.60          MC
040814         1926/08/01          25.10          MC
040814         1926/08/02          25.10          MC
040814         1926/08/03          23.80          MC
040814         1926/08/04          21.90          MC
040814         1926/08/05          20.70          MC
040814         1926/08/06          19.40          MC
040814         1926/08/07          19.00          MC
040814         1926/08/08          15.90          MC
040814         1926/08/09          14.90          MC
040814         1926/08/10          13.60          MC
040814         1926/08/11          13.20          MC
040814         1926/08/12          11.50          MC
040814         1926/08/13          11.20          MC
040814         1926/08/14          10.10          MC
040814         1926/08/15          10.10          MC
040814         1926/08/16          10.10          MC
040814         1926/08/17          8.860          MC
040814         1926/08/18          8.860          MC
040814         1926/08/19          8.300          MC
040814         1926/08/20          8.010          MC
040814         1926/08/21          7.790          MC
040814         1926/08/22          7.450          MC
040814         1926/08/23          7.160          MC
040814         1926/08/24          12.40          MC
040814         1926/08/25          12.40          MC
040814         1926/08/26          10.80          MC
040814         1926/08/27          10.10          MC
040814         1926/08/28          9.430          MC
040814         1926/08/29          8.860          MC
040814         1926/08/30          8.860          MC
040814         1926/08/31          8.640          MC
040814         1926/09/01          7.450          MC
040814         1926/09/02          7.450          MC
040814         1926/09/03          7.730          MC
040814         1926/09/04          7.450          MC
040814         1926/09/05          7.160          MC
040814         1926/09/06          7.450          MC
040814         1926/09/07          7.730          MC
040814         1926/09/08          7.160          MC
040814         1926/09/09          7.450          MC
040814         1926/09/10          7.160          MC
040814         1926/09/11          6.340          MC
040814         1926/09/12          6.570          MC
040814         1926/09/13          6.400          MC
040814         1926/09/14          6.340          MC
040814         1926/09/15          6.570          MC
040814         1926/09/16          12.70          MC
040814         1926/09/17          14.90          MC
040814         1926/09/18          14.00          MC
040814         1926/09/19          11.90          MC
040814         1926/09/20          10.80          MC
040814         1926/09/21          9.120          MC
040814         1926/09/22          10.40          MC
040814         1926/09/23          10.10          MC
040814         1926/09/24          11.10          MC
040814         1926/09/25          12.30          MC
040814         1926/09/26          12.70          MC
040814         1926/09/27          12.10          MC
040814         1926/09/28          11.30          MC
040814         1926/09/29          11.10          MC
040814         1926/09/30          10.80          MC
040814         1926/10/01          11.10          MC
040814         1926/10/02          10.90          MC
040814         1926/10/03          10.30          MC
040814         1926/10/04          10.10          MC
040814         1926/10/05          10.10          MC
040814         1926/10/06          10.10          MC
040814         1926/10/07          9.830          MC
040814         1926/10/08          9.490          MC
040814         1926/10/09          8.520          MC
040814         1926/10/10          8.520          MC
040814         1926/10/11          8.690          MC
040814         1926/10/12          8.240          MC
040814         1926/10/13          9.680          MC
040814         1926/10/14          12.50          MC
040814         1926/10/15          11.10          MC
040814         1926/10/16          11.10          MC
040814         1926/10/17          11.10          MC
040814         1926/10/18          12.70          MC
040814         1926/10/19          12.70          MC
040814         1926/10/20          11.90          MC
040814         1926/10/21          11.90          MC
040814         1926/10/22          11.20          MC
040814         1926/10/23          12.50          MC
040814         1926/10/24          22.70          MC
040814         1926/10/25          24.50          MC
040814         1926/10/26          24.50          MC
040814         1926/10/27          23.20          MC
040814         1926/10/28          23.10          MC
040814         1926/10/29          23.60          MC
040814         1926/10/30          23.20          MC
040814         1926/10/31          22.20          MC
040814         1926/11/01          21.90          MC
040814         1926/11/02          23.80          MC
040814         1926/11/03          23.20          MC
040814         1926/11/04          22.70          MC
040814         1926/11/05          21.90          MC
040814         1926/11/06          20.20          MC
040814         1926/11/07          16.40          MC
040814         1926/11/08          18.50          MC
040814         1926/11/09          22.70          MC
040814         1926/11/10          32.30          MC
040814         1926/11/11          31.10          MC
040814         1926/11/12          27.30          MC
040814         1926/11/13          25.90          MC
040814         1926/11/14          23.20          MC
040814         1926/11/15          25.60          MC
040814         1926/11/16          30.90          MC
040814         1926/11/17          42.50          MC
040814         1926/11/18          41.60          MC
040814         1926/11/19          42.50          MC
040814         1926/11/20          40.80          MC
040814         1926/11/21          40.80          MC
040814         1926/11/22          41.60          MC
040814         1926/11/23          39.10          MC
040814         1926/11/24          36.80          MC
040814         1926/11/25          34.80          MC
040814         1926/11/26          32.30          MC
040814         1926/11/27          30.90          MC
040814         1926/11/28          42.50          MC
040814         1926/11/29          44.70          MC
040814         1926/11/30          32.30          MC
040814         1926/12/01          31.40          MC
040814         1926/12/02          34.80          MC
040814         1926/12/03          38.20          MC
040814         1926/12/04          43.30          MC
040814         1926/12/05          43.30          MC
040814         1926/12/06          45.00          MC
040814         1926/12/07          46.70          MC
040814         1926/12/08          47.60          MC
040814         1926/12/09          49.30          MC
040814         1926/12/10          48.40          MC
040814         1926/12/11          46.70          MC
040814         1926/12/12          46.40          MC
040814         1926/12/13          46.20          MC
040814         1926/12/14          45.90          MC
040814         1926/12/15          43.30          MC
040814         1926/12/16          38.50          MC
040814         1926/12/17          38.50          MC
040814         1926/12/18          38.50          MC
040814         1926/12/19          38.50          MC
040814         1926/12/20          38.50          MC
040814         1926/12/21          38.50          MC
040814         1926/12/22          38.50          MC
040814         1926/12/23          38.50          MC
040814         1926/12/24          38.50          MC
040814         1926/12/25          38.50          MC
040814         1926/12/26          38.50          MC
040814         1926/12/27          38.50          MC
040814         1926/12/28          38.50          MC
040814         1926/12/29          38.50          MC
040814         1926/12/30          38.50          MC
040814         1926/12/31          38.50          MC
040814         1927/01/01          15.00          MC
040814         1927/01/02          15.00          MC
040814         1927/01/03          15.00          MC
040814         1927/01/04          15.00          MC
040814         1927/01/05          15.00          MC
040814         1927/01/06          15.00          MC
040814         1927/01/07          15.00          MC
040814         1927/01/08          15.00          MC
040814         1927/01/09          15.00          MC
040814         1927/01/10          15.00          MC
040814         1927/01/11          15.00          MC
040814         1927/01/12          15.00          MC
040814         1927/01/13          15.00          MC
040814         1927/01/14          15.00          MC
040814         1927/01/15          15.00          MC
040814         1927/01/16          15.00          MC
040814         1927/01/17          15.00          MC
040814         1927/01/18          15.00          MC
040814         1927/01/19          15.00          MC
040814         1927/01/20          15.00          MC
040814         1927/01/21          15.00          MC
040814         1927/01/22          15.00          MC
040814         1927/01/23          15.00          MC
040814         1927/01/24          15.00          MC
040814         1927/01/25          15.00          MC
040814         1927/01/26          15.00          MC
040814         1927/01/27          15.00          MC
040814         1927/01/28          15.00          MC
040814         1927/01/29          15.00          MC
040814         1927/01/30          15.00          MC
040814         1927/01/31          15.00          MC
040814         1927/02/01          10.70          MC
040814         1927/02/02          10.70          MC
040814         1927/02/03          10.70          MC
040814         1927/02/04          10.70          MC
040814         1927/02/05          10.70          MC
040814         1927/02/06          10.70          MC
040814         1927/02/07          10.70          MC
040814         1927/02/08          10.70          MC
040814         1927/02/09          10.70          MC
040814         1927/02/10          10.70          MC
040814         1927/02/11          10.70          MC
040814         1927/02/12          10.70          MC
040814         1927/02/13          10.70          MC
040814         1927/02/14          10.70          MC
040814         1927/02/15          10.70          MC
040814         1927/02/16          10.70          MC
040814         1927/02/17          10.70          MC
040814         1927/02/18          10.70          MC
040814         1927/02/19          10.70          MC
040814         1927/02/20          10.70          MC
040814         1927/02/21          10.70          MC
040814         1927/02/22          10.70          MC
040814         1927/02/23          10.70          MC
040814         1927/02/24          10.70          MC
040814         1927/02/25          10.70          MC
040814         1927/02/26          10.70          MC
040814         1927/02/27          10.70          MC
040814         1927/02/28          10.70          MC
040814         1927/03/01          11.30          MC
040814         1927/03/02          11.30          MC
040814         1927/03/03          11.30          MC
040814         1927/03/04          11.30          MC
040814         1927/03/05          11.30          MC
040814         1927/03/06          11.30          MC
040814         1927/03/07          11.30          MC
040814         1927/03/08          11.30          MC
040814         1927/03/09          11.30          MC
040814         1927/03/10          11.30          MC
040814         1927/03/11          11.30          MC
040814         1927/03/12          11.30          MC
040814         1927/03/13          11.30          MC
040814         1927/03/14          11.30          MC
040814         1927/03/15          11.30          MC
040814         1927/03/16          22.90          MC
040814         1927/03/17          30.00          MC
040814         1927/03/18          36.00          MC
040814         1927/03/19          38.80          MC
040814         1927/03/20          39.60          MC
040814         1927/03/21          37.70          MC
040814         1927/03/22          35.70          MC
040814         1927/03/23          34.30          MC
040814         1927/03/24          32.30          MC
040814         1927/03/25          30.00          MC
040814         1927/03/26          28.90          MC
040814         1927/03/27          31.10          MC
040814         1927/03/28          30.30          MC
040814         1927/03/29          30.30          MC
040814         1927/03/30          28.90          MC
040814         1927/03/31          28.30          MC
040814         1927/04/01          26.20          MC
040814         1927/04/02          26.20          MC
040814         1927/04/03          25.20          MC
040814         1927/04/04          24.20          MC
040814         1927/04/05          25.20          MC
040814         1927/04/06          26.20          MC
040814         1927/04/07          27.30          MC
040814         1927/04/08          27.60          MC
040814         1927/04/09          26.30          MC
040814         1927/04/10          27.00          MC
040814         1927/04/11          26.30          MC
040814         1927/04/12          26.30          MC
040814         1927/04/13          26.30          MC
040814         1927/04/14          28.20          MC
040814         1927/04/15          27.80          MC
040814         1927/04/16          27.30          MC
040814         1927/04/17          27.90          MC
040814         1927/04/18          30.30          MC
040814         1927/04/19          33.70          MC
040814         1927/04/20          37.90          MC
040814         1927/04/21          39.40          MC
040814         1927/04/22          40.20          MC
040814         1927/04/23          40.50          MC
040814         1927/04/24          36.00          MC
040814         1927/04/25          32.00          MC
040814         1927/04/26          34.00          MC
040814         1927/04/27          30.60          MC
040814         1927/04/28          28.20          MC
040814         1927/04/29          27.50          MC
040814         1927/04/30          28.20          MC
040814         1927/05/01          25.30          MC
040814         1927/05/02          24.10          MC
040814         1927/05/03          23.60          MC
040814         1927/05/04          21.50          MC
040814         1927/05/05          19.30          MC
040814         1927/05/06          19.80          MC
040814         1927/05/07          21.50          MC
040814         1927/05/08          24.10          MC
040814         1927/05/09          25.30          MC
040814         1927/05/10          26.80          MC
040814         1927/05/11          27.00          MC
040814         1927/05/12          28.20          MC
040814         1927/05/13          29.20          MC
040814         1927/05/14          28.30          MC
040814         1927/05/15          28.90          MC
040814         1927/05/16          32.80          MC
040814         1927/05/17          38.50          MC
040814         1927/05/18          41.60          MC
040814         1927/05/19          48.10          MC
040814         1927/05/20          47.00          MC
040814         1927/05/21          45.30          MC
040814         1927/05/22          44.50          MC
040814         1927/05/23          44.50          MC
040814         1927/05/24          45.60          MC
040814         1927/05/25          47.30          MC
040814         1927/05/26          45.60          MC
040814         1927/05/27          41.60          MC
040814         1927/05/28          39.40          MC
040814         1927/05/29          36.00          MC
040814         1927/05/30          35.10          MC
040814         1927/05/31          35.10          MC
040814         1927/06/01          40.50          MC
040814         1927/06/02          52.10          MC
040814         1927/06/03          47.00          MC
040814         1927/06/04          41.30          MC
040814         1927/06/05          47.60          MC
040814         1927/06/06          46.40          MC
040814         1927/06/07          43.00          MC
040814         1927/06/08          38.80          MC
040814         1927/06/09          47.30          MC
040814         1927/06/10          62.00          MC
040814         1927/06/11          64.60          MC
040814         1927/06/12          57.50          MC
040814         1927/06/13          60.60          MC
040814         1927/06/14          56.90          MC
040814         1927/06/15          58.90          MC
040814         1927/06/16          72.50          MC
040814         1927/06/17          66.00          MC
040814         1927/06/18          62.60          MC
040814         1927/06/19          68.80          MC
040814         1927/06/20          62.60          MC
040814         1927/06/21          60.60          MC
040814         1927/06/22          62.60          MC
040814         1927/06/23          62.90          MC
040814         1927/06/24          66.00          MC
040814         1927/06/25          68.80          MC
040814         1927/06/26          76.70          MC
040814         1927/06/27          72.50          MC
040814         1927/06/28          75.90          MC
040814         1927/06/29          70.50          MC
040814         1927/06/30          69.90          MC
040814         1927/07/01          68.50          MC
040814         1927/07/02          63.40          MC
040814         1927/07/03          56.10          MC
040814         1927/07/04          39.60          MC
040814         1927/07/05          37.10          MC
040814         1927/07/06          36.00          MC
040814         1927/07/07          35.40          MC
040814         1927/07/08          55.50          MC
040814         1927/07/09          51.80          MC
040814         1927/07/10          27.80          MC
040814         1927/07/11          40.20          MC
040814         1927/07/12          39.40          MC
040814         1927/07/13          31.10          MC
040814         1927/07/14          24.80          MC
040814         1927/07/15          22.20          MC
040814         1927/07/16          20.50          MC
040814         1927/07/17          16.80          MC
040814         1927/07/18          20.50          MC
040814         1927/07/19          20.00          MC
040814         1927/07/20          17.80          MC
040814         1927/07/21          17.30          MC
040814         1927/07/22          18.10          MC
040814         1927/07/23          19.40          MC
040814         1927/07/24          19.40          MC
040814         1927/07/25          45.00          MC
040814         1927/07/26          44.70          MC
040814         1927/07/27          44.70          MC
040814         1927/07/28          45.60          MC
040814         1927/07/29          42.20          MC
040814         1927/07/30          41.30          MC
040814         1927/07/31          45.30          MC
040814         1927/08/01          29.20          MC
040814         1927/08/02          27.00          MC
040814         1927/08/03          23.60          MC
040814         1927/08/04          24.40          MC
040814         1927/08/05          24.10          MC
040814         1927/08/06          22.80          MC
040814         1927/08/07          21.10          MC
040814         1927/08/08          20.20          MC
040814         1927/08/09          20.00          MC
040814         1927/08/10          18.70          MC
040814         1927/08/11          19.40          MC
040814         1927/08/12          23.10          MC
040814         1927/08/13          21.90          MC
040814         1927/08/14          20.40          MC
040814         1927/08/15          20.00          MC
040814         1927/08/16          19.30          MC
040814         1927/08/17          17.30          MC
040814         1927/08/18          17.30          MC
040814         1927/08/19          16.80          MC
040814         1927/08/20          18.30          MC
040814         1927/08/21          18.30          MC
040814         1927/08/22          17.80          MC
040814         1927/08/23          17.30          MC
040814         1927/08/24          17.10          MC
040814         1927/08/25          17.30          MC
040814         1927/08/26          17.30          MC
040814         1927/08/27          16.80          MC
040814         1927/08/28          16.30          MC
040814         1927/08/29          16.30          MC
040814         1927/08/30          16.30          MC
040814         1927/08/31          17.10          MC
040814         1927/09/01          16.10          MC
040814         1927/09/02          16.10          MC
040814         1927/09/03          15.60          MC
040814         1927/09/04          14.40          MC
040814         1927/09/05          14.40          MC
040814         1927/09/06          14.00          MC
040814         1927/09/07          12.70          MC
040814         1927/09/08          12.30          MC
040814         1927/09/09          12.30          MC
040814         1927/09/10          12.30          MC
040814         1927/09/11          12.30          MC
040814         1927/09/12          11.90          MC
040814         1927/09/13          11.50          MC
040814         1927/09/14          11.50          MC
040814         1927/09/15          11.50          MC
040814         1927/09/16          11.30          MC
040814         1927/09/17          10.80          MC
040814         1927/09/18          10.80          MC
040814         1927/09/19          10.80          MC
040814         1927/09/20          10.80          MC
040814         1927/09/21          10.80          MC
040814         1927/09/22          10.80          MC
040814         1927/09/23          10.80          MC
040814         1927/09/24          10.80          MC
040814         1927/09/25          10.80          MC
040814         1927/09/26          10.80          MC
040814         1927/09/27          10.30          MC
040814         1927/09/28          10.50          MC
040814         1927/09/29          10.50          MC
040814         1927/09/30          11.00          MC
040814         1927/10/01          12.20          MC
040814         1927/10/02          11.50          MC
040814         1927/10/03          10.60          MC
040814         1927/10/04          10.60          MC
040814         1927/10/05          10.60          MC
040814         1927/10/06          10.10          MC
040814         1927/10/07          10.10          MC
040814         1927/10/08          10.40          MC
040814         1927/10/09          10.70          MC
040814         1927/10/10          10.70          MC
040814         1927/10/11          10.60          MC
040814         1927/10/12          10.10          MC
040814         1927/10/13          11.50          MC
040814         1927/10/14          11.50          MC
040814         1927/10/15          10.40          MC
040814         1927/10/16          10.10          MC
040814         1927/10/17          10.10          MC
040814         1927/10/18          10.10          MC
040814         1927/10/19          10.10          MC
040814         1927/10/20          10.10          MC
040814         1927/10/21          10.10          MC
040814         1927/10/22          10.10          MC
040814         1927/10/23          10.10          MC
040814         1927/10/24          9.680          MC
040814         1927/10/25          9.540          MC
040814         1927/10/26          9.370          MC
040814         1927/10/27          9.090          MC
040814         1927/10/28          9.090          MC
040814         1927/10/29          8.810          MC
040814         1927/10/30          8.810          MC
040814         1927/10/31          8.810          MC
040814         1927/11/01          8.810          MC
040814         1927/11/02          8.810          MC
040814         1927/11/03          8.810          MC
040814         1927/11/04          8.810          MC
040814         1927/11/05          10.40          MC
040814         1927/11/06          11.10          MC
040814         1927/11/07          11.10          MC
040814         1927/11/08          11.10          MC
040814         1927/11/09          10.80          MC
040814         1927/11/10          10.80          MC
040814         1927/11/11          11.10          MC
040814         1927/11/12          12.70          MC
040814         1927/11/13          15.90          MC
040814         1927/11/14          15.90          MC
040814         1927/11/15          16.80          MC
040814         1927/11/16          26.20          MC
