Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1982-06-27
Station:        040815         Lac des Trente et un Milles - à Gracefield                                                                                                     
Bassin versant: 337 km²        Régime: Influencé                                         
Coordonnées:    (NAD83) 46° 5' 13" // -75° 50' 55"
Constante géodésique: 0 m
Date de création du fichier: 2012-06-22 22:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
040815         1966/06/01          162.31         PL
040815         1966/06/02          162.30         PL
040815         1966/06/03          162.29         PL
040815         1966/06/04          162.29         PL
040815         1966/06/05          162.29         PL
040815         1966/06/06          162.30         PL
040815         1966/06/07          162.31         PL
040815         1966/06/08          162.31         PL
040815         1966/06/09          162.30         PL
040815         1966/06/10          162.30         PL
040815         1966/06/11          162.31         PL
040815         1966/06/12          162.29         PL
040815         1966/06/13          162.29         PL
040815         1966/06/14          162.29         PL
040815         1966/06/15          162.29         PL
040815         1966/06/16          162.28         PL
040815         1966/06/17          162.28         PL
040815         1966/06/18          162.26         PL
040815         1966/06/19          162.26         PL
040815         1966/06/20          162.25         PL
040815         1966/06/21          162.25         PL
040815         1966/06/22          162.24         PL
040815         1966/06/23          162.23         PL
040815         1966/06/24          162.23         PL
040815         1966/06/25          162.22         PL
040815         1966/06/26          162.21         PL
040815         1966/06/27          162.20         PL
040815         1966/06/28          162.20         PL
040815         1966/06/29          162.20         PL
040815         1966/06/30          162.20         PL
040815         1966/07/01          162.19         PL
040815         1966/07/02          162.19         PL
040815         1966/07/03          162.20         PL
040815         1966/07/04          162.19         PL
040815         1966/07/05          162.18         PL
040815         1966/07/06          162.18         PL
040815         1966/07/07          162.17         PL
040815         1966/07/08          162.17         PL
040815         1966/07/09          162.16         PL
040815         1966/07/10          162.16         PL
040815         1966/07/11          162.15         PL
040815         1966/07/12          162.15         PL
040815         1966/07/13          162.15         PL
040815         1966/07/14          162.14         PL
040815         1966/07/15          162.14         PL
040815         1966/07/16          162.13         PL
040815         1966/07/17          162.12         PL
040815         1966/07/18          162.12         PL
040815         1966/07/19          162.12         PL
040815         1966/07/20          162.09         PL
040815         1966/07/21          162.12         PL
040815         1966/07/22          162.12         PL
040815         1966/07/23          162.12         PL
040815         1966/07/24          162.12         PL
040815         1966/07/25          162.11         PL
040815         1966/07/26          162.12         PL
040815         1966/07/27          162.12         PL
040815         1966/07/28          162.13         PL
040815         1966/07/29          162.13         PL
040815         1966/07/30          162.12         PL
040815         1966/07/31          162.12         PL
040815         1966/08/01          162.12         PL
040815         1966/08/02          162.12         PL
040815         1966/08/03          162.13         PL
040815         1966/08/04          162.13         PL
040815         1966/08/05          162.13         PL
040815         1966/08/06          162.12         PL
040815         1966/08/07          162.12         PL
040815         1966/08/08          162.13         PL
040815         1966/08/09          162.13         PL
040815         1966/08/10          162.14         PL
040815         1966/08/11          162.14         PL
040815         1966/08/12          162.15         PL
040815         1966/08/13          162.16         PL
040815         1966/08/14          162.15         PL
040815         1966/08/15          162.15         PL
040815         1966/08/16          162.15         PL
040815         1966/08/17          162.15         PL
040815         1966/08/18          162.15         PL
040815         1966/08/19          162.15         PL
040815         1966/08/20          162.15         PL
040815         1966/08/21          162.15         PL
040815         1966/08/22          162.15         PL
040815         1966/08/23          162.15         PL
040815         1966/08/24          162.15         PL
040815         1966/08/25          162.14         PL
040815         1966/08/26          162.14         PL
040815         1966/08/27          162.13         PL
040815         1966/08/28          162.12         PL
040815         1966/08/29          162.12         PL
040815         1966/08/30          162.12         PL
040815         1966/08/31          162.11         PL
040815         1966/09/01          162.08         PL
040815         1966/09/02          162.08         PL
040815         1966/09/03          162.08         PL
040815         1966/09/04          162.07         PL
040815         1966/09/05          162.08         PL
040815         1966/09/06          162.07         PL
040815         1966/09/07          162.07         PL
040815         1966/09/08          162.07         PL
040815         1966/09/09          162.07         PL
040815         1966/09/10          162.06         PL
040815         1966/09/11          162.06         PL
040815         1966/09/12          162.08         PL
040815         1966/09/13          162.08         PL
040815         1966/09/14          162.07         PL
040815         1966/09/15          162.07         PL
040815         1966/09/16          162.06         PL
040815         1966/09/17          162.07         PL
040815         1966/09/18          162.06         PL
040815         1966/09/19          162.06         PL
040815         1966/09/20          162.04         PL
040815         1966/09/21          162.04         PL
040815         1966/09/22          162.05         PL
040815         1966/09/23          162.05         PL
040815         1966/09/24          162.04         PL
040815         1966/09/25          162.03         PL
040815         1966/09/26          162.02         PL
040815         1966/09/27          162.02         PL
040815         1966/09/28          162.01         PL
040815         1966/09/29          162.01         PL
040815         1966/09/30          162.01         PL
040815         1966/10/01          162.01         PL
040815         1966/10/02          162.01         PL
040815         1966/10/03          162.01         PL
040815         1966/10/04          162.01         PL
040815         1966/10/05          162.01         PL
040815         1966/10/06          162.01         PL
040815         1966/10/07          162.01         PL
040815         1966/10/08          162.01         PL
040815         1966/10/09          162.01         PL
040815         1966/10/10          162.00         PL
040815         1966/10/11          162.01         PL
040815         1966/10/12          162.01         PL
040815         1966/10/13          162.01         PL
040815         1966/10/14          162.02         PL
040815         1966/10/15          162.02         PL
040815         1966/10/16          162.03         PL
040815         1966/10/17          162.03         PL
040815         1966/10/18          162.03         PL
040815         1966/10/19          162.03         PL
040815         1966/10/20          162.02         PL
040815         1966/10/21          162.02         PL
040815         1966/10/22          162.02         PL
040815         1966/10/23          162.01         PL
040815         1966/10/24          162.01         PL
040815         1966/10/25          162.01         PL
040815         1966/10/26          162.00         PL
040815         1966/10/27          162.00         PL
040815         1966/10/28          162.00         PL
040815         1966/10/29          161.99         PL
040815         1966/10/30          161.99         PL
040815         1966/10/31          161.99         PL
040815         1966/11/01          162.00         PL
040815         1966/11/02          162.00         PL
040815         1966/11/03          162.01         PL
040815         1966/11/04          162.01         PL
040815         1966/11/05          162.02         PL
040815         1966/11/06          162.02         PL
040815         1966/11/07          162.02         PL
040815         1966/11/08          162.03         PL
040815         1966/11/09          162.04         PL
040815         1966/11/10          162.05         PL
