Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1979-12-31
Station:        040827         La Pêche - au pont-route du lac la Pêche                                                                                                       
Bassin versant: 117 km²        Régime: Influencé                                         
Coordonnées:    (NAD83) 45° 39' 27" // -76° 8' 24"

Date de création du fichier: 2012-06-25 03:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040827         1971/01/01          0.960          MC
040827         1971/01/02          0.988          MC
040827         1971/01/03          1.000          MC
040827         1971/01/04          1.020          MC
040827         1971/01/05          1.020          MC
040827         1971/01/06          1.000          MC
040827         1971/01/07          0.980          MC
040827         1971/01/08          0.968          MC
040827         1971/01/09          0.968          MC
040827         1971/01/10          0.966          MC
040827         1971/01/11          0.966          MC
040827         1971/01/12          0.957          MC
040827         1971/01/13          0.934          MC
040827         1971/01/14          0.917          MC
040827         1971/01/15          0.903          MC
040827         1971/01/16          0.903          MC
040827         1971/01/17          0.889          MC
040827         1971/01/18          0.883          MC
040827         1971/01/19          0.875          MC
040827         1971/01/20          0.878          MC
040827         1971/01/21          0.881          MC
040827         1971/01/22          0.881          MC
040827         1971/01/23          0.881          MC
040827         1971/01/24          0.881          MC
040827         1971/01/25          0.881          MC
040827         1971/01/26          0.881          MC
040827         1971/01/27          0.878          MC
040827         1971/01/28          0.872          MC
040827         1971/01/29          0.855          MC
040827         1971/01/30          0.855          MC
040827         1971/01/31          0.852          MC
040827         1971/02/01          0.844          MC
040827         1971/02/02          0.844          MC
040827         1971/02/03          0.830          MC
040827         1971/02/04          0.824          MC
040827         1971/02/05          0.830          MC
040827         1971/02/06          0.835          MC
040827         1971/02/07          0.827          MC
040827         1971/02/08          0.821          MC
040827         1971/02/09          0.810          MC
040827         1971/02/10          0.799          MC
040827         1971/02/11          0.801          MC
040827         1971/02/12          0.801          MC
040827         1971/02/13          0.801          MC
040827         1971/02/14          0.796          MC
040827         1971/02/15          0.793          MC
040827         1971/02/16          0.793          MC
040827         1971/02/17          0.793          MC
040827         1971/02/18          0.779          MC
040827         1971/02/19          0.750          MC
040827         1971/02/20          0.680          MC
040827         1971/02/21          0.510          MC
040827         1971/02/22          0.396          MC
040827         1971/02/23          0.323          MC
040827         1971/02/24          0.289          MC
040827         1971/02/25          0.278          MC
040827         1971/02/26          0.311          MC
040827         1971/02/27          0.481          MC
040827         1971/02/28          0.736          MC
040827         1971/03/01          0.963          MC
040827         1971/03/02          0.963          MC
040827         1971/03/03          0.949          MC
040827         1971/03/04          0.949          MC
040827         1971/03/05          0.949          MC
040827         1971/03/06          0.963          MC
040827         1971/03/07          0.963          MC
040827         1971/03/08          0.963          MC
040827         1971/03/09          0.963          MC
