Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-06-10, préliminaires par la suite
Station:        040840         Picanoc - sur le chemin du Cayaman à Gracefield                                                                                                
Bassin versant: 1277 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 4' 41" // -76° 4' 10"

Date de création du fichier: 2019-11-30 00:10
Particularité(s):
- La station 040814 a été relocalisée à 300 m en aval pour devenir la station 040840 en 2004, or les sections de jaugeage sont demeurées les mêmes après la relocalisation. Cela signifie qu'il n'y aurait pas dû y avoir un changement de numéro de station. Pour cette raison, les données de 040840 peuvent être fusionnées avec les données de 040814.
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040840         2004/11/18          7.953          J
040840         2004/11/19          7.923          MJ
040840         2004/11/20          7.777          MJ
040840         2004/11/21          7.850          MJ
040840         2004/11/22          7.877          MJ
040840         2004/11/23          7.954          MJ
040840         2004/11/24          7.960          MJ
040840         2004/11/25          8.259          MJ
040840         2004/11/26          8.177          MJ
040840         2004/11/27          8.936          MJ
040840         2004/11/28          9.316          MJ
040840         2004/11/29          14.33          MJ
040840         2004/11/30          14.95          MJ
040840         2004/12/01          15.55          MJ
040840         2004/12/02          16.07          MJ
040840         2004/12/03          15.60          MJ
040840         2004/12/04          19.51          MJ
040840         2004/12/05          21.82          MJ
040840         2004/12/06          22.70          MJ
040840         2004/12/07          24.93          MJ
040840         2004/12/08          24.23          MJ
040840         2004/12/09          19.71          MJ
040840         2004/12/10          15.97          MJ
040840         2004/12/11          15.73          MJ
040840         2004/12/12          15.91          MJ
040840         2004/12/13          15.08          MJ
040840         2004/12/14          14.34          MJ
040840         2004/12/15          13.86          MJ
040840         2004/12/16          13.42          R
040840         2004/12/17          13.19          R
040840         2004/12/18          13.00          R
040840         2004/12/19          12.85          R
040840         2004/12/20          12.74          R
040840         2004/12/21          12.67          R
040840         2004/12/22          12.64          R
040840         2004/12/23          12.64          R
040840         2004/12/24          13.16          R
040840         2004/12/25          14.36          R
040840         2004/12/26          14.00          R
040840         2004/12/27          13.62          R
040840         2004/12/28          13.28          R
040840         2004/12/29          13.03          R
040840         2004/12/30          12.92          R
040840         2004/12/31          14.09          R
040840         2005/01/01          15.46          R
040840         2005/01/02          15.91          R
040840         2005/01/03          16.44          R
040840         2005/01/04          16.18          R
040840         2005/01/05          15.88          R
040840         2005/01/06          15.56          R
040840         2005/01/07          15.23          R
040840         2005/01/08          14.90          R
040840         2005/01/09          14.60          R
040840         2005/01/10          14.33          R
040840         2005/01/11          14.11          R
040840         2005/01/12          13.94          R
040840         2005/01/13          14.36          R
040840         2005/01/14          17.33          R
040840         2005/01/15          17.73          R
040840         2005/01/16          17.18          R
040840         2005/01/17          16.67          J
040840         2005/01/18          16.21          R
040840         2005/01/19          15.78          R
040840         2005/01/20          15.39          R
040840         2005/01/21          15.02          R
040840         2005/01/22          14.69          R
040840         2005/01/23          14.37          R
040840         2005/01/24          14.08          R
040840         2005/01/25          13.81          R
040840         2005/01/26          13.56          R
040840         2005/01/27          13.33          R
040840         2005/01/28          13.11          R
040840         2005/01/29          12.90          R
040840         2005/01/30          12.70          R
040840         2005/01/31          12.51          R
040840         2005/02/01          12.34          R
040840         2005/02/02          12.16          R
040840         2005/02/03          12.00          R
040840         2005/02/04          11.84          R
040840         2005/02/05          11.68          R
040840         2005/02/06          11.53          R
040840         2005/02/07          11.37          R
040840         2005/02/08          11.40          R
040840         2005/02/09          11.69          R
040840         2005/02/10          11.35          R
040840         2005/02/11          11.07          R
040840         2005/02/12          10.85          R
040840         2005/02/13          10.67          R
040840         2005/02/14          10.52          R
040840         2005/02/15          10.42          R
040840         2005/02/16          10.32          R
040840         2005/02/17          10.23          R
040840         2005/02/18          10.13          R
040840         2005/02/19          10.04          R
040840         2005/02/20          9.950          R
040840         2005/02/21          9.860          R
040840         2005/02/22          9.770          R
040840         2005/02/23          9.680          R
040840         2005/02/24          9.590          R
040840         2005/02/25          9.510          R
040840         2005/02/26          9.420          R
040840         2005/02/27          9.340          R
040840         2005/02/28          9.260          R
040840         2005/03/01          9.100          R
040840         2005/03/02          9.030          R
040840         2005/03/03          8.950          R
040840         2005/03/04          8.880          R
040840         2005/03/05          8.810          J
040840         2005/03/06          8.740          R
040840         2005/03/07          8.670          R
040840         2005/03/08          8.600          R
040840         2005/03/09          8.540          R
040840         2005/03/10          8.480          R
040840         2005/03/11          8.420          R
040840         2005/03/12          8.360          R
040840         2005/03/13          8.300          R
040840         2005/03/14          8.250          R
040840         2005/03/15          8.190          R
040840         2005/03/16          8.140          R
040840         2005/03/17          8.090          R
040840         2005/03/18          8.040          R
040840         2005/03/19          8.000          R
040840         2005/03/20          7.960          R
040840         2005/03/21          7.910          R
040840         2005/03/22          7.880          R
040840         2005/03/23          7.840          R
040840         2005/03/24          7.800          R
040840         2005/03/25          7.770          R
040840         2005/03/26          7.740          R
040840         2005/03/27          7.710          R
040840         2005/03/28          7.810          R
040840         2005/03/29          8.080          R
040840         2005/03/30          8.470          R
040840         2005/03/31          10.66          R
040840         2005/04/01          16.92          R
040840         2005/04/02          24.41          R
040840         2005/04/03          32.72          R
040840         2005/04/04          50.28          R
040840         2005/04/05          55.38          R
040840         2005/04/06          60.71          R
040840         2005/04/07          78.88          R
040840         2005/04/08          99.37          MJ
040840         2005/04/09          102.0          MJ
040840         2005/04/10          103.6          MJ
040840         2005/04/11          100.4          MJ
040840         2005/04/12          92.49          MJ
040840         2005/04/13          84.66          MJ
040840         2005/04/14          77.80          J
040840         2005/04/15          72.62          MJ
040840         2005/04/16          68.46          MJ
040840         2005/04/17          66.30          MJ
040840         2005/04/18          64.65          MJ
040840         2005/04/19          63.27          MJ
040840         2005/04/20          61.68          MJ
040840         2005/04/21          61.89          MJ
040840         2005/04/22          59.50          MJ
040840         2005/04/23          56.72          MJ
040840         2005/04/24          57.70          MJ
040840         2005/04/25          59.98          MJ
040840         2005/04/26          56.20          MJ
040840         2005/04/27          53.57          MJ
040840         2005/04/28          53.11          MJ
040840         2005/04/29          53.06          MJ
040840         2005/04/30          51.18          MJ
040840         2005/05/01          49.31          MJ
040840         2005/05/02          47.24          MJ
040840         2005/05/03          45.22          MJ
040840         2005/05/04          43.47          J
040840         2005/05/05          41.36          MJ
040840         2005/05/06          39.05          MJ
040840         2005/05/07          37.13          MJ
040840         2005/05/08          35.41          MJ
040840         2005/05/09          34.24          MJ
040840         2005/05/10          32.75          MJ
040840         2005/05/11          31.16          MJ
040840         2005/05/12          29.63          MJ
040840         2005/05/13          28.20          MJ
040840         2005/05/14          27.44          MJ
040840         2005/05/15          27.13          MJ
040840         2005/05/16          26.86          MJ
040840         2005/05/17          25.88          J
040840         2005/05/18          24.63          MJ
040840         2005/05/19          23.63          MJ
040840         2005/05/20          22.92          MJ
040840         2005/05/21          22.49          MJ
040840         2005/05/22          21.59          MJ
040840         2005/05/23          21.02          MJ
040840         2005/05/24          20.76          MJ
040840         2005/05/25          19.89          MJ
040840         2005/05/26          19.01          MJ
040840         2005/05/27          18.51          MJ
040840         2005/05/28          18.40          MJ
040840         2005/05/29          18.38          MJ
040840         2005/05/30          17.73          MJ
040840         2005/05/31          17.32          MJ
040840         2005/06/01          16.77          MJ
040840         2005/06/02          16.07          MJ
040840         2005/06/03          15.35          MJ
040840         2005/06/04          14.72          MJ
040840         2005/06/05          14.04          MJ
040840         2005/06/06          14.09          MJ
040840         2005/06/07          13.64          MJ
040840         2005/06/08          13.24          MJ
040840         2005/06/09          12.87          MJ
040840         2005/06/10          12.55          MJ
040840         2005/06/11          12.35          MJ
040840         2005/06/12          12.04          MJ
040840         2005/06/13          12.02          MJ
040840         2005/06/14          13.82          MJ
040840         2005/06/15          16.10          MJ
040840         2005/06/16          20.72          MJ
040840         2005/06/17          21.10          MJ
040840         2005/06/18          22.74          MJ
040840         2005/06/19          23.90          MJ
040840         2005/06/20          23.12          MJ
040840         2005/06/21          20.90          MJ
040840         2005/06/22          19.02          MJ
040840         2005/06/23          17.26          MJ
040840         2005/06/24          15.92          MJ
040840         2005/06/25          14.84          MJ
040840         2005/06/26          14.01          MJ
040840         2005/06/27          13.26          MJ
040840         2005/06/28          12.56          MJ
040840         2005/06/29          12.26          MJ
040840         2005/06/30          11.91          MJ
040840         2005/07/01          11.61          MJ
040840         2005/07/02          11.41          MJ
040840         2005/07/03          11.15          MJ
040840         2005/07/04          10.68          MJ
040840         2005/07/05          12.34          MJ
040840         2005/07/06          14.08          MJ
040840         2005/07/07          13.42          J
040840         2005/07/08          12.55          MJ
040840         2005/07/09          11.77          MJ
040840         2005/07/10          12.74          MJ
040840         2005/07/11          12.28          MJ
040840         2005/07/12          10.68          MJ
040840         2005/07/13          10.09          MJ
040840         2005/07/14          12.87          MJ
040840         2005/07/15          12.88          MJ
040840         2005/07/16          11.78          MJ
040840         2005/07/17          10.98          MJ
040840         2005/07/18          15.62          MJ
040840         2005/07/19          15.59          MJ
040840         2005/07/20          13.13          MJ
040840         2005/07/21          11.68          MJ
040840         2005/07/22          11.00          MJ
040840         2005/07/23          10.02          MJ
040840         2005/07/24          9.656          MJ
040840         2005/07/25          9.379          MJ
040840         2005/07/26          8.812          MJ
040840         2005/07/27          8.449          MJ
040840         2005/07/28          7.970          MJ
040840         2005/07/29          7.633          MJ
040840         2005/07/30          7.324          MJ
040840         2005/07/31          6.934          MJ
040840         2005/08/01          6.693          MJ
040840         2005/08/02          6.545          MJ
040840         2005/08/03          6.676          MJ
040840         2005/08/04          6.293          MJ
040840         2005/08/05          6.318          MJ
040840         2005/08/06          5.936          MJ
040840         2005/08/07          5.608          MJ
040840         2005/08/08          5.376          MJ
040840         2005/08/09          5.138          MJ
040840         2005/08/10          5.159          MJ
040840         2005/08/11          5.246          MJ
040840         2005/08/12          5.000          MJ
